Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles
Mitchell Fraboni,#48,LS,17.0,147.0,0.0,0.0,0.0,81.0,0.0,66.0,90.7,-,-,-,0 (0),4.0,2.0,1.0
Zach Allen,#99,DI,17.0,98.0,0.0,0.0,20.0,0.0,78.0,0.0,79.9,-,-,-,0 (0),0.0,0.0,0.0
Ben Niemann,#57,LB,7.0,133.0,32.0,33.0,29.0,39.0,0.0,0.0,79.1,-,-,-,0 (0),2.0,0.0,0.0
Nate Adkins,#45,TE,10.0,95.0,52.0,9.0,10.0,24.0,0.0,0.0,77.0,-,-,-,0 (0),0.0,1.0,0.0
Drew Sanders,#41,LB,16.0,295.0,70.0,76.0,58.0,77.0,14.0,0.0,74.2,-,-,-,0 (0),1.0,1.0,0.0
Alex Singleton,#49,LB,10.0,38.0,2.0,0.0,0.0,24.0,12.0,0.0,73.2,61.2,-,-,0 (0),2.0,0.0,0.0
Justin Strnad,#40,LB,17.0,392.0,91.0,82.0,60.0,81.0,78.0,0.0,73.1,-,-,-,1 (0),7.0,0.0,1.0
Thomas Incoom,#59,ED,4.0,35.0,3.0,21.0,10.0,1.0,0.0,0.0,72.0,-,-,-,0 (0),0.0,0.0,0.0
Michael Burton,#20,FB,17.0,289.0,91.0,81.0,36.0,81.0,0.0,0.0,70.3,-,-,-,1 (0),3.0,0.0,0.0
Riley Moss,#37,CB,14.0,263.0,76.0,66.0,53.0,67.0,1.0,0.0,66.6,-,-,-,2 (0),3.0,3.0,1.0
P.J. Locke,#06,S,12.0,91.0,17.0,20.0,10.0,44.0,0.0,0.0,66.0,-,-,-,0 (0),0.0,1.0,0.0
Pat Surtain II,#02,CB,17.0,77.0,0.0,0.0,1.0,0.0,76.0,0.0,65.7,-,-,-,0 (0),0.0,0.0,0.0
JL Skinner,#34,S,2.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,65.5,-,-,-,0 (0),0.0,0.0,0.0
Dwayne Washington,#39,HB,13.0,246.0,71.0,64.0,48.0,63.0,0.0,0.0,64.7,-,-,-,1 (0),1.0,2.0,2.0
Quinn Meinerz,#77,G,16.0,64.0,0.0,0.0,0.0,0.0,0.0,64.0,64.5,-,-,-,0 (0),0.0,0.0,0.0
Essang Bassey,#27,CB,4.0,25.0,4.0,21.0,0.0,0.0,0.0,0.0,63.8,-,-,-,0 (0),0.0,0.0,0.0
Lucas Krull,#85,TE,6.0,30.0,24.0,0.0,5.0,1.0,0.0,0.0,63.7,-,-,-,0 (0),0.0,0.0,0.0
Ronnie Perkins,#51,ED,4.0,21.0,0.0,19.0,2.0,0.0,0.0,0.0,63.6,-,-,-,0 (0),0.0,0.0,0.0
Jonathon Cooper,#00,ED,17.0,108.0,0.0,0.0,1.0,29.0,78.0,0.0,63.5,-,-,-,0 (0),0.0,1.0,0.0
Riley Dixon,#09,P,17.0,148.0,0.0,1.0,0.0,81.0,0.0,66.0,63.5,60.0,69.2,-,0 (0),0.0,0.0,0.0
Mike McGlinchey,#69,T,14.0,59.0,0.0,0.0,0.0,0.0,0.0,59.0,63.4,-,-,-,0 (0),0.0,0.0,0.0
Matt Henningsen,#91,DI,17.0,179.0,0.0,0.0,35.0,0.0,78.0,66.0,63.2,-,-,-,0 (0),0.0,0.0,0.0
Garett Bolles,#72,T,16.0,66.0,0.0,0.0,0.0,0.0,0.0,66.0,63.2,-,-,-,0 (0),0.0,0.0,0.0
Ben Powers,#74,G,16.0,66.0,0.0,0.0,0.0,0.0,0.0,66.0,63.0,-,-,-,0 (0),0.0,0.0,0.0
Luke Wattenberg,#60,G,16.0,66.0,0.0,0.0,0.0,0.0,0.0,66.0,62.6,-,-,-,0 (0),0.0,0.0,0.0
Quinn Bailey,#75,G,16.0,66.0,0.0,0.0,0.0,0.0,0.0,66.0,62.3,-,-,-,0 (0),0.0,0.0,0.0
