Player,JerseyNumber,Position,GamesPlayed,KickoffsGrade,KickoffsTotal,KickoffsYardsPerAttempt,KickoffsAverageFieldPosition,KickoffsOnsideAttempts,KickoffsReturnPercentage,KickoffsReturned,KickoffsYardsAllowed,KickoffsYardsPerReturnAllowed,KickoffsTouchbacks,KickoffsFairCatches,KickoffsHangtimeAverage,KickoffsHangtimeAverage.1
Wil Lutz,#16,K,17.0,90.4,81.0,70.4,25.5,3.0,11.1,9.0,152.0,16.9,71.0,0.0,77.0,3.88
Riley Dixon,#09,P,1.0,60.0,1.0,67.0,33.0,0.0,100.0,1.0,20.0,20.0,0.0,0.0,1.0,4.95
,,,,,,,,,,,,,,,,
