Week,Away,Opponent,Date,Time,Result,PointsFor,PointsAgainst,OverallGrade,OffenseGrade,PassingGrade,PassBlockingGrade,ReceivingGrade,RushingGrade,RunBlockingGrade,DefenseGrade,RunDefenseGrade,TacklingGrade,PassRushGrade,CoverageGrade,SpecialTeamsGrade,GameReports
1.0,,Las Vegas Raiders,09/10,4:25pm,L,16.0,17.0,60.3,65.2,74.4,68.9,61.4,54.6,57.7,59.0,69.1,49.2,56.1,58.0,53.5,Game Reports
2.0,,Washington Commanders,09/17,4:25pm,L,33.0,35.0,65.2,65.2,51.7,47.9,67.0,70.8,69.6,60.4,52.4,46.0,74.9,58.1,70.5,Game Reports
3.0,@,Miami Dolphins,09/24,1:00pm,L,20.0,70.0,46.7,66.8,84.9,64.7,64.2,49.1,54.0,28.0,29.3,27.2,50.2,29.6,75.7,Game Reports
4.0,@,Chicago Bears,10/01,1:00pm,W,31.0,28.0,68.8,77.1,79.8,79.5,70.3,75.9,71.9,55.0,66.6,44.1,62.8,42.3,64.9,Game Reports
5.0,,New York Jets,10/08,4:25pm,L,21.0,31.0,60.4,55.8,43.5,64.6,55.5,65.0,61.9,67.7,57.8,56.1,70.8,68.5,65.0,Game Reports
6.0,@,Kansas City Chiefs,10/12,8:15pm,L,8.0,19.0,65.9,65.2,57.2,74.6,53.0,88.1,57.5,64.0,60.9,49.0,59.5,64.6,68.9,Game Reports
7.0,,Green Bay Packers,10/22,4:25pm,W,19.0,17.0,75.7,74.8,73.5,67.0,63.8,88.3,62.9,66.8,57.2,57.1,68.6,72.2,69.2,Game Reports
8.0,,Kansas City Chiefs,10/29,4:25pm,W,24.0,9.0,68.6,65.0,48.7,76.0,58.3,66.2,67.4,66.4,61.2,59.0,62.8,65.4,73.6,Game Reports
10.0,@,Buffalo Bills,11/13,8:15pm,W,24.0,22.0,66.4,69.2,80.4,57.3,60.9,53.0,86.3,62.9,53.7,46.9,58.2,68.7,56.5,Game Reports
11.0,,Minnesota Vikings,11/19,8:20pm,W,21.0,20.0,75.5,74.6,69.7,83.6,75.7,64.3,54.2,67.4,72.5,47.5,60.7,60.1,68.6,Game Reports
12.0,,Cleveland Browns,11/26,4:05pm,W,29.0,12.0,63.1,68.7,72.0,76.1,62.4,62.1,66.0,55.0,56.9,66.8,67.1,50.0,65.7,Game Reports
13.0,@,Houston Texans,12/03,1:00pm,L,17.0,22.0,71.9,65.5,60.9,69.7,59.4,73.4,58.3,72.3,81.6,73.7,76.3,56.3,58.9,Game Reports
14.0,@,Los Angeles Chargers,12/10,4:25pm,W,24.0,7.0,75.2,79.6,84.2,70.8,67.4,70.7,75.4,62.1,59.5,69.0,66.9,56.6,56.6,Game Reports
15.0,@,Detroit Lions,12/16,8:15pm,L,17.0,42.0,59.4,72.2,62.3,63.9,73.2,63.1,71.4,41.7,31.1,28.9,61.9,46.7,70.1,Game Reports
16.0,,New England Patriots,12/24,8:15pm,L,23.0,26.0,74.6,67.9,53.3,69.2,70.6,71.2,60.3,76.1,81.3,76.2,70.0,64.5,74.0,Game Reports
17.0,,Los Angeles Chargers,12/31,4:25pm,W,16.0,9.0,70.2,66.5,52.9,87.6,63.5,62.0,68.9,68.6,76.9,66.8,57.2,64.6,72.1,Game Reports
18.0,@,Las Vegas Raiders,01/07,4:25pm,L,14.0,27.0,64.5,65.3,64.1,59.2,66.9,56.3,64.9,59.4,67.7,70.3,65.3,48.3,62.7,Game Reports
,,,,,,,,,,,,,,,,,,,,,
