year,grades_pass,attempts,grades_run,player_id,player_game_count,position,player,team_name,passing_snaps,grades_hands_fumble,grades_offense
2023,54.4,160,82.2,39395,6,QB,Daniel Jones,NYG,220,45.3,63.0
2023,57.2,368,60.9,82096,12,QB,Zach Wilson,NYJ,463,30.8,58.2
2023,37.4,153,49.4,9683,5,QB,Trevor Siemian,NYJ,177,31.5,34.9
2023,61.2,77,73.5,21956,3,QB,Tim Boyle,NYJ,89,84.4,64.1
2023,48.0,38,70.7,46487,2,QB,Brett Rypien,NYJ,47,22.4,48.1
2023,41.1,1,,2241,1,QB,Aaron Rodgers,NYJ,3,65.5,39.4
2023,53.5,1,62.0,97405,1,WR,Garrett Wilson,NYJ,1,32.1,72.9
2023,67.2,1,,5088,1,P,Thomas Morstead,NYJ,1,60.4,69.8
2023,83.9,573,76.7,40291,18,QB,Jalen Hurts,PHI,693,66.5,86.7
2023,55.6,23,80.7,9435,2,QB,Marcus Mariota,PHI,29,27.4,66.3
2023,69.7,1,52.4,77737,1,HB,Kenneth Gainwell,PHI,1,29.3,55.3
2023,68.8,1,,44664,1,P,Braden Mann,PHI,1,60.4,73.1
2023,68.8,324,66.7,60515,12,QB,Kenny Pickett,PIT,386,91.3,70.6
2023,64.8,113,58.2,46569,5,QB,Mason Rudolph,PIT,130,40.2,64.8
2023,44.2,107,51.0,11757,5,QB,Mitch Trubisky,PIT,132,64.6,43.3
2023,60.0,1,59.3,57301,1,TE,Connor Heyward,PIT,1,76.3,55.5
2023,82.1,499,62.8,7820,15,QB,Geno Smith,SEA,591,68.8,82.9
2023,62.2,76,56.4,39517,4,QB,Drew Lock,SEA,91,52.5,61.3
2023,81.5,552,92.0,77672,19,QB,Brock Purdy,SF,647,70.5,87.4
2023,66.5,46,57.8,29048,6,QB,Sam Darnold,SF,59,22.9,66.0
2023,60.0,1,59.7,48027,1,WR,Jauan Jennings,SF,1,76.8,74.1
2023,60.0,1,68.2,48274,1,WR,Deebo Samuel,SF,1,64.7,85.4
2023,74.8,643,69.5,46518,19,QB,Baker Mayfield,TB,777,77.8,77.2
2023,49.6,1,70.7,11839,1,WR,Chris Godwin,TB,1,83.5,77.5
2023,82.7,1,60.0,39987,1,QB,Kyle Trask,TB,1,64.5,86.0
2023,61.6,255,67.4,83542,9,QB,Will Levis,TEN,310,68.9,63.7
2023,66.3,230,69.7,7014,9,QB,Ryan Tannehill,TEN,291,70.5,68.7
2023,48.4,5,52.2,60341,1,QB,Malik Willis,TEN,15,74.5,45.9
2023,72.2,3,86.8,10679,3,HB,Derrick Henry,TEN,3,91.4,90.1
2023,59.6,1,64.5,7808,2,WR,DeAndre Hopkins,TEN,2,82.1,81.0
2023,57.6,612,71.5,97599,17,QB,Sam Howell,WAS,750,81.3,60.2
2023,79.4,23,75.0,10725,2,QB,Jacoby Brissett,WAS,29,77.4,84.6
2023,60.0,1,56.2,77986,1,WR,Dyami Brown,WAS,1,72.9,59.0
