year,player_game_count,snap_counts_ce,snap_counts_rt,snap_counts_te,snap_counts_rg,snap_counts_pass_block,snap_counts_pass_play,snap_counts_block,grades_run_block,player,team_name,grades_offense,player_id,grades_pass_block,snap_counts_run_block,snap_counts_lt,snap_counts_lg,snap_counts_offense,position
2023,1,0,0,0,0,1,1,1,,Cameron Thomas,ARZ,60.0,82387,67.2,0,0,1,1,ED
2023,1,0,0,0,0,0,0,1,60.0,Andre Chachere,ARZ,60.0,51194,,1,0,0,1,S
2023,1,0,0,0,0,0,0,1,60.0,Antonio Hamilton Sr.,ARZ,60.0,11353,,1,0,0,1,CB
2023,17,0,0,0,0,632,632,1127,59.6,Matthew Bergeron,ATL,59.1,99658,57.1,495,0,1127,1127,G
2023,16,0,0,0,1065,606,606,1066,87.5,Chris Lindstrom,ATL,87.6,46692,78.6,460,1,0,1066,G
2023,17,0,0,16,0,596,596,1061,60.2,Jake Matthews,ATL,71.2,8641,80.1,465,1045,0,1061,T
2023,14,932,0,0,0,519,519,932,90.0,Drew Dalman,ATL,82.3,52270,53.0,413,0,0,932,C
2023,14,0,842,4,1,478,479,846,76.5,Kaleb McGary,ATL,75.5,46912,69.5,368,0,0,847,T
2023,16,0,0,0,0,0,511,349,56.7,Drake London,ATL,78.9,86519,,349,0,0,860,WR
2023,15,0,0,0,0,1,466,349,60.3,Desmond Ridder,ATL,51.9,55086,61.3,348,0,0,848,QB
2023,17,0,4,334,0,86,154,333,46.8,MyCole Pruitt,ATL,59.4,9576,64.2,247,15,0,401,TE
2023,6,0,276,5,0,153,154,282,66.4,Storm Norton,ATL,68.3,12188,69.3,129,2,0,283,T
2023,17,0,1,274,0,44,439,257,43.7,Jonnu Smith,ATL,59.1,11855,75.4,213,1,0,653,TE
2023,17,0,2,157,0,10,496,240,31.2,Kyle Pitts,ATL,68.1,83964,77.6,230,1,0,726,TE
2023,17,0,0,0,0,0,395,225,46.5,Van Jefferson,ATL,50.1,47447,,225,0,0,621,WR
2023,6,196,0,4,0,116,116,203,56.2,Ryan Neuzil,ATL,55.3,41123,59.1,87,0,0,203,C
2023,17,0,0,0,0,1,191,179,50.5,KhaDarel Hodge,ATL,62.4,26104,68.1,178,0,0,370,WR
2023,13,0,0,17,0,1,168,176,61.0,Mack Hollins,ATL,64.6,11873,66.1,175,0,0,343,WR
2023,13,0,0,9,0,33,60,157,44.6,Keith Smith,ATL,47.2,9302,57.8,124,0,0,184,FB
2023,17,0,0,0,0,0,134,133,63.7,Scott Miller,ATL,64.4,47481,,133,0,0,267,WR
2023,17,0,0,2,0,57,498,112,35.5,Bijan Robinson,ATL,69.1,123126,56.8,55,0,0,770,HB
2023,5,0,0,0,0,0,161,108,60.9,Taylor Heinicke,ATL,52.5,9896,,108,0,0,271,QB
2023,6,0,0,10,0,13,22,63,50.9,Tucker Fisk,ATL,52.0,52286,54.7,50,0,0,72,TE
2023,4,0,0,0,62,28,28,63,54.5,Kyle Hinton,ATL,59.8,83163,79.2,35,0,1,63,G
2023,1,0,0,3,0,37,37,57,62.1,Tyler Vrabel,ATL,68.1,77343,71.6,20,54,0,57,T
2023,17,0,0,5,0,32,146,56,43.4,Tyler Allgeier,ATL,82.9,83639,90.3,24,0,0,358,HB
2023,3,0,0,33,0,2,6,44,50.9,Parker Hesse,ATL,48.4,48369,70.9,42,0,0,48,TE
2023,14,0,0,6,0,3,92,36,58.1,Cordarrelle Patterson,ATL,62.7,7810,78.3,33,0,0,177,HB
2023,5,0,0,9,0,0,7,11,49.3,John FitzPatrick,ATL,63.7,83974,,11,0,0,18,TE
2023,1,0,0,0,0,0,0,8,61.6,John Leglue,ATL,61.9,46859,,8,8,0,8,C
2023,1,0,0,0,0,0,12,7,60.8,Damiere Byrd,ATL,51.7,9964,,7,0,0,19,WR
2023,1,0,0,0,0,0,3,5,59.4,Chris Blair,ATL,56.8,84096,,5,0,0,8,WR
2023,1,0,0,0,0,0,6,4,60.0,Logan Woodside,ATL,24.8,46517,,4,0,0,10,QB
2023,19,0,0,0,0,720,720,1242,57.2,John Simpson,BLT,56.3,41715,59.2,522,0,1242,1242,G
2023,17,0,0,0,1101,650,650,1101,62.4,Kevin Zeitler,BLT,71.6,7032,82.3,451,0,0,1101,G
2023,17,1043,0,0,0,610,610,1043,78.6,Tyler Linderbaum,BLT,78.5,82291,78.3,433,0,0,1043,C
2023,16,0,890,0,0,524,524,901,80.3,Morgan Moses,BLT,80.4,8701,77.0,377,11,0,901,T
2023,15,0,0,17,0,500,500,834,63.0,Ronnie Stanley,BLT,68.1,10640,75.9,334,816,0,834,T
2023,18,9,187,27,0,323,323,593,72.1,Patrick Mekari,BLT,71.0,46219,63.1,270,369,0,593,T
2023,18,0,0,0,0,0,675,393,60.2,Lamar Jackson,BLT,90.4,46416,,393,0,0,1165,QB
2023,18,0,0,1,0,0,626,376,63.0,Zay Flowers,BLT,76.3,97268,,376,0,0,1012,WR
2023,19,0,0,356,0,48,169,374,64.1,Patrick Ricard,BLT,58.9,48862,62.8,326,6,0,495,FB
2023,18,0,0,2,0,0,409,280,60.5,Rashod Bateman,BLT,61.0,84296,,280,0,0,690,WR
2023,19,0,0,24,0,1,419,228,59.6,Nelson Agholor,BLT,61.6,9453,36.3,227,0,0,646,WR
2023,19,0,2,270,0,7,367,219,51.9,Isaiah Likely,BLT,65.6,83955,40.5,212,11,0,579,TE
2023,7,199,0,0,0,110,110,202,67.1,Sam Mustipher,BLT,67.0,13026,61.0,92,0,3,202,C
2023,16,0,3,221,0,13,81,199,54.9,Charlie Kolar,BLT,55.4,60917,55.1,186,7,0,268,TE
2023,13,0,160,7,1,103,103,191,50.5,Daniel Faalele,BLT,48.7,81734,43.6,88,22,1,191,T
2023,11,0,8,62,0,7,316,175,58.8,Mark Andrews,BLT,78.8,47436,71.0,168,6,0,485,TE
2023,13,0,1,14,149,76,76,171,62.0,Ben Cleveland,BLT,65.8,41696,80.7,95,2,5,171,G
