team_name,position,weighted_injury_score,injury_score,weighting_stat,player_game_stat
ARZ,CB,538.0,13.0,2624,8.857142857142858
ARZ,DI,495.57142857142856,16.0,5858,13.142857142857142
ARZ,ED,878.2666666666667,23.0,4190,10.2
ARZ,LB,1052.5613636363637,29.0,10870,11.714285714285714
ARZ,S,765.7411764705882,18.0,8630,13.071428571428571
ATL,CB,540.8503555268261,13.0,6519,13.666666666666666
ATL,DI,316.1868131868132,9.0,4425,13.875
ATL,ED,21.4375,1.0,11023,16.9375
ATL,LB,755.1875,13.0,6900,12.583333333333334
ATL,S,201.8181818181818,6.0,2055,12.5
BLT,CB,1457.2214452214453,39.0,12407,10.555555555555555
BLT,DI,0.0,0.0,1547,19.0
BLT,ED,0.0,0.0,761,18.5
BLT,LB,686.4083333333333,30.0,15139,14.620689655172415
BLT,S,1254.4820081878906,27.0,12756,12.368421052631579
BUF,CB,782.0693277310925,15.0,13565,11.041666666666666
BUF,DI,262.8174603174603,7.0,3918,13.222222222222221
BUF,ED,148.49019607843138,6.0,9084,18.352941176470587
BUF,LB,306.4759920634921,12.0,8380,11.782608695652174
BUF,S,885.4404761904761,19.0,16746,14.0
CAR,CB,617.952380952381,15.0,9366,11.55
CAR,DI,0.0,0.0,443,16.0
CAR,ED,138.2389705882353,4.0,3066,16.333333333333332
CAR,LB,812.3933823529412,19.0,18492,13.35483870967742
CAR,S,1563.245054945055,30.0,13686,12.523809523809524
CHI,CB,1119.943931068931,31.0,10988,11.272727272727273
CHI,ED,45.53846153846154,1.0,2638,12.2
CHI,LB,577.335294117647,24.0,3237,7.071428571428571
CHI,S,1117.9666666666667,20.0,11440,13.4
CIN,CB,534.15,12.0,11297,13.578947368421053
CIN,DI,132.6,7.0,3859,14.555555555555555
CIN,ED,379.418487394958,11.0,8868,15.882352941176471
CIN,LB,171.22036541889483,16.0,4253,10.05
CIN,S,0.0,0.0,1658,17.0
CLV,CB,495.57142857142856,14.0,7931,13.411764705882353
CLV,DI,46.488888888888894,2.0,4890,14.833333333333334
CLV,ED,220.76470588235293,6.0,19519,17.0
CLV,LB,272.0,12.0,4296,10.0
CLV,S,1081.2243589743591,20.0,12868,11.714285714285714
