year,player_id,player_game_count,grades_hands_fumble,grades_pass_block,slot_snaps,position,routes,grades_hands_drop,player,team_name,wide_snaps,inline_snaps,grades_offense,grades_pass_route
2023,75916,17,51.5,55.1,236,TE,406,78.8,Trey McBride,ARZ,29,183,76.3,80.5
2023,61568,14,79.9,,100,WR,460,73.0,Marquise Brown,ARZ,398,0,67.1,68.1
2023,62890,17,51.2,,353,WR,479,52.5,Rondale Moore,ARZ,136,0,53.6,50.5
2023,84423,13,77.9,68.1,115,WR,415,81.9,Michael Wilson,ARZ,329,0,68.3,68.7
2023,7816,7,75.9,29.4,111,TE,186,36.0,Zach Ertz,ARZ,25,67,50.8,51.7
2023,42237,13,88.8,,73,WR,245,85.7,Greg Dortch,ARZ,184,0,68.2,71.2
2023,11860,13,90.8,68.0,9,HB,201,86.5,James Conner,ARZ,27,0,89.2,69.2
2023,57337,15,81.9,37.4,0,HB,151,63.2,Michael Carter,ARZ,8,10,60.8,52.2
2023,77763,14,84.9,74.7,12,HB,164,59.2,Emari Demercado,ARZ,11,0,73.4,44.7
2023,98027,11,72.7,68.4,51,TE,91,64.4,Elijah Higgins,ARZ,12,36,63.6,70.4
2023,12303,14,67.0,,17,WR,93,41.6,Zach Pascal,ARZ,86,0,47.6,46.6
2023,9679,14,71.5,66.6,14,TE,100,60.2,Geoff Swaim,ARZ,5,124,50.2,53.4
2023,40498,7,79.7,50.9,0,HB,70,52.1,Tony Jones Jr.,ARZ,4,0,60.1,49.6
2023,9205,3,74.4,80.2,1,HB,10,68.3,Damien Williams,ARZ,1,0,72.7,66.7
2023,86519,16,81.4,,134,WR,485,74.8,Drake London,ATL,377,0,78.9,78.9
2023,83964,17,79.7,77.6,290,TE,466,80.7,Kyle Pitts,ATL,131,74,68.1,72.7
2023,123126,17,37.8,56.8,93,HB,421,63.4,Bijan Robinson,ATL,55,2,69.1,61.5
2023,11855,17,37.5,75.4,232,TE,375,57.3,Jonnu Smith,ATL,60,134,59.1,63.5
2023,47447,17,75.0,,157,WR,376,47.8,Van Jefferson,ATL,238,0,50.1,51.9
2023,11873,13,73.9,66.1,44,WR,161,82.7,Mack Hollins,ATL,123,1,64.6,64.8
2023,26104,17,22.4,68.1,49,WR,183,49.6,KhaDarel Hodge,ATL,142,0,62.4,64.9
2023,83639,17,90.6,90.3,1,HB,108,83.2,Tyler Allgeier,ATL,3,1,82.9,81.0
2023,47481,17,74.1,,65,WR,128,78.7,Scott Miller,ATL,68,0,64.4,63.4
2023,9576,17,19.2,64.2,15,TE,63,77.3,MyCole Pruitt,ATL,4,130,59.4,76.7
2023,7810,14,53.3,78.3,18,HB,85,58.5,Cordarrelle Patterson,ATL,40,2,62.7,56.3
2023,9302,13,67.9,57.8,4,FB,23,70.5,Keith Smith,ATL,6,3,47.2,59.2
2023,9964,1,,,1,WR,12,,Damiere Byrd,ATL,11,0,51.7,52.0
2023,55086,15,27.6,61.3,0,QB,1,,Desmond Ridder,ATL,0,0,51.9,57.6
2023,52286,6,61.2,54.7,0,TE,9,64.7,Tucker Fisk,ATL,1,2,52.0,63.9
2023,83974,2,61.2,,4,TE,6,64.7,John FitzPatrick,ATL,1,2,63.7,68.7
2023,97268,18,57.7,,194,WR,588,65.6,Zay Flowers,BLT,432,0,76.3,75.2
2023,8647,16,29.7,,47,WR,332,82.6,Odell Beckham Jr.,BLT,314,0,75.4,77.0
2023,47436,11,79.1,71.0,253,TE,290,55.3,Mark Andrews,BLT,28,33,78.8,79.5
2023,84296,18,78.0,,42,WR,389,55.9,Rashod Bateman,BLT,366,1,61.0,60.1
2023,9453,19,43.6,36.3,301,WR,394,56.7,Nelson Agholor,BLT,106,12,61.6,61.4
2023,45865,18,70.6,58.8,15,HB,277,81.5,Justice Hill,BLT,16,4,70.3,63.5
2023,83955,19,77.8,40.5,193,TE,341,54.6,Isaiah Likely,BLT,22,150,65.6,68.9
2023,11796,15,34.2,61.0,7,HB,89,81.1,Dalvin Cook,BLT,8,5,53.8,62.4
2023,46027,19,54.3,55.1,6,HB,180,81.1,Gus Edwards,BLT,4,0,73.7,54.5
2023,60917,13,70.8,55.1,24,TE,65,35.3,Charlie Kolar,BLT,2,53,55.4,57.4
2023,123826,7,83.0,35.9,4,HB,51,77.3,Keaton Mitchell,BLT,8,2,92.4,82.1
2023,40006,9,90.0,,35,WR,64,72.1,Devin Duvernay,BLT,33,0,51.4,49.6
2023,48862,19,68.0,62.8,20,FB,114,73.4,Patrick Ricard,BLT,4,136,58.9,46.4
2023,10657,3,61.2,36.3,7,WR,37,28.8,Laquon Treadwell,BLT,33,0,51.3,51.3
2023,9448,4,28.5,36.9,0,HB,17,72.1,Melvin Gordon III,BLT,1,0,65.3,85.2
2023,61577,5,78.5,,7,WR,27,64.7,Tylan Wallace,BLT,19,1,57.0,57.1
2023,57366,1,73.2,48.2,1,HB,14,70.5,J.K. Dobbins,BLT,1,0,53.5,65.9
2023,46416,18,43.3,,0,QB,0,,Lamar Jackson,BLT,0,0,90.4,
2023,9579,19,39.4,,251,WR,665,77.7,Stefon Diggs,BUF,444,0,79.1,79.0
2023,91791,18,51.8,44.3,334,TE,516,79.1,Dalton Kincaid,BUF,102,107,68.8,70.5
2023,55410,17,36.2,65.3,100,WR,555,63.6,Gabe Davis,BUF,493,3,67.9,68.7
2023,83666,19,56.2,23.5,33,HB,343,46.3,James Cook,BUF,36,0,71.7,53.0
2023,84140,19,82.9,69.9,317,WR,393,86.6,Khalil Shakir,BUF,92,4,76.7,76.9
2023,35883,14,75.7,79.5,124,TE,273,34.9,Dawson Knox,BUF,53,126,54.5,56.5
2023,7962,18,57.9,64.3,36,HB,198,51.6,Latavius Murray,BUF,15,3,65.9,52.7
2023,48021,18,71.9,65.4,85,WR,234,61.8,Trent Sherfield,BUF,160,0,51.1,52.8
2023,91470,18,62.8,,72,WR,127,82.2,Deonte Harty,BUF,58,0,68.9,69.7
2023,45769,9,52.2,58.9,3,HB,50,76.5,Ty Johnson,BUF,20,1,78.7,64.1
2023,61182,15,64.0,71.9,22,TE,54,27.3,Quintin Morris,BUF,14,28,55.2,46.8
2023,35134,5,78.8,85.3,3,HB,15,68.3,Damien Harris,BUF,1,0,76.5,57.3
2023,40951,16,61.2,62.8,14,FB,24,64.7,Reggie Gilliam,BUF,2,6,63.9,49.5
