season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified,source_file,injury_score,original_position,original_team,player,team_name,snap_counts_defense,player_game_count
2023,REG,CHI,16,00-0033782,ED,DeMarcus Walker,DeMarcus,Walker,,,,Shin,,Full Participation in Practice,2023-12-22 20:30:44,injury_reports_2023.csv,0.0,DE,CHI,DeMarcus Walker,CHI,714,17
2023,REG,CHI,1,00-0033765,LB,Dylan Cole,Dylan,Cole,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2023-09-08 18:14:10,injury_reports_2023.csv,0.0,LB,CHI,Dylan Cole,CHI,3,2
2023,REG,CHI,2,00-0033765,LB,Dylan Cole,Dylan,Cole,,,,Hamstring,,Full Participation in Practice,2023-09-15 19:41:35,injury_reports_2023.csv,0.0,LB,CHI,Dylan Cole,CHI,3,2
2023,REG,CHI,15,00-0033765,LB,Dylan Cole,Dylan,Cole,,,,Not injury related - personal matter,,Full Participation in Practice,2023-12-15 19:44:50,injury_reports_2023.csv,0.0,LB,CHI,Dylan Cole,CHI,3,2
2023,REG,CIN,1,00-0033548,CB,Chidobe Awuzie,Chidobe,Awuzie,,,,Not injury related - resting player,,Limited Participation in Practice,2023-09-08 18:25:28,injury_reports_2023.csv,0.0,CB,CIN,Chidobe Awuzie,CIN,722,15
2023,REG,CIN,2,00-0033548,CB,Chidobe Awuzie,Chidobe,Awuzie,,,,Not injury related - resting player,,Limited Participation in Practice,2023-09-15 18:01:46,injury_reports_2023.csv,0.0,CB,CIN,Chidobe Awuzie,CIN,722,15
2023,REG,CIN,3,00-0033548,CB,Chidobe Awuzie,Chidobe,Awuzie,,,,Not injury related - resting player,,Limited Participation in Practice,2023-09-23 18:36:29,injury_reports_2023.csv,0.0,CB,CIN,Chidobe Awuzie,CIN,722,15
2023,REG,CIN,4,00-0033548,CB,Chidobe Awuzie,Chidobe,Awuzie,,,,Not injury related - resting player,,Limited Participation in Practice,2023-09-29 18:03:25,injury_reports_2023.csv,0.0,CB,CIN,Chidobe Awuzie,CIN,722,15
2023,REG,CIN,5,00-0033548,CB,Chidobe Awuzie,Chidobe,Awuzie,Back,,Questionable,Back,,Did Not Participate In Practice,2023-10-06 19:30:50,injury_reports_2023.csv,0.0,CB,CIN,Chidobe Awuzie,CIN,722,15
2023,REG,CIN,6,00-0033548,CB,Chidobe Awuzie,Chidobe,Awuzie,Back,,Questionable,Back,,Limited Participation in Practice,2023-10-13 18:27:48,injury_reports_2023.csv,0.0,CB,CIN,Chidobe Awuzie,CIN,722,15
2023,REG,CIN,11,00-0033548,CB,Chidobe Awuzie,Chidobe,Awuzie,,,,Knee,,Full Participation in Practice,2023-11-15 18:26:55,injury_reports_2023.csv,0.0,CB,CIN,Chidobe Awuzie,CIN,722,15
2023,REG,CIN,13,00-0033548,CB,Chidobe Awuzie,Chidobe,Awuzie,,,,Illness,,Full Participation in Practice,2023-12-02 19:23:55,injury_reports_2023.csv,0.0,CB,CIN,Chidobe Awuzie,CIN,722,15
2023,REG,CIN,15,00-0033548,CB,Chidobe Awuzie,Chidobe,Awuzie,,,,Shoulder,,Full Participation in Practice,2023-12-14 19:16:03,injury_reports_2023.csv,0.0,CB,CIN,Chidobe Awuzie,CIN,722,15
2023,REG,CIN,18,00-0033548,CB,Chidobe Awuzie,Chidobe,Awuzie,Shoulder,Calf,Questionable,Shoulder,,Did Not Participate In Practice,2024-01-05 19:31:31,injury_reports_2023.csv,0.0,CB,CIN,Chidobe Awuzie,CIN,722,15
2023,REG,CIN,1,00-0036902,ED,Joseph Ossai,Joseph,Ossai,Ankle,,Out,Ankle,,Did Not Participate In Practice,2023-09-08 18:25:40,injury_reports_2023.csv,3.0,DE,CIN,Joseph Ossai,CIN,177,14
2023,REG,CIN,2,00-0036902,ED,Joseph Ossai,Joseph,Ossai,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2023-09-15 18:02:43,injury_reports_2023.csv,0.0,DE,CIN,Joseph Ossai,CIN,177,14
2023,REG,CIN,3,00-0036902,ED,Joseph Ossai,Joseph,Ossai,,,,Ankle,,Full Participation in Practice,2023-09-23 18:35:31,injury_reports_2023.csv,0.0,DE,CIN,Joseph Ossai,CIN,177,14
2023,REG,CLV,1,00-0034856,CB,Denzel Ward,Denzel,Ward,,,,Concussion,,Full Participation in Practice,2023-09-08 18:52:48,injury_reports_2023.csv,0.0,CB,CLE,Denzel Ward,CLV,657,14
2023,REG,CLV,11,00-0034856,CB,Denzel Ward,Denzel,Ward,,,,Neck,,Full Participation in Practice,2023-11-17 19:58:55,injury_reports_2023.csv,0.0,CB,CLE,Denzel Ward,CLV,657,14
2023,REG,CLV,12,00-0034856,CB,Denzel Ward,Denzel,Ward,Shoulder,,Out,Shoulder,,Did Not Participate In Practice,2023-11-24 20:15:31,injury_reports_2023.csv,3.0,CB,CLE,Denzel Ward,CLV,657,14
2023,REG,CLV,13,00-0034856,CB,Denzel Ward,Denzel,Ward,Shoulder,,Out,Shoulder,,Did Not Participate In Practice,2023-12-01 21:33:57,injury_reports_2023.csv,3.0,CB,CLE,Denzel Ward,CLV,657,14
2023,REG,CLV,14,00-0034856,CB,Denzel Ward,Denzel,Ward,Shoulder,,Questionable,Shoulder,,Limited Participation in Practice,2023-12-08 19:49:05,injury_reports_2023.csv,0.0,CB,CLE,Denzel Ward,CLV,657,14
2023,REG,CLV,15,00-0034856,CB,Denzel Ward,Denzel,Ward,Shoulder,,Questionable,Shoulder,,Limited Participation in Practice,2023-12-15 19:56:21,injury_reports_2023.csv,0.0,CB,CLE,Denzel Ward,CLV,657,14
2023,REG,CLV,16,00-0034856,CB,Denzel Ward,Denzel,Ward,,,,Shoulder,,Full Participation in Practice,2023-12-22 20:49:04,injury_reports_2023.csv,0.0,CB,CLE,Denzel Ward,CLV,657,14
2023,REG,CLV,17,00-0034856,CB,Denzel Ward,Denzel,Ward,,,,Shoulder,,Full Participation in Practice,2023-12-27 20:24:36,injury_reports_2023.csv,0.0,CB,CLE,Denzel Ward,CLV,657,14
2023,REG,CLV,18,00-0034856,CB,Denzel Ward,Denzel,Ward,,,,Shoulder,,Full Participation in Practice,2024-01-05 19:53:21,injury_reports_2023.csv,0.0,CB,CLE,Denzel Ward,CLV,657,14
2023,WC,CLV,19,00-0034856,CB,Denzel Ward,Denzel,Ward,Shoulder,Knee,Questionable,Shoulder,Knee,Limited Participation in Practice,2024-01-11 20:13:55,injury_reports_2023.csv,0.0,CB,CLE,Denzel Ward,CLV,657,14
2023,REG,CLV,1,00-0037251,ED,Alex Wright,Alex,Wright,,,,Knee,,Full Participation in Practice,2023-09-08 19:33:42,injury_reports_2023.csv,0.0,DE,CLE,Alex Wright,CLV,407,17
