season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified,source_file,injury_score,original_position,original_team,player,team_name,snap_counts_defense,player_game_count,total_position_snaps,snap_share,player_weighted_score
2023,REG,BUF,5,00-0030090,S,Micah Hyde,Micah,Hyde,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-10-04 19:20:41,injury_reports_2023.csv,0.0,S,BUF,Micah Hyde,BUF,912,16,16746,0.05446076675026872,0.0
2023,REG,BUF,10,00-0030090,S,Micah Hyde,Micah,Hyde,Neck,,Out,Neck,,Did Not Participate In Practice,2023-11-11 19:16:32,injury_reports_2023.csv,3.0,S,BUF,Micah Hyde,BUF,912,16,16746,0.05446076675026872,0.16338230025080616
2023,REG,BUF,11,00-0030090,S,Micah Hyde,Micah,Hyde,,,,Neck,,Full Participation in Practice,2023-11-17 20:16:19,injury_reports_2023.csv,0.0,S,BUF,Micah Hyde,BUF,912,16,16746,0.05446076675026872,0.0
2023,REG,BUF,12,00-0030090,S,Micah Hyde,Micah,Hyde,,,,Neck,,Full Participation in Practice,2023-11-24 21:38:13,injury_reports_2023.csv,0.0,S,BUF,Micah Hyde,BUF,912,16,16746,0.05446076675026872,0.0
2023,REG,BUF,15,00-0030090,S,Micah Hyde,Micah,Hyde,Neck,,Out,Neck,,Did Not Participate In Practice,2023-12-15 20:57:08,injury_reports_2023.csv,3.0,S,BUF,Micah Hyde,BUF,912,16,16746,0.05446076675026872,0.16338230025080616
2023,REG,BUF,16,00-0030090,S,Micah Hyde,Micah,Hyde,Neck,,Out,Neck,,Limited Participation in Practice,2023-12-21 20:16:24,injury_reports_2023.csv,3.0,S,BUF,Micah Hyde,BUF,912,16,16746,0.05446076675026872,0.16338230025080616
2023,REG,BUF,17,00-0030090,S,Micah Hyde,Micah,Hyde,,,,neck stinger,,Full Participation in Practice,2023-12-29 20:32:10,injury_reports_2023.csv,0.0,S,BUF,Micah Hyde,BUF,912,16,16746,0.05446076675026872,0.0
2023,REG,BUF,18,00-0030090,S,Micah Hyde,Micah,Hyde,,,,Neck,,Full Participation in Practice,2024-01-05 19:49:30,injury_reports_2023.csv,0.0,S,BUF,Micah Hyde,BUF,912,16,16746,0.05446076675026872,0.0
2023,WC,BUF,19,00-0030090,S,Micah Hyde,Micah,Hyde,,,,Neck,,Full Participation in Practice,2024-01-12 19:54:34,injury_reports_2023.csv,0.0,S,BUF,Micah Hyde,BUF,912,16,16746,0.05446076675026872,0.0
2023,REG,BUF,3,00-0030114,S,Jordan Poyer,Jordan,Poyer,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-09-21 19:32:25,injury_reports_2023.csv,0.0,S,BUF,Jordan Poyer,BUF,1103,18,16746,0.06586647557625702,0.0
2023,REG,BUF,4,00-0030114,S,Jordan Poyer,Jordan,Poyer,Knee,,Out,Knee,,Did Not Participate In Practice,2023-09-29 17:58:00,injury_reports_2023.csv,3.0,S,BUF,Jordan Poyer,BUF,1103,18,16746,0.06586647557625702,0.19759942672877107
2023,REG,BUF,5,00-0030114,S,Jordan Poyer,Jordan,Poyer,,,,Knee,,Full Participation in Practice,2023-10-06 21:31:41,injury_reports_2023.csv,0.0,S,BUF,Jordan Poyer,BUF,1103,18,16746,0.06586647557625702,0.0
2023,REG,BUF,10,00-0030114,S,Jordan Poyer,Jordan,Poyer,,,,Shin,,Full Participation in Practice,2023-11-11 19:15:39,injury_reports_2023.csv,0.0,S,BUF,Jordan Poyer,BUF,1103,18,16746,0.06586647557625702,0.0
2023,REG,BUF,9,00-0036888,S,Damar Hamlin,Damar,Hamlin,,,,Illness,,Full Participation in Practice,2023-11-03 18:03:05,injury_reports_2023.csv,0.0,S,BUF,Damar Hamlin,BUF,31,4,16746,0.0018511883434850114,0.0
2023,REG,BUF,17,00-0036888,S,Damar Hamlin,Damar,Hamlin,Shoulder,,Questionable,Shoulder,,Limited Participation in Practice,2023-12-29 20:32:47,injury_reports_2023.csv,0.0,S,BUF,Damar Hamlin,BUF,31,4,16746,0.0018511883434850114,0.0
2023,REG,BUF,18,00-0036888,S,Damar Hamlin,Damar,Hamlin,,,,Shoulder,,Limited Participation in Practice,2024-01-05 19:49:30,injury_reports_2023.csv,0.0,S,BUF,Damar Hamlin,BUF,31,4,16746,0.0018511883434850114,0.0
2023,WC,BUF,19,00-0036888,S,Damar Hamlin,Damar,Hamlin,,,,Shoulder,,Full Participation in Practice,2024-01-12 19:54:34,injury_reports_2023.csv,0.0,S,BUF,Damar Hamlin,BUF,31,4,16746,0.0018511883434850114,0.0
2023,REG,BUF,12,00-0035663,S,Taylor Rapp,Taylor,Rapp,Neck,,Out,Neck,,Did Not Participate In Practice,2023-11-24 21:42:08,injury_reports_2023.csv,3.0,S,BUF,Taylor Rapp,BUF,422,14,16746,0.025200047772602412,0.07560014331780723
2023,REG,BUF,14,00-0035663,S,Taylor Rapp,Taylor,Rapp,,,,Neck,,Full Participation in Practice,2023-12-08 19:06:49,injury_reports_2023.csv,0.0,S,BUF,Taylor Rapp,BUF,422,14,16746,0.025200047772602412,0.0
2023,WC,BUF,19,00-0035663,S,Taylor Rapp,Taylor,Rapp,Calf,,Out,Calf,,Did Not Participate In Practice,2024-01-12 19:57:11,injury_reports_2023.csv,3.0,S,BUF,Taylor Rapp,BUF,422,14,16746,0.025200047772602412,0.07560014331780723
2023,REG,CAR,1,00-0031795,DI,DeShawn Williams,DeShawn,Williams,,,,Illness,,Full Participation in Practice,2023-09-08 16:58:33,injury_reports_2023.csv,0.0,DT,CAR,DeShawn Williams,CAR,443,16,443,1.0,0.0
2023,REG,CAR,5,00-0031795,ED,DeShawn Williams,DeShawn,Williams,,,,Elbow,,Full Participation in Practice,2023-10-06 16:42:31,injury_reports_2023.csv,0.0,DE,CAR,DeShawn Williams,CAR,443,16,3066,0.14448793215916503,0.0
2023,REG,CAR,11,00-0031795,ED,DeShawn Williams,DeShawn,Williams,,,,Not injury related - personal matter,,Did Not Participate In Practice,2023-11-15 20:00:17,injury_reports_2023.csv,0.0,DE,CAR,DeShawn Williams,CAR,443,16,3066,0.14448793215916503,0.0
2023,REG,CAR,14,00-0031795,ED,DeShawn Williams,DeShawn,Williams,Knee,,Out,Knee,,Did Not Participate In Practice,2023-12-08 17:25:58,injury_reports_2023.csv,3.0,DE,CAR,DeShawn Williams,CAR,443,16,3066,0.14448793215916503,0.4334637964774951
2023,REG,CAR,15,00-0031795,ED,DeShawn Williams,DeShawn,Williams,,,,Knee,,Full Participation in Practice,2023-12-15 17:29:38,injury_reports_2023.csv,0.0,DE,CAR,DeShawn Williams,CAR,443,16,3066,0.14448793215916503,0.0
2023,REG,CAR,4,00-0037203,ED,LaBryan Ray,LaBryan,Ray,,,,Finger,,Full Participation in Practice,2023-09-29 17:05:59,injury_reports_2023.csv,0.0,DE,CAR,LaBryan Ray,CAR,356,17,3066,0.11611219830397912,0.0
2023,REG,CAR,6,00-0036220,ED,Derrick Brown,Derrick,Brown,Knee,Ankle,Questionable,Knee,Ankle,Limited Participation in Practice,2023-10-13 16:49:08,injury_reports_2023.csv,0.0,DE,CAR,Derrick Brown,CAR,938,17,3066,0.3059360730593607,0.0
2023,REG,CHI,1,00-0038135,S,Jaquan Brisker,Jaquan,Brisker,,,,Groin,,Full Participation in Practice,2023-09-08 18:13:30,injury_reports_2023.csv,0.0,S,CHI,Jaquan Brisker,CHI,896,15,11440,0.07832167832167833,0.0
2023,REG,CHI,5,00-0038135,S,Jaquan Brisker,Jaquan,Brisker,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2023-10-04 17:53:58,injury_reports_2023.csv,0.0,S,CHI,Jaquan Brisker,CHI,896,15,11440,0.07832167832167833,0.0
2023,REG,CHI,7,00-0038135,S,Jaquan Brisker,Jaquan,Brisker,Groin,,Questionable,Groin,,Limited Participation in Practice,2023-10-20 18:37:29,injury_reports_2023.csv,0.0,S,CHI,Jaquan Brisker,CHI,896,15,11440,0.07832167832167833,0.0
2023,REG,CHI,8,00-0038135,S,Jaquan Brisker,Jaquan,Brisker,Illness,,Questionable,Illness,,Did Not Participate In Practice,2023-10-27 19:06:31,injury_reports_2023.csv,0.0,S,CHI,Jaquan Brisker,CHI,896,15,11440,0.07832167832167833,0.0
2023,REG,CHI,9,00-0038135,S,Jaquan Brisker,Jaquan,Brisker,Concussion,,Out,Concussion,,Did Not Participate In Practice,2023-11-03 18:38:31,injury_reports_2023.csv,3.0,S,CHI,Jaquan Brisker,CHI,896,15,11440,0.07832167832167833,0.23496503496503499
