season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified,source_file,injury_score,original_position,original_team
2023,REG,HST,1,00-0035276,LB,Blake Cashman,Blake,Cashman,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2023-09-08 20:10:25,injury_reports_2023.csv,3.0,LB,HOU
2023,REG,HST,1,00-0031298,S,Jimmie Ward,Jimmie,Ward,Hip,,Out,Hip,,Did Not Participate In Practice,2023-09-08 20:10:38,injury_reports_2023.csv,3.0,S,HOU
2023,REG,IND,1,00-0039156,CB,Julius Brents,Julius,Brents,,,,Not injury related - personal matter,,Did Not Participate In Practice,2023-09-08 19:05:01,injury_reports_2023.csv,0.0,CB,IND
2023,REG,IND,1,00-0034846,LB,Shaquille Leonard,Shaquille,Leonard,,,,Concussion,,Full Participation in Practice,2023-09-08 19:04:45,injury_reports_2023.csv,0.0,LB,IND
2023,REG,IND,1,00-0032378,DI,DeForest Buckner,DeForest,Buckner,,,,Forearm,,Limited Participation in Practice,2023-09-08 19:05:12,injury_reports_2023.csv,0.0,DT,IND
2023,REG,JAX,1,00-0038596,S,Antonio Johnson,Antonio,Johnson,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2023-09-08 18:14:40,injury_reports_2023.csv,3.0,S,JAX
2023,REG,JAX,1,00-0038940,ED,Tyler Lacy,Tyler,Lacy,Hip,,Out,Hip,,Limited Participation in Practice,2023-09-08 18:14:48,injury_reports_2023.csv,3.0,DE,JAX
2023,REG,KC,1,00-0038986,CB,Nic Jones,Nic,Jones,,,,Hand,,Full Participation in Practice,2023-09-06 19:49:55,injury_reports_2023.csv,0.0,CB,KC
2023,REG,KC,1,00-0036374,CB,L'Jarius Sneed,L'Jarius,Sneed,,,,Knee,,Full Participation in Practice,2023-09-06 19:50:11,injury_reports_2023.csv,0.0,CB,KC
2023,REG,KC,1,00-0038983,ED,B.J. Thompson,B.J.,Thompson,,,,Hamstring,,Full Participation in Practice,2023-09-06 19:49:55,injury_reports_2023.csv,0.0,DE,KC
2023,REG,KC,1,00-0035890,DI,Tershawn Wharton,Tershawn,Wharton,,,,Knee,,Full Participation in Practice,2023-09-06 19:49:55,injury_reports_2023.csv,0.0,DT,KC
