season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified,source_file,injury_score,original_position,original_team,player,team_name,attempts,player_game_count
2023,REG,KC,18,00-0033873,QB,Patrick Mahomes,Patrick,Mahomes,Ankle,,Doubtful,Ankle,,Full Participation in Practice,2024-01-05 21:04:11,injury_reports_2023.csv,0.0,QB,KC,Patrick Mahomes,KC,746,20
2023,REG,MIN,4,00-0038598,QB,Jaren Hall,Jaren,Hall,Not injury related - personal matter,,Questionable,Not injury related - personal matter,,Did Not Participate In Practice,2023-09-29 18:45:19,injury_reports_2023.csv,0.0,QB,MIN,Jaren Hall,MIN,20,3
2023,REG,MIN,10,00-0038598,QB,Jaren Hall,Jaren,Hall,Concussion,,Out,Concussion,,Did Not Participate In Practice,2023-11-10 19:54:30,injury_reports_2023.csv,3.0,QB,MIN,Jaren Hall,MIN,20,3
2023,REG,MIN,11,00-0038598,QB,Jaren Hall,Jaren,Hall,Concussion,,Out,Concussion,,Did Not Participate In Practice,2023-11-17 20:07:04,injury_reports_2023.csv,3.0,QB,MIN,Jaren Hall,MIN,20,3
2023,REG,MIN,12,00-0038598,QB,Jaren Hall,Jaren,Hall,,,,Concussion,,Full Participation in Practice,2023-11-25 20:58:21,injury_reports_2023.csv,0.0,QB,MIN,Jaren Hall,MIN,20,3
2023,REG,NO,4,00-0031280,QB,Derek Carr,Derek,Carr,right Shoulder,,Questionable,right Shoulder,,Limited Participation in Practice,2023-09-29 19:09:46,injury_reports_2023.csv,0.0,QB,NO,Derek Carr,NO,548,17
2023,REG,NO,5,00-0031280,QB,Derek Carr,Derek,Carr,right Shoulder,,Questionable,right Shoulder,,Limited Participation in Practice,2023-10-06 19:40:27,injury_reports_2023.csv,0.0,QB,NO,Derek Carr,NO,548,17
2023,REG,NO,6,00-0031280,QB,Derek Carr,Derek,Carr,,,,right Shoulder,,Full Participation in Practice,2023-10-13 19:10:48,injury_reports_2023.csv,0.0,QB,NO,Derek Carr,NO,548,17
2023,REG,NO,7,00-0031280,QB,Derek Carr,Derek,Carr,,,,right Shoulder,Chest,Full Participation in Practice,2023-10-18 19:12:18,injury_reports_2023.csv,0.0,QB,NO,Derek Carr,NO,548,17
2023,REG,NO,12,00-0031280,QB,Derek Carr,Derek,Carr,,,,Concussion,,Full Participation in Practice,2023-11-22 20:53:21,injury_reports_2023.csv,0.0,QB,NO,Derek Carr,NO,548,17
2023,REG,NO,14,00-0031280,QB,Derek Carr,Derek,Carr,Concussion,"right Shoulder, rib",Questionable,Concussion,"right Shoulder, rib",Full Participation in Practice,2023-12-08 20:23:22,injury_reports_2023.csv,0.0,QB,NO,Derek Carr,NO,548,17
2023,REG,LA,5,00-0026498,QB,Matthew Stafford,Matthew,Stafford,,,,Hip,,Full Participation in Practice,2023-10-06 19:45:00,injury_reports_2023.csv,0.0,QB,LA,Matthew Stafford,LA,557,16
2023,REG,LA,9,00-0026498,QB,Matthew Stafford,Matthew,Stafford,right Thumb,,Questionable,right Thumb,,Did Not Participate In Practice,2023-11-03 21:41:00,injury_reports_2023.csv,0.0,QB,LA,Matthew Stafford,LA,557,16
2023,REG,LA,11,00-0026498,QB,Matthew Stafford,Matthew,Stafford,,,,right Thumb,,Full Participation in Practice,2023-11-17 20:46:39,injury_reports_2023.csv,0.0,QB,LA,Matthew Stafford,LA,557,16
2023,REG,LA,18,00-0026498,QB,Matthew Stafford,Matthew,Stafford,Coach's decision,,Doubtful,Coach's decision,,Did Not Participate In Practice,2024-01-05 20:39:45,injury_reports_2023.csv,0.0,QB,LA,Matthew Stafford,LA,557,16
2023,REG,MIN,5,00-0033319,QB,Nick Mullens,Nick,Mullens,Back,,Questionable,Back,,Limited Participation in Practice,2023-10-06 18:47:32,injury_reports_2023.csv,0.0,QB,MIN,Nick Mullens,MIN,148,5
2023,REG,MIN,11,00-0033319,QB,Nick Mullens,Nick,Mullens,Back,,Questionable,Back,,Limited Participation in Practice,2023-11-17 20:06:50,injury_reports_2023.csv,0.0,QB,MIN,Nick Mullens,MIN,148,5
2023,REG,MIN,12,00-0033319,QB,Nick Mullens,Nick,Mullens,,,,Back,,Full Participation in Practice,2023-11-25 20:58:21,injury_reports_2023.csv,0.0,QB,MIN,Nick Mullens,MIN,148,5
2023,REG,PIT,5,00-0038102,QB,Kenny Pickett,Kenny,Pickett,,,,Knee,,Full Participation in Practice,2023-10-06 18:32:00,injury_reports_2023.csv,0.0,QB,PIT,Kenny Pickett,PIT,324,12
2023,REG,PIT,9,00-0038102,QB,Kenny Pickett,Kenny,Pickett,,,,Rib,,Full Participation in Practice,2023-11-01 20:04:53,injury_reports_2023.csv,0.0,QB,PIT,Kenny Pickett,PIT,324,12
2023,REG,PIT,13,00-0038102,QB,Kenny Pickett,Kenny,Pickett,,,,Ankle,,Full Participation in Practice,2023-12-01 19:56:44,injury_reports_2023.csv,0.0,QB,PIT,Kenny Pickett,PIT,324,12
2023,REG,PIT,14,00-0038102,QB,Kenny Pickett,Kenny,Pickett,Ankle,,Out,Ankle,,Did Not Participate In Practice,2023-12-06 21:05:48,injury_reports_2023.csv,3.0,QB,PIT,Kenny Pickett,PIT,324,12
2023,REG,PIT,15,00-0038102,QB,Kenny Pickett,Kenny,Pickett,Ankle,,Out,Ankle,,Did Not Participate In Practice,2023-12-14 19:57:21,injury_reports_2023.csv,3.0,QB,PIT,Kenny Pickett,PIT,324,12
2023,REG,PIT,16,00-0038102,QB,Kenny Pickett,Kenny,Pickett,Ankle,,Out,Ankle,,Limited Participation in Practice,2023-12-21 20:12:48,injury_reports_2023.csv,3.0,QB,PIT,Kenny Pickett,PIT,324,12
2023,REG,PIT,17,00-0038102,QB,Kenny Pickett,Kenny,Pickett,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2023-12-29 20:29:37,injury_reports_2023.csv,0.0,QB,PIT,Kenny Pickett,PIT,324,12
2023,REG,PIT,18,00-0038102,QB,Kenny Pickett,Kenny,Pickett,,,,Ankle,,Full Participation in Practice,2024-01-04 20:49:21,injury_reports_2023.csv,0.0,QB,PIT,Kenny Pickett,PIT,324,12
2023,REG,LAC,6,00-0036355,QB,Justin Herbert,Justin,Herbert,,,,left Finger,,Full Participation in Practice,2023-10-14 20:00:06,injury_reports_2023.csv,0.0,QB,LAC,Justin Herbert,LAC,456,13
2023,REG,LAC,7,00-0036355,QB,Justin Herbert,Justin,Herbert,,,,left Finger,,Full Participation in Practice,2023-10-20 20:15:40,injury_reports_2023.csv,0.0,QB,LAC,Justin Herbert,LAC,456,13
2023,REG,LAC,8,00-0036355,QB,Justin Herbert,Justin,Herbert,,,,left Finger,,Full Participation in Practice,2023-10-27 20:21:53,injury_reports_2023.csv,0.0,QB,LAC,Justin Herbert,LAC,456,13
2023,REG,LAC,9,00-0036355,QB,Justin Herbert,Justin,Herbert,,,,left Finger,,Full Participation in Practice,2023-11-04 20:18:03,injury_reports_2023.csv,0.0,QB,LAC,Justin Herbert,LAC,456,13
2023,REG,LAC,10,00-0036355,QB,Justin Herbert,Justin,Herbert,,,,left Finger,,Full Participation in Practice,2023-11-10 21:33:06,injury_reports_2023.csv,0.0,QB,LAC,Justin Herbert,LAC,456,13
2023,REG,LAC,12,00-0036355,QB,Justin Herbert,Justin,Herbert,,,,left Finger,,Full Participation in Practice,2023-11-24 21:13:55,injury_reports_2023.csv,0.0,QB,LAC,Justin Herbert,LAC,456,13
2023,REG,LAC,15,00-0036355,QB,Justin Herbert,Justin,Herbert,,,,right Finger,,Did Not Participate In Practice,2023-12-11 21:01:30,injury_reports_2023.csv,0.0,QB,LAC,Justin Herbert,LAC,456,13
2023,REG,NYG,6,00-0035710,QB,Daniel Jones,Daniel,Jones,Neck,,Out,Neck,,Did Not Participate In Practice,2023-10-13 18:11:24,injury_reports_2023.csv,3.0,QB,NYG,Daniel Jones,NYG,160,6
