team_name,position,weighted_injury_score,injury_score,snap_share,attempts
ARZ,QB,0.6000000000000001,3.0,1.0,1340
ATL,QB,0.0,0.0,1.0,796
BLT,QB,1.4480823199251638,3.0,1.0,1069
BUF,QB,0.0,0.0,1.0,7128
CAR,QB,0.5870776086149276,3.0,1.0,2693
CHI,QB,1.1138986452584045,6.0,1.0,1993
CIN,QB,0.3914908830890239,3.0,1.0,2797
CLV,QB,0.5766299745977985,9.0,1.0,2362
DAL,QB,0.0,0.0,1.0,24
HST,QB,0.49213883120735685,3.0,1.0,3371
IND,QB,1.5,3.0,1.0,168
JAX,QB,0.35419719489219176,3.0,1.0,4777
KC,QB,0.0,0.0,1.0,3019
LA,QB,0.0,0.0,1.0,2228
LAC,QB,0.0,0.0,1.0,3192
LV,QB,0.5715896279594137,3.0,1.0,887
MIA,QB,0.0,0.0,1.0,1806
MIN,QB,0.1275239107332625,6.0,1.0,941
NO,QB,0.0,0.0,1.0,3343
NYG,QB,1.1045655375552283,9.0,1.0,1358
NYJ,QB,2.041692213366033,27.0,1.0,1631
PHI,QB,0.0,0.0,1.0,1146
PIT,QB,1.125,9.0,1.0,2592
SEA,QB,0.0,0.0,1.0,2571
SF,QB,0.0,0.0,1.0,1656
TB,QB,0.0,0.0,1.0,3858
TEN,QB,0.35114503816793896,6.0,1.0,3930
WAS,QB,0.0,0.0,1.0,46
