year,grades_run,attempts,player_game_count,routes,breakaway_attempts,grades_hands_fumble,run_plays,grades_pass,grades_run_block,player,team_name,grades_offense_penalty,grades_offense,zone_attempts,player_id,grades_pass_block,position,gap_attempts,grades_pass_route
2023,88.4,208,13,201,13,90.8,262,,68.9,James Conner,ARZ,88.3,89.2,89,11860,68.0,HB,115,69.2
2023,89.9,58,14,164,2,84.9,74,,40.7,Emari Demercado,ARZ,86.8,73.4,31,77763,74.7,HB,26,44.7
2023,77.8,44,8,0,2,59.7,212,67.6,60.2,Kyler Murray,ARZ,9.4,70.8,13,38334,,QB,9,
2023,75.3,30,15,151,6,81.9,37,,60.0,Michael Carter,ARZ,0.0,60.8,18,57337,37.4,HB,11,52.2
2023,72.4,28,17,479,3,51.2,238,,54.0,Rondale Moore,ARZ,88.9,53.6,6,62890,,WR,12,50.5
2023,65.7,26,7,70,1,79.7,33,,60.2,Tony Jones Jr.,ARZ,81.7,60.1,16,40498,50.9,HB,8,49.6
2023,70.7,11,3,10,0,74.4,15,,59.4,Damien Williams,ARZ,78.1,72.7,7,9205,80.2,HB,4,66.7
2023,65.6,8,7,0,0,78.8,25,28.0,60.0,Clayton Tune,ARZ,78.8,34.2,0,77652,,QB,0,
2023,62.2,2,14,460,1,79.9,282,,48.3,Marquise Brown,ARZ,63.6,67.1,0,61568,,WR,0,68.1
2023,63.1,1,3,0,0,61.9,2,,60.0,Ezekiel Turner,ARZ,67.9,65.6,0,49167,65.4,LB,0,
2023,63.1,1,3,2,0,61.9,1,,,Blake Gillikin,ARZ,70.1,62.8,0,45045,,P,0,56.9
2023,48.5,1,13,245,0,88.8,141,,44.9,Greg Dortch,ARZ,63.1,68.2,0,42237,,WR,0,71.2
2023,75.1,214,17,421,10,37.8,272,,35.5,Bijan Robinson,ATL,46.5,69.1,146,123126,56.8,HB,63,61.5
2023,78.0,186,17,108,3,90.6,212,,43.4,Tyler Allgeier,ATL,82.8,82.9,131,83639,90.3,HB,51,81.0
2023,48.8,53,15,1,1,27.6,382,53.2,60.3,Desmond Ridder,ATL,50.1,51.9,7,55086,61.3,QB,12,57.6
