season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified,source_file,injury_score,original_position,original_team,player,team_name,snap_counts_offense,player_game_count
2023,REG,BLT,3,00-0032965,T,Ronnie Stanley,Ronnie,Stanley,Knee,,Out,Knee,,Did Not Participate In Practice,2023-09-22 19:04:25,injury_reports_2023.csv,3.0,T,BAL,Ronnie Stanley,BLT,834,15
2023,REG,BLT,4,00-0032965,T,Ronnie Stanley,Ronnie,Stanley,Knee,,Doubtful,Knee,,Did Not Participate In Practice,2023-09-29 19:22:50,injury_reports_2023.csv,0.0,T,BAL,Ronnie Stanley,BLT,834,15
2023,REG,BLT,5,00-0032965,T,Ronnie Stanley,Ronnie,Stanley,Knee,Not injury related - resting player,Questionable,Knee,Not injury related - resting p,Did Not Participate In Practice,2023-10-06 18:46:43,injury_reports_2023.csv,0.0,T,BAL,Ronnie Stanley,BLT,834,15
2023,REG,BLT,9,00-0032965,T,Ronnie Stanley,Ronnie,Stanley,,,,Shoulder,,Full Participation in Practice,2023-11-03 19:52:36,injury_reports_2023.csv,0.0,T,BAL,Ronnie Stanley,BLT,834,15
2023,REG,BLT,11,00-0032965,T,Ronnie Stanley,Ronnie,Stanley,Knee,,Out,Knee,,Did Not Participate In Practice,2023-11-15 19:33:38,injury_reports_2023.csv,3.0,T,BAL,Ronnie Stanley,BLT,834,15
2023,REG,BLT,12,00-0032965,T,Ronnie Stanley,Ronnie,Stanley,Knee,,Questionable,Knee,,Did Not Participate In Practice,2023-11-24 21:25:20,injury_reports_2023.csv,0.0,T,BAL,Ronnie Stanley,BLT,834,15
2023,REG,BLT,16,00-0032965,T,Ronnie Stanley,Ronnie,Stanley,,,,Concussion,,Full Participation in Practice,2023-12-23 22:10:46,injury_reports_2023.csv,0.0,T,BAL,Ronnie Stanley,BLT,834,15
2023,REG,CHI,1,00-0035649,G,Nate Davis,Nate,Davis,,,,Not injury related - personal matter,,Full Participation in Practice,2023-09-08 18:13:45,injury_reports_2023.csv,0.0,G,CHI,Nate Davis,CHI,663,11
2023,REG,CHI,2,00-0035649,G,Nate Davis,Nate,Davis,Not injury related - personal matter,,Doubtful,,,"
    ",2023-09-16 20:37:40,injury_reports_2023.csv,0.0,G,CHI,Nate Davis,CHI,663,11
2023,REG,CHI,3,00-0035649,G,Nate Davis,Nate,Davis,Not injury related - personal matter,,Questionable,Not injury related - personal matter,,Limited Participation in Practice,2023-09-22 19:11:11,injury_reports_2023.csv,0.0,G,CHI,Nate Davis,CHI,663,11
2023,REG,CHI,7,00-0035649,G,Nate Davis,Nate,Davis,Ankle,,Out,Ankle,,Did Not Participate In Practice,2023-10-20 18:37:35,injury_reports_2023.csv,3.0,G,CHI,Nate Davis,CHI,663,11
2023,REG,CHI,8,00-0035649,G,Nate Davis,Nate,Davis,Ankle,,Out,Ankle,,Did Not Participate In Practice,2023-10-27 19:06:39,injury_reports_2023.csv,3.0,G,CHI,Nate Davis,CHI,663,11
2023,REG,CHI,9,00-0035649,G,Nate Davis,Nate,Davis,Ankle,,Out,Ankle,,Did Not Participate In Practice,2023-11-03 18:39:19,injury_reports_2023.csv,3.0,G,CHI,Nate Davis,CHI,663,11
2023,REG,CHI,10,00-0035649,G,Nate Davis,Nate,Davis,Ankle,,Out,Ankle,,Did Not Participate In Practice,2023-11-08 21:18:50,injury_reports_2023.csv,3.0,G,CHI,Nate Davis,CHI,663,11
2023,REG,CHI,11,00-0035649,G,Nate Davis,Nate,Davis,,,,Ankle,,Full Participation in Practice,2023-11-17 19:40:20,injury_reports_2023.csv,0.0,G,CHI,Nate Davis,CHI,663,11
2023,REG,CLV,1,00-0031426,G,Joel Bitonio,Joel,Bitonio,,,,Not injury related - resting player,,Full Participation in Practice,2023-09-08 18:52:17,injury_reports_2023.csv,0.0,G,CLE,Joel Bitonio,CLV,1107,16
2023,REG,CLV,2,00-0031426,G,Joel Bitonio,Joel,Bitonio,,,,Not injury related - resting player,,Full Participation in Practice,2023-09-16 17:54:30,injury_reports_2023.csv,0.0,G,CLE,Joel Bitonio,CLV,1107,16
2023,REG,CLV,3,00-0031426,G,Joel Bitonio,Joel,Bitonio,,,,Not injury related - resting player,,Full Participation in Practice,2023-09-22 18:36:15,injury_reports_2023.csv,0.0,G,CLE,Joel Bitonio,CLV,1107,16
2023,REG,CLV,4,00-0031426,G,Joel Bitonio,Joel,Bitonio,,,,Not injury related - resting player,Ankle,Limited Participation in Practice,2023-09-29 19:12:37,injury_reports_2023.csv,0.0,G,CLE,Joel Bitonio,CLV,1107,16
2023,REG,CLV,6,00-0031426,G,Joel Bitonio,Joel,Bitonio,Knee,,Out,Knee,,Did Not Participate In Practice,2023-10-13 19:24:06,injury_reports_2023.csv,3.0,G,CLE,Joel Bitonio,CLV,1107,16
2023,REG,CLV,7,00-0031426,G,Joel Bitonio,Joel,Bitonio,,,,Knee,,Full Participation in Practice,2023-10-20 17:56:52,injury_reports_2023.csv,0.0,G,CLE,Joel Bitonio,CLV,1107,16
2023,REG,CLV,8,00-0031426,G,Joel Bitonio,Joel,Bitonio,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-10-25 23:19:57,injury_reports_2023.csv,0.0,G,CLE,Joel Bitonio,CLV,1107,16
2023,REG,CLV,9,00-0031426,G,Joel Bitonio,Joel,Bitonio,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-11-01 20:31:52,injury_reports_2023.csv,0.0,G,CLE,Joel Bitonio,CLV,1107,16
2023,REG,CLV,10,00-0031426,G,Joel Bitonio,Joel,Bitonio,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-11-08 20:25:28,injury_reports_2023.csv,0.0,G,CLE,Joel Bitonio,CLV,1107,16
2023,REG,CLV,11,00-0031426,G,Joel Bitonio,Joel,Bitonio,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-11-15 20:47:03,injury_reports_2023.csv,0.0,G,CLE,Joel Bitonio,CLV,1107,16
