team_name,position,weighted_injury_score,injury_score,snap_share,snap_counts_defense,snap_counts_offense,attempts,routes
KC,ED,0.0,0.0,1.0,4896.0,,,
KC,LB,0.6498201548497227,15.0,1.0,16403.0,,,
KC,S,0.1734763529985373,3.0,1.0,10255.0,,,
LA,CB,0.03858520900321544,3.0,1.0,5909.0,,,
LA,DI,0.05242718446601942,3.0,1.0,14935.0,,,
LA,ED,0.0,0.0,1.0,636.0,,,
LA,LB,0.18045662100456622,3.0,1.0,16425.0,,,
LA,S,0.5225473321858863,6.0,1.0,5810.0,,,
LAC,CB,0.693507994606049,12.0,1.0,5191.0,,,
LAC,DI,0.3604525862068965,3.0,1.0,1856.0,,,
LAC,ED,0.20103308669551864,9.0,1.0,14326.0,,,
LAC,LB,0.6173861620342992,6.0,1.0,5073.0,,,
LAC,S,0.48157758173326415,3.0,1.0,5781.0,,,
LV,CB,0.5821723059425646,15.0,1.0,14068.0,,,
LV,DI,0.0,0.0,1.0,2978.0,,,
LV,ED,0.0,0.0,1.0,18619.0,,,
LV,LB,0.5323814380418154,12.0,1.0,9805.0,,,
LV,S,0.0,0.0,1.0,4258.0,,,
MIA,CB,0.36687434526106855,12.0,1.0,18137.0,,,
MIA,DI,0.0,0.0,1.0,1062.0,,,
MIA,ED,0.0,0.0,1.0,2178.0,,,
MIA,LB,0.36939611054247695,6.0,1.0,9770.0,,,
MIA,S,0.36759850319172355,9.0,1.0,13629.0,,,
MIN,CB,0.6446074345724286,6.0,1.0,5999.0,,,
MIN,DI,0.1434684117795117,6.0,1.0,3973.0,,,
MIN,ED,0.4395377631035906,6.0,1.0,2423.0,,,
MIN,LB,0.0,0.0,1.0,2663.0,,,
MIN,S,0.09636454183266932,9.0,0.9999999999999999,8032.0,,,
NE,CB,0.14412429067269023,6.0,1.0,18151.0,,,
NE,DI,0.0,0.0,1.0,15295.0,,,
NE,ED,1.5,3.0,1.0,1044.0,,,
NE,LB,0.0,0.0,1.0,10599.0,,,
NE,S,0.3995258680797657,3.0,1.0,7171.0,,,
NO,CB,0.9346703733121526,6.0,1.0,5036.0,,,
NO,DI,0.0,0.0,1.0,1641.0,,,
NO,ED,0.16860803727431564,18.0,1.0,6868.0,,,
NO,LB,0.4458609004356947,6.0,1.0,6197.0,,,
NO,S,0.4604048824054778,15.0,1.0,6718.0,,,
NYG,CB,0.4806311317892181,6.0,1.0,9887.0,,,
NYG,DI,0.12741846323935876,3.0,0.9999999999999999,10854.0,,,
NYG,ED,0.75,6.0,1.0,3392.0,,,
NYG,LB,0.0,0.0,1.0,8169.0,,,
NYG,S,0.6182225845902976,3.0,1.0,4906.0,,,
NYJ,CB,1.9999999999999998,12.0,1.0,3408.0,,,
NYJ,DI,0.0,0.0,1.0,966.0,,,
NYJ,ED,0.0,0.0,1.0,6193.0,,,
NYJ,LB,0.011913986826811312,12.0,1.0,10324.0,,,
NYJ,S,1.095554632322393,6.0,1.0,4814.0,,,
PHI,CB,1.4457421957952856,30.0,1.0,14127.0,,,
PHI,DI,0.47369655280231376,12.0,1.0,12793.0,,,
PHI,ED,0.0,0.0,1.0,1750.0,,,
PHI,LB,0.6409374717220161,9.0,1.0,11051.0,,,
PHI,S,1.296095954844779,27.0,1.0,8504.0,,,
PIT,CB,0.00598035027765912,3.0,1.0,14046.0,,,
PIT,DI,0.25890992386983763,9.0,1.0,14843.0,,,
PIT,ED,3.0,3.0,1.0,206.0,,,
PIT,LB,0.3786905246034974,6.0,1.0,12295.0,,,
PIT,S,1.3155358519660756,27.0,1.0,10376.0,,,
SEA,CB,0.2678255165628075,15.0,1.0,15245.0,,,
SEA,DI,0.004304722149752152,3.0,1.0,15332.0,,,
SEA,ED,0.025161290322580646,3.0,1.0,3100.0,,,
SEA,LB,0.07181280258203336,9.0,1.0,22308.0,,,
SEA,S,0.3800440205429201,12.0,1.0,16356.0,,,
SF,CB,0.21460674157303372,3.0,1.0,8010.0,,,
SF,DI,1.5610253794158908,18.0,1.0,7841.0,,,
SF,ED,0.12547288776796975,3.0,1.0,4758.0,,,
SF,LB,0.2241007504528595,6.0,1.0,11593.0,,,
SF,S,1.4096385542168675,6.0,1.0,2324.0,,,
TB,CB,1.566052467207995,18.0,1.0,6404.0,,,
TB,DI,0.686532507739938,21.0,1.0,11628.0,,,
TB,ED,0.8757825370675454,6.0,1.0,3035.0,,,
TB,LB,0.6544520547945205,24.0,1.0,23360.0,,,
TB,S,0.3956992888587877,6.0,1.0,5906.0,,,
TEN,CB,1.286134163208852,33.0,1.0,17352.0,,,
TEN,DI,1.2824615384615385,12.0,1.0,4875.0,,,
TEN,ED,0.0,0.0,1.0,11505.0,,,
TEN,LB,0.3158398468655288,15.0,1.0,6269.0,,,
