team_name,C,CB,DI,ED,FB,G,HB,LB,QB,S,T,TE,WR
BLT,2.0,0.7960022567905214,0.0,0.0,0.0,0.6060550458715597,0.3134796238244514,0.46984609287271284,1.4480823199251638,0.7779868297271871,0.595525230085687,0.93048128342246,0.25687871450583316
BUF,0.0,0.35318835237744195,0.6255742725880551,0.14464993394980186,0.0,0.0,0.0,0.06408114558472554,0.0,0.838946614116804,0.0,0.21984997114829774,0.43700787401574803
CAR,0.09734513274336283,0.24599615631005767,0.0,0.4334637964774951,0.0,0.5202108963093146,0.298151001540832,0.20749513303049966,0.5870776086149276,1.0962297238053484,0.0,1.0454763044518909,0.0
CHI,0.0,0.9621405169275572,0.0,0.0,1.0,1.5,0.6671744097486672,1.747914735866543,1.1138986452584045,0.7431818181818182,0.3076599326599327,0.0,1.481162540365985
CIN,0.0,0.3468177392228025,0.2231147965794247,0.5422868741542626,0.0,0.0,0.1390937829293994,0.20738302374794262,0.3914908830890239,0.0,0.0,0.0,0.7016272716474641
CLV,0.4020037570444584,0.5571806833942756,0.0,0.19227419437471183,0.0,0.11463583016914049,0.0,0.5083798882681564,0.5766299745977985,0.771681691016475,0.2997474038731406,0.0,0.40349917987971573
DAL,0.0,0.022358365439272405,0.5350230414746544,0.0,0.0,0.0,0.1672794117647059,0.13227339780363875,0.0,0.0,0.11712193516537765,0.5,0.0
DEN,0.0,0.0,0.419959266802444,0.0,0.0,0.0,0.0,0.8048101265822785,0.0,0.48242001900538484,0.5556424799530608,0.8367346938775511,0.3058823529411765
DET,0.16666666666666666,0.8513278441377712,0.22388059701492535,1.0095677994061365,2.25,1.418818837827573,0.9838274932614555,0.08344370860927153,0.0,0.7287018255578093,0.28171404327535,0.5269516728624535,0.2601129598534575
GB,0.0,0.020639189442741884,0.0,0.0,0.0,0.3125766871165644,0.3387096774193548,0.22025181769817345,0.0,0.36609090373165126,0.044522396114409064,0.3420647149460709,0.15267697036973785
HST,0.0,0.3250230840258541,0.1569862374620947,0.8425800631483987,0.6000000000000001,1.0,1.7526315789473685,0.8994391906751704,0.49213883120735685,1.436870503597122,0.09443502087682672,1.3488076311605723,0.399293766127937
IND,1.0,0.0,0.0,0.6240713224368499,0.0,0.0,0.9736594543744121,0.06734335350380637,1.5,0.0,1.484538612565445,1.1903864278982095,0.0
JAX,0.0,1.272141255605381,0.0,0.43543543543543545,0.0,0.0,0.0,1.1507681917946986,0.35419719489219176,0.6958622772576261,0.6516866278430942,0.4730983302411874,1.0823353293413174
KC,0.0,0.17973736091155143,0.0,0.0,0.0,0.0,0.7087015635622026,0.6498201548497227,0.0,0.1734763529985373,1.2671049613943888,0.0,0.5030303030303029
LA,0.0,0.03858520900321544,0.05242718446601942,0.0,0.0,0.0,0.7237237237237237,0.18045662100456622,0.0,0.5225473321858863,0.0,0.0,0.0
LAC,0.3967861557478368,0.693507994606049,0.3604525862068965,0.20103308669551864,0.0,0.0,0.5761802575107295,0.6173861620342992,0.0,0.48157758173326415,0.0,0.4469316866074874,0.9415397282832441
LV,0.6000000000000001,0.5821723059425646,0.0,0.0,0.0,0.0,0.7467948717948718,0.5323814380418154,0.5715896279594137,0.0,0.5092790863668808,2.2356687898089174,0.24242885405569928
MIA,0.3333333333333333,0.36687434526106855,0.0,0.0,0.0,0.6620301374399735,0.0,0.36939611054247695,0.0,0.36759850319172355,0.10113525038898175,0.0,0.12291105121293802
MIN,0.75,0.6446074345724286,0.1434684117795117,0.4395377631035906,0.0,0.0,0.7551020408163265,0.0,0.1275239107332625,0.09636454183266932,0.5684887459807073,0.0,0.11574158325750682
NE,0.0,0.14412429067269023,0.0,1.5,0.0,0.375,0.9416498993963782,0.0,0.0,0.3995258680797657,0.21811915312653862,0.5063868613138687,1.0416991426344504
NO,0.0,0.9346703733121526,0.0,0.16860803727431564,1.5,0.3583210101239904,0.6707404744787923,0.4458609004356947,0.0,0.4604048824054778,0.8692197770791654,0.762544557170277,0.1955535390199637
NYG,0.0,0.4806311317892181,0.12741846323935876,0.75,0.0,0.44742880280739644,0.3084539223153085,0.0,1.1045655375552283,0.6182225845902976,1.2343608340888488,0.27698309492847856,0.0
NYJ,0.5797232932637787,1.9999999999999998,0.0,0.0,0.0,0.9928160919540231,0.0,0.011913986826811312,2.041692213366033,1.095554632322393,0.13042159538974823,0.8232682060390764,0.24233453161344892
PHI,0.0,1.4457421957952856,0.47369655280231376,0.0,0.0,1.2820411392405062,0.3163097199341022,0.6409374717220161,0.0,1.296095954844779,0.0,0.9600742804085423,0.6612959719789843
PIT,0.0,0.00598035027765912,0.25890992386983763,3.0,0.0,0.30836556075717486,0.0,0.3786905246034974,1.125,1.3155358519660756,0.0,0.9057720769610261,0.33770949720670396
SEA,0.0,0.2678255165628075,0.004304722149752152,0.025161290322580646,0.0,0.25334655428854735,0.0,0.07181280258203336,0.0,0.3800440205429201,0.767383810769048,0.0,0.005519779208831647
SF,0.0,0.21460674157303372,1.5610253794158908,0.12547288776796975,0.0,0.47812786784949524,0.6104003301692117,0.2241007504528595,0.0,1.4096385542168675,0.0403101692908725,0.17412935323383083,0.847451343836886
TB,0.0,1.566052467207995,0.686532507739938,0.8757825370675454,0.0,0.3569667077681874,0.0,0.6544520547945205,0.0,0.3956992888587877,0.0,1.0,0.028465116279069766
TEN,0.0,1.286134163208852,1.2824615384615385,0.0,0.0,0.25346534653465347,0.0,0.3158398468655288,0.35114503816793896,0.9812056737588652,1.0677392040643523,0.34296977660972405,0.4059734513274336
WAS,0.9589589589589589,0.6404175917615381,0.2849786348197655,1.2431226765799257,0.0,1.1182608695652174,1.2669039145907472,0.6276648487853247,0.0,0.3594489883770986,0.0,0.9490171990171989,0.18339416058394162
