season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified,source_file,injury_score,original_position,original_team,player,team_name,routes,player_game_count,total_position_snaps,snap_share,player_weighted_score
2023,REG,ARZ,12,00-0033251,WR,Zach Pascal,Zach,Pascal,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2023-11-24 20:55:44,injury_reports_2023.csv,0.0,WR,ARI,Zach Pascal,ARZ,93,14,7463,0.012461476617982045,0.0
2023,REG,ARZ,13,00-0033251,WR,Zach Pascal,Zach,Pascal,Not injury related - personal matter,,Questionable,Not injury related - personal matter,,Did Not Participate In Practice,2023-12-01 19:24:24,injury_reports_2023.csv,0.0,WR,ARI,Zach Pascal,ARZ,93,14,7463,0.012461476617982045,0.0
2023,REG,ARZ,18,00-0033251,WR,Zach Pascal,Zach,Pascal,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2024-01-05 20:41:56,injury_reports_2023.csv,0.0,WR,ARI,Zach Pascal,ARZ,93,14,7463,0.012461476617982045,0.0
2023,REG,ARZ,8,00-0035500,WR,Greg Dortch,Greg,Dortch,Ankle,,Questionable,Ankle,,Did Not Participate In Practice,2023-10-27 20:01:42,injury_reports_2023.csv,0.0,WR,ARI,Greg Dortch,ARZ,245,13,7463,0.03282862119790969,0.0
2023,REG,ARZ,9,00-0035500,WR,Greg Dortch,Greg,Dortch,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2023-11-03 19:26:53,injury_reports_2023.csv,0.0,WR,ARI,Greg Dortch,ARZ,245,13,7463,0.03282862119790969,0.0
2023,REG,ARZ,16,00-0035500,WR,Greg Dortch,Greg,Dortch,Shoulder,,Questionable,Shoulder,,Limited Participation in Practice,2023-12-22 20:05:33,injury_reports_2023.csv,0.0,WR,ARI,Greg Dortch,ARZ,245,13,7463,0.03282862119790969,0.0
2023,REG,ARZ,9,00-0038559,WR,Michael Wilson,Michael,Wilson,Shoulder,,Questionable,Shoulder,,Did Not Participate In Practice,2023-11-03 19:26:53,injury_reports_2023.csv,0.0,WR,ARI,Michael Wilson,ARZ,415,13,7463,0.05560766447809192,0.0
2023,REG,ARZ,10,00-0038559,WR,Michael Wilson,Michael,Wilson,Shoulder,,Questionable,Shoulder,,Limited Participation in Practice,2023-11-10 19:53:44,injury_reports_2023.csv,0.0,WR,ARI,Michael Wilson,ARZ,415,13,7463,0.05560766447809192,0.0
2023,REG,ARZ,11,00-0038559,WR,Michael Wilson,Michael,Wilson,Shoulder,,Questionable,Shoulder,,Limited Participation in Practice,2023-11-17 20:45:31,injury_reports_2023.csv,0.0,WR,ARI,Michael Wilson,ARZ,415,13,7463,0.05560766447809192,0.0
2023,REG,ARZ,12,00-0038559,WR,Michael Wilson,Michael,Wilson,Shoulder,,Out,Shoulder,,Did Not Participate In Practice,2023-11-24 20:56:16,injury_reports_2023.csv,3.0,WR,ARI,Michael Wilson,ARZ,415,13,7463,0.05560766447809192,0.16682299343427576
