SCHEDULE_2023_SCHEDULE_2023_Week,SCHEDULE_2023_SCHEDULE_2023_Away,SCHEDULE_2023_SCHEDULE_2023_Opponent,SCHEDULE_2023_SCHEDULE_2023_Date,SCHEDULE_2023_SCHEDULE_2023_Time,SCHEDULE_2023_SCHEDULE_2023_Result,SCHEDULE_2023_SCHEDULE_2023_PointsFor,SCHEDULE_2023_SCHEDULE_2023_PointsAgainst,SCHEDULE_2023_SCHEDULE_2023_OverallGrade,SCHEDULE_2023_SCHEDULE_2023_OffenseGrade,SCHEDULE_2023_SCHEDULE_2023_PassingGrade,SCHEDULE_2023_SCHEDULE_2023_PassBlockingGrade,SCHEDULE_2023_SCHEDULE_2023_ReceivingGrade,SCHEDULE_2023_SCHEDULE_2023_RushingGrade,SCHEDULE_2023_SCHEDULE_2023_RunBlockingGrade,SCHEDULE_2023_SCHEDULE_2023_DefenseGrade,SCHEDULE_2023_SCHEDULE_2023_RunDefenseGrade,SCHEDULE_2023_SCHEDULE_2023_TacklingGrade,SCHEDULE_2023_SCHEDULE_2023_PassRushGrade,SCHEDULE_2023_SCHEDULE_2023_CoverageGrade,SCHEDULE_2023_SCHEDULE_2023_SpecialTeamsGrade,SCHEDULE_2023_SCHEDULE_2023_GameReports
1.0,,Tennessee Titans,09/10,1:00pm,W,16.0,15.0,73.9,67.6,68.4,48.1,72.6,48.6,68.2,71.4,53.6,54.2,72.7,72.4,90.0,Game Reports
2.0,@,Carolina Panthers,09/18,7:15pm,W,20.0,17.0,77.0,65.7,60.4,58.6,68.5,81.0,44.6,84.2,77.5,73.5,83.1,75.3,65.2,Game Reports
3.0,@,Green Bay Packers,09/24,1:00pm,L,17.0,18.0,65.6,64.4,58.9,67.2,69.7,64.2,50.6,63.2,69.3,64.4,57.7,60.6,72.0,Game Reports
4.0,,Tampa Bay Buccaneers,10/01,1:00pm,L,9.0,26.0,61.9,54.8,46.1,58.9,54.5,58.2,66.4,67.8,72.0,64.4,51.3,69.6,67.6,Game Reports
5.0,@,New England Patriots,10/08,1:00pm,W,34.0,0.0,83.7,72.5,79.7,76.0,65.6,62.2,71.8,84.2,76.5,77.2,80.1,78.2,67.3,Game Reports
6.0,@,Houston Texans,10/15,1:00pm,L,13.0,20.0,59.9,64.4,67.7,39.8,64.9,79.5,52.0,56.8,58.0,45.6,67.3,50.5,58.6,Game Reports
7.0,,Jacksonville Jaguars,10/19,8:15pm,L,24.0,31.0,61.2,55.4,55.2,51.9,57.1,67.7,48.0,71.5,65.9,68.4,63.0,70.7,70.1,Game Reports
8.0,@,Indianapolis Colts,10/29,1:00pm,W,38.0,27.0,80.1,76.4,75.0,53.9,72.3,67.3,76.9,74.7,65.2,77.1,71.3,73.2,65.0,Game Reports
9.0,,Chicago Bears,11/05,1:00pm,W,24.0,17.0,78.8,71.8,79.3,63.5,65.4,64.6,66.9,79.5,74.0,66.3,60.8,80.2,63.4,Game Reports
10.0,@,Minnesota Vikings,11/12,1:00pm,L,19.0,27.0,66.4,66.7,64.0,62.8,67.8,76.0,54.0,61.7,56.8,75.9,58.9,67.5,64.3,Game Reports
12.0,@,Atlanta Falcons,11/26,1:00pm,L,15.0,24.0,59.0,65.9,64.7,70.3,66.7,69.0,51.2,46.9,35.4,59.4,50.8,67.0,66.2,Game Reports
13.0,,Detroit Lions,12/03,1:00pm,L,28.0,33.0,58.3,63.7,57.2,45.5,70.5,70.2,55.5,48.9,53.0,32.0,58.4,46.0,67.6,Game Reports
14.0,,Carolina Panthers,12/10,1:00pm,W,28.0,6.0,71.3,64.5,65.9,63.7,66.4,63.9,52.1,73.0,62.4,63.5,61.3,81.5,81.2,Game Reports
15.0,,New York Giants,12/17,1:00pm,W,24.0,6.0,82.9,73.3,75.7,77.5,70.2,68.0,57.8,82.0,83.8,49.9,60.9,82.6,70.0,Game Reports
16.0,@,Los Angeles Rams,12/21,8:15pm,L,22.0,30.0,58.6,68.3,80.8,18.6,75.8,63.1,49.1,45.5,41.5,63.1,64.3,45.4,67.9,Game Reports
17.0,@,Tampa Bay Buccaneers,12/31,1:00pm,W,23.0,13.0,72.3,68.3,79.9,68.0,70.0,65.9,48.6,66.7,60.0,52.1,64.7,68.2,77.1,Game Reports
18.0,,Atlanta Falcons,01/07,1:00pm,W,48.0,17.0,73.6,76.0,72.3,74.3,81.0,70.1,58.0,61.0,63.3,42.2,62.1,55.7,67.1,Game Reports
,,,,,,,,,,,,,,,,,,,,,
