Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,OffensePassingSnaps,OffensePassBlockingSnaps,OffenseRushingSnaps,OffenseRunBlockingSnaps,OffenseOverallGrade,OffensePassingGrade,OffensePassBlockingGrade,OffenseRushingGrade,OffenseRunBlockingGrade,OffensePenalties
Chris Olave,#12,WR,16.0,814,562.0,0.0,0.0,252.0,82.5,82.9,-,-,55.8,1 (0)
Erik McCoy,#78,C,17.0,"1,152",0.0,675.0,0.0,477.0,79.4,-,59.3,-,89.4,8 (1)
Derek Carr,#04,QB,17.0,978,609.0,0.0,23.0,346.0,77.2,77.0,-,46.6,61.0,4 (0)
Taysom Hill,#07,TE,16.0,425,252.0,4.0,80.0,89.0,75.3,66.4,60.1,86.1,57.3,0 (0)
Kendre Miller,#25,HB,8.0,112,54.0,6.0,43.0,9.0,74.1,72.7,27.4,74.1,60.2,0 (0)
Alvin Kamara,#41,HB,13.0,558,282.0,65.0,185.0,26.0,74.1,78.4,19.2,77.1,55.7,0 (0)
Ryan Ramczyk,#71,T,12.0,785,0.0,458.0,0.0,327.0,73.5,-,73.6,-,67.3,4 (1)
Rashid Shaheed,#22,WR,15.0,604,446.0,0.0,7.0,151.0,69.0,69.4,-,71.6,52.0,3 (0)
Michael Thomas,#13,WR,10.0,490,333.0,0.0,0.0,157.0,67.4,67.8,-,-,60.4,2 (1)
Tony Jones Jr.,#34,HB,4.0,88,45.0,15.0,22.0,6.0,64.1,56.6,59.8,66.4,60.2,0 (0)
Jimmy Graham,#80,TE,13.0,171,77.0,3.0,0.0,91.0,62.5,68.0,27.0,-,50.1,1 (0)
A.T. Perry,#17,WR,10.0,343,215.0,0.0,0.0,128.0,61.0,61.5,-,-,48.3,0 (0)
Andrus Peat,#75,T,14.0,809,0.0,476.0,0.0,333.0,60.2,-,54.5,-,62.1,6 (1)
Nephi Sewell,#45,LB,1.0,3,0.0,0.0,0.0,3.0,60.0,-,-,-,60.0,0 (0)
J.P. Holtz,#84,TE,1.0,1,0.0,0.0,0.0,1.0,60.0,-,-,-,60.0,0 (0)
Jamaal Williams,#21,HB,13.0,324,122.0,57.0,108.0,37.0,59.4,61.5,38.0,60.3,72.9,0 (0)
Khalen Saunders,#99,DI,4.0,16,1.0,0.0,0.0,15.0,59.2,59.9,-,-,59.0,0 (0)
Juwan Johnson,#83,TE,13.0,555,319.0,27.0,0.0,209.0,58.8,66.3,46.8,-,40.4,5 (2)
James Hurst,#74,G,15.0,931,0.0,539.0,0.0,392.0,58.7,-,58.9,-,56.9,4 (1)
Kirk Merritt,#33,WR,1.0,2,2.0,0.0,0.0,0.0,57.3,58.4,-,-,-,0 (0)
Jameis Winston,#02,QB,7.0,76,52.0,0.0,5.0,19.0,56.3,55.8,-,61.3,60.0,1 (0)
Jordan Mims,#33,HB,1.0,3,3.0,0.0,0.0,0.0,56.2,56.1,-,-,-,0 (0)
Foster Moreau,#87,TE,15.0,549,160.0,47.0,0.0,342.0,55.3,61.8,52.3,-,51.0,4 (0)
Max Garcia,#73,G,12.0,320,1.0,184.0,0.0,135.0,54.2,58.8,59.2,-,55.6,3 (0)
Marquez Callaway,#10,WR,3.0,28,13.0,0.0,0.0,15.0,53.7,54.0,-,-,55.9,0 (0)
Trevor Penning,#70,T,11.0,417,0.0,245.0,0.0,172.0,53.6,-,60.8,-,49.0,7 (2)
Keith Kirkwood,#18,WR,13.0,236,85.0,0.0,0.0,151.0,52.4,53.8,-,-,46.9,1 (0)
Nick Saldiveri,#64,G,3.0,18,0.0,14.0,0.0,4.0,52.1,-,32.2,-,59.9,0 (0)
Cesar Ruiz,#51,G,16.0,"1,050",0.0,603.0,0.0,447.0,51.2,-,58.3,-,46.3,2 (0)
Lynn Bowden,#05,WR,15.0,326,133.0,1.0,5.0,187.0,50.3,50.6,65.6,44.0,57.8,0 (0)
Landon Young,#67,T,11.0,213,1.0,106.0,0.0,106.0,49.4,58.8,45.9,-,51.1,1 (0)
Cameron Erving,#77,T,3.0,208,0.0,120.0,0.0,88.0,49.0,-,70.5,-,36.3,2 (0)
Tommy Kraemer,#62,T,2.0,8,0.0,0.0,0.0,8.0,48.5,-,-,-,45.5,0 (0)
Adam Prentice,#46,FB,13.0,125,37.0,9.0,2.0,77.0,38.1,37.9,33.9,48.5,43.1,1 (1)
