Player,JerseyNumber,Position,GamesPlayed,PassingDropbacks,PassingAttempts,PassingCompletions,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingOverallGrade,PassingGrade,PassingRushingGrade,PassingFumbles,PassingBigTimeThrows,PassingBigTimeThrowPercentage,PassingTurnoverWorthyPlays,PassingTurnoverWorthyPlayPercentage,PassingAverageDepthOfTarget,PassingAdjustedCompletionPercentage,PassingDrops,PassingDropPercentage,PassingBattedPasses,PassingHitAsThrown,PassingThrowaways,PassingDepthPercentage,PassingSacks,PassingPressureToSackPercentage,PassingAverageTimeToThrow,PassingScrambles,PassingFirstDowns,PassingPasserRating,PassingPenalties
Derek Carr,#04,QB,17.0,588.0,548.0,375.0,68.4,"3,878",7.1,25.0,8.0,77.2,77.0,46.6,61.9,18.0,3.2,14.0,2.3,8.2,76.8,20.0,5.1,3.0,6.0,25.0,181.0,31.0,17.1,2.57,9.0,187.0,97.7,4 (0)
Jameis Winston,#02,QB,4.0,49.0,47.0,25.0,53.2,264,5.6,2.0,3.0,56.3,55.8,61.3,81.5,3.0,6.0,3.0,5.8,12.7,60.0,2.0,7.4,0.0,0.0,2.0,15.0,2.0,13.3,2.41,0.0,10.0,57.4,1 (0)
Taysom Hill,#07,TE,10.0,16.0,11.0,6.0,54.5,83,7.5,1.0,0.0,75.3,51.6,86.1,67.7,0.0,0.0,0.0,0.0,13.8,60.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,40.0,3.11,3.0,6.0,109.3,0 (0)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
