SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_Rank,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_Player,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_JerseyNumber,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_Position,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_GamesPlayed,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsTotalSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsKickReturnSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsKickCoverageSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPuntReturnSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPuntCoverageSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsFieldGoalBlockSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsFieldGoalKickSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsOverallGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsKickoffGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPuntGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsFieldGoalGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPenalties,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsTackles,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsAssists,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsMissedTackles
1.0,J.T. Gray,#48,S,14.0,300.0,62.0,74.0,57.0,59.0,48.0,0.0,89.7,-,-,-,1 (0),8.0,2.0,1.0
2.0,Zack Baun,#53,ED,17.0,383.0,79.0,91.0,72.0,76.0,65.0,0.0,83.1,-,-,-,0 (0),3.0,0.0,0.0
3.0,Nephi Sewell,#45,LB,16.0,264.0,66.0,72.0,59.0,67.0,0.0,0.0,78.8,-,-,-,0 (0),3.0,0.0,0.0
4.0,Adam Prentice,#46,FB,13.0,137.0,56.0,8.0,15.0,58.0,0.0,0.0,78.4,-,-,-,1 (1),3.0,2.0,0.0
5.0,D'Marco Jackson,#52,LB,17.0,382.0,79.0,91.0,71.0,76.0,65.0,0.0,77.4,61.2,-,-,0 (0),3.0,6.0,0.0
6.0,Lonnie Johnson Jr.,#28,S,12.0,247.0,55.0,58.0,44.0,44.0,46.0,0.0,75.4,-,-,-,2 (0),5.0,0.0,3.0
7.0,Ty Summers,#42,LB,15.0,301.0,68.0,80.0,65.0,67.0,21.0,0.0,73.5,-,-,-,0 (0),3.0,1.0,0.0
8.0,Cameron Dantzler,#11,CB,2.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,73.3,-,-,-,0 (0),0.0,0.0,0.0
9.0,Kirk Merritt,#33,WR,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,72.8,-,-,-,0 (0),0.0,0.0,0.0
10.0,Daniel Sorensen,#26,S,2.0,37.0,6.0,11.0,12.0,3.0,5.0,0.0,71.3,-,-,-,0 (0),0.0,0.0,0.0
11.0,Isaac Yiadom,#27,CB,17.0,265.0,30.0,77.0,63.0,32.0,63.0,0.0,69.5,-,-,-,1 (0),4.0,1.0,1.0
12.0,Ryan Connelly,#43,LB,1.0,21.0,6.0,5.0,3.0,5.0,2.0,0.0,67.3,-,-,-,0 (0),0.0,0.0,0.0
13.0,Shemar Jean-Charles,#38,CB,3.0,34.0,0.0,18.0,12.0,4.0,0.0,0.0,66.6,-,-,-,0 (0),0.0,0.0,0.0
14.0,Johnathan Abram,#24,S,9.0,113.0,33.0,36.0,20.0,12.0,12.0,0.0,65.4,-,-,-,0 (0),0.0,2.0,0.0
15.0,Trevor Penning,#70,T,17.0,77.0,0.0,0.0,0.0,0.0,0.0,77.0,63.8,-,-,-,0 (0),0.0,0.0,0.0
16.0,Lou Hedley,#39,P,17.0,153.0,0.0,0.0,0.0,76.0,0.0,77.0,63.7,-,56.2,-,0 (0),0.0,0.0,0.0
17.0,Zach Wood,#49,LS,17.0,153.0,0.0,0.0,0.0,76.0,0.0,77.0,63.6,-,-,-,3 (0),1.0,1.0,0.0
18.0,Cesar Ruiz,#51,G,16.0,71.0,0.0,0.0,0.0,0.0,0.0,71.0,63.2,-,-,-,0 (0),0.0,0.0,0.0
18.0,Ryan Ramczyk,#71,T,12.0,52.0,0.0,0.0,0.0,0.0,0.0,52.0,63.2,-,-,-,0 (0),0.0,0.0,0.0
20.0,Taysom Hill,#07,TE,16.0,164.0,23.0,1.0,64.0,71.0,4.0,1.0,62.9,56.5,-,-,0 (0),2.0,0.0,0.0
21.0,James Hurst,#74,G,10.0,35.0,0.0,0.0,0.0,0.0,0.0,35.0,62.5,-,-,-,0 (0),0.0,0.0,0.0
22.0,Landon Young,#67,T,13.0,49.0,0.0,0.0,0.0,0.0,0.0,49.0,62.4,-,-,-,0 (0),0.0,0.0,0.0
22.0,Erik McCoy,#78,C,17.0,76.0,0.0,0.0,0.0,0.0,0.0,76.0,62.4,-,-,-,0 (0),0.0,0.0,0.0
24.0,Nick Saldiveri,#64,G,4.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,62.2,-,-,-,0 (0),0.0,0.0,0.0
25.0,Malcolm Roach,#97,DI,12.0,52.0,0.0,0.0,3.0,0.0,49.0,0.0,61.9,-,-,-,0 (0),0.0,0.0,0.0
25.0,Tommy Kraemer,#62,T,2.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,61.9,-,-,-,0 (0),0.0,0.0,0.0
27.0,Jordan Mims,#33,HB,2.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,61.6,-,-,-,0 (0),0.0,0.0,0.0
