player,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,gsis_id,season,team,position,depth_chart_position,jersey_number,birth_date,draft_club,draft_number,age
Ugochukwu Amadi,2023,1,1.08,1.08,0.0,0.005,1.227011,1.227011,0.0,00-0035142,2023,NO,DB,FS,0.0,1997-05-16,SEA,132.0,26.0
Faion Hicks,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0037319,2023,NO,DB,CB,30.0,1998-09-02,DEN,232.0,25.0
Adrian Frye,2023,3,2.695,0.898333,0.0,0.004,3.061846,1.020615,0.0,00-0038964,2023,NO,DB,CB,44.0,,,,
Tyrann Mathieu,2022,3,27.0,9.0,18.0,0.043,33.121037,11.040346,22.080692,00-0030459,2023,NO,DB,FS,32.0,1992-05-13,ARI,69.0,31.0
Marcus Maye,2022,3,22.5,7.5,14.5,0.036,27.600865,9.200288,17.787224,00-0033892,2023,NO,DB,FS,6.0,1993-03-09,NYJ,39.0,31.0
Johnathan Abram,2023,1,1.1625,1.1625,0.0,0.005,1.320741,1.320741,0.0,00-0035693,2023,NO,DB,SS,24.0,1996-10-25,OAK,27.0,27.0
J.T. Gray,2023,3,9.6,3.2,3.5,0.014,10.906762,3.635587,3.976423,00-0034116,2023,NO,DB,SS,48.0,1996-01-18,,,28.0
Daniel Sorensen,2023,1,0.356944,0.356944,0.0,0.002,0.405532,0.405532,0.0,00-0030665,2023,NO,DB,FS,26.0,1990-03-05,,,34.0
Jordan Howden,2023,4,4.166728,1.041682,0.326728,0.005,4.733907,1.183477,0.371203,00-0038588,2023,NO,DB,SS,31.0,2000-05-14,NO,146.0,23.0
Smoke Monday,2022,3,2.58,0.86,0.12,0.004,3.164899,1.054966,0.147205,00-0037540,2023,NO,DB,FS,38.0,,,,
Blake Grupe,2023,3,2.6975,0.899167,0.0025,0.004,3.064686,1.021563,0.00284,00-0038905,2023,NO,K,K,19.0,1998-11-05,,,25.0
Lou Hedley,2023,3,2.7,0.9,0.01,0.004,3.067527,1.022509,0.011361,00-0038906,2023,NO,P,P,39.0,1993-06-26,,,30.0
Zach Wood,2023,4,6.31,1.5775,2.3,0.007,7.168923,1.792231,2.613078,00-0033063,2023,NO,LS,LS,49.0,1993-01-10,,,31.0
