Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles,Team
Zach Wood,#49,LS,17.0,153.0,0.0,0.0,0.0,76.0,0.0,77.0,63.6,-,-,-,3 (0),1.0,1.0,0.0,new-orleans-saints
Blake Grupe,#19,K,17.0,168.0,0.0,91.0,0.0,0.0,0.0,77.0,61.0,89.2,-,60.8,0 (0),0.0,0.0,0.0,new-orleans-saints
Lou Hedley,#39,P,17.0,153.0,0.0,0.0,0.0,76.0,0.0,77.0,63.7,-,56.2,-,0 (0),0.0,0.0,0.0,new-orleans-saints
