Player,JerseyNumber,Position,GamesPlayed,DefenseTotalSnaps,DefenseRunDefenseSnaps,DefensePassRushSnaps,DefenseCoverageSnaps,DefenseOverallGrade,DefenseRunDefenseGrade,DefenseTacklingGrade,DefensePassRushGrade,DefenseCoverageGrade,DefenseTotalPressures,DefenseSacks,DefenseHits,DefenseHurries,DefenseBattedPasses,DefenseTackles,DefenseAssists,DefenseMissedTackles,DefenseMissedTacklePercentage,DefenseStops,DefenseForcedFumbles,DefenseTargets,DefenseReceptionsAllowed,DefenseReceptionPercentageAllowed,DefenseYardsAllowed,DefenseYardsPerReceptionAllowed,DefenseYardsAfterCatchAllowed,DefenseLongestReceptionAllowed,DefenseTouchdownsAllowed,DefenseInterceptions,DefensePassBreakups,DefensePasserRatingAllowed,DefensePenalties,DefenseSnapsOnDefensiveLine,DefenseSnapsInTheBox,DefenseSnapsAtFreeSafety,DefenseSnapsInTheSlot,DefenseSnapsAtCorner,DefenseSnapsAtA-Gap,DefenseSnapsAtB-Gap,DefenseSnapsOverTackle,DefenseSnapsOutside,Team
Cameron Jordan,#94,ED,17.0,770,310.0,449.0,11.0,73.5,72.0,56.5,63.8,82.9,45.0,3.0,3.0,39.0,3.0,30.0,15.0,5.0,10.0,21.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,1 (0),770.0,0.0,0.0,0.0,0.0,0.0,15.0,71.0,684.0,new-orleans-saints
Demario Davis,#56,LB,17.0,"1,074",429.0,78.0,567.0,89.6,82.8,75.7,73.9,85.4,22.0,7.0,3.0,12.0,0.0,75.0,36.0,11.0,9.0,48.0,1.0,47.0,31.0,66.0,204.0,6.6,116.0,26.0,2.0,0.0,2.0,89.3,1 (1),83.0,908.0,8.0,67.0,8.0,0.0,0.0,0.0,83.0,new-orleans-saints
Tyrann Mathieu,#32,S,17.0,"1,096",432.0,16.0,648.0,81.3,71.1,72.9,61.5,87.4,5.0,0.0,1.0,4.0,1.0,54.0,16.0,8.0,10.3,18.0,0.0,35.0,21.0,60.0,249.0,11.9,194.0,46.0,3.0,4.0,3.0,70.7,4 (2),78.0,354.0,565.0,88.0,11.0,0.0,0.0,0.0,78.0,new-orleans-saints
Daniel Sorensen,#26,S,2.0,9,3.0,0.0,6.0,46.4,60.0,22.6,-,47.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,1.0,100.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,100.0,0 (0),3.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,3.0,new-orleans-saints
Marshon Lattimore,#23,CB,10.0,621,221.0,0.0,400.0,67.4,58.1,71.8,-,69.1,0.0,0.0,0.0,0.0,0.0,41.0,7.0,5.0,9.4,11.0,0.0,46.0,27.0,58.7,317.0,11.7,138.0,34.0,1.0,1.0,6.0,77.9,5 (1),3.0,35.0,0.0,28.0,555.0,0.0,0.0,0.0,3.0,new-orleans-saints
Marcus Maye,#06,S,7.0,444,184.0,13.0,247.0,57.6,57.2,51.3,55.6,57.6,3.0,1.0,0.0,2.0,0.0,27.0,8.0,8.0,18.6,9.0,0.0,15.0,11.0,73.3,166.0,15.1,120.0,38.0,0.0,2.0,0.0,69.7,2 (1),54.0,94.0,206.0,76.0,14.0,0.0,0.0,0.0,54.0,new-orleans-saints
Tanoh Kpassagnon,#92,ED,17.0,406,139.0,264.0,3.0,67.7,61.6,52.7,65.0,62.9,34.0,4.0,5.0,25.0,0.0,12.0,3.0,2.0,11.8,14.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),404.0,0.0,0.0,1.0,0.0,12.0,67.0,97.0,228.0,new-orleans-saints
J.T. Gray,#48,S,3.0,6,2.0,0.0,4.0,45.7,60.0,77.3,-,62.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,new-orleans-saints
Nathan Shepherd,#93,DI,17.0,593,303.0,286.0,4.0,47.5,30.3,41.3,77.4,62.5,23.0,4.0,4.0,15.0,0.0,31.0,13.0,5.0,10.2,27.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,2 (0),592.0,1.0,0.0,0.0,0.0,12.0,440.0,139.0,1.0,new-orleans-saints
Isaac Yiadom,#27,CB,16.0,517,197.0,1.0,319.0,81.1,74.7,49.0,60.0,80.4,1.0,0.0,0.0,1.0,0.0,25.0,6.0,6.0,16.2,10.0,0.0,44.0,22.0,50.0,289.0,13.1,131.0,54.0,3.0,1.0,11.0,84.4,2 (1),12.0,8.0,0.0,37.0,458.0,0.0,0.0,0.0,12.0,new-orleans-saints
Ty Summers,#42,LB,2.0,2,1.0,1.0,0.0,59.0,60.0,-,60.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,new-orleans-saints
Carl Granderson,#96,ED,17.0,874,332.0,522.0,20.0,74.1,70.8,59.1,63.6,84.0,58.0,9.0,11.0,38.0,1.0,48.0,22.0,8.0,10.3,46.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,4 (0),870.0,1.0,0.0,2.0,0.0,0.0,23.0,44.0,803.0,new-orleans-saints
Kyle Phillips,#91,ED,5.0,56,29.0,27.0,0.0,52.0,47.6,38.7,60.0,-,2.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,25.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),56.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,45.0,new-orleans-saints
Ryan Connelly,#43,LB,1.0,1,1.0,0.0,0.0,60.0,60.0,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,new-orleans-saints
Khalen Saunders,#99,DI,17.0,522,276.0,245.0,1.0,61.6,57.0,48.0,68.7,59.9,14.0,0.0,2.0,12.0,1.0,38.0,21.0,6.0,9.2,22.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,2 (2),521.0,1.0,0.0,0.0,0.0,159.0,361.0,1.0,0.0,new-orleans-saints
Johnathan Abram,#24,S,8.0,209,74.0,6.0,129.0,57.1,77.8,38.3,60.5,48.7,1.0,0.0,0.0,1.0,0.0,16.0,7.0,4.0,14.8,9.0,1.0,15.0,11.0,73.3,128.0,11.6,91.0,42.0,1.0,1.0,0.0,93.2,0 (0),29.0,69.0,71.0,34.0,5.0,0.0,0.0,0.0,29.0,new-orleans-saints
Malcolm Roach,#97,DI,12.0,290,139.0,149.0,2.0,72.9,72.5,59.2,62.9,58.7,6.0,0.0,2.0,4.0,3.0,27.0,9.0,2.0,5.3,24.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),290.0,0.0,0.0,0.0,0.0,48.0,229.0,13.0,0.0,new-orleans-saints
Zack Baun,#53,ED,17.0,303,110.0,137.0,56.0,71.1,70.3,48.4,63.6,66.9,15.0,2.0,2.0,11.0,1.0,16.0,10.0,6.0,18.8,13.0,0.0,8.0,7.0,87.5,54.0,7.7,42.0,25.0,2.0,1.0,0.0,94.8,0 (0),252.0,33.0,0.0,15.0,1.0,0.0,0.0,0.0,252.0,new-orleans-saints
Shemar Jean-Charles,#38,CB,1.0,7,4.0,0.0,3.0,46.9,40.7,23.1,-,63.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,1.0,100.0,2.0,2.0,6.0,2.0,0.0,0.0,0.0,79.2,0 (0),0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,new-orleans-saints
Jack Heflin,#95,DI,1.0,17,10.0,7.0,0.0,57.1,59.7,68.6,54.3,-,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),17.0,0.0,0.0,0.0,0.0,3.0,13.0,1.0,0.0,new-orleans-saints
Payton Turner,#98,ED,2.0,25,12.0,13.0,0.0,60.5,60.5,70.5,58.2,-,3.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,new-orleans-saints
Pete Werner,#20,LB,16.0,919,374.0,74.0,471.0,57.5,70.4,71.0,52.0,47.6,9.0,1.0,0.0,8.0,0.0,77.0,25.0,10.0,8.9,38.0,0.0,60.0,50.0,83.3,470.0,9.4,271.0,29.0,1.0,1.0,0.0,97.9,3 (0),162.0,670.0,2.0,78.0,7.0,0.0,0.0,0.0,162.0,new-orleans-saints
Paulson Adebo,#29,CB,15.0,948,377.0,3.0,568.0,78.6,66.4,79.2,52.0,80.5,0.0,0.0,0.0,0.0,0.0,63.0,14.0,5.0,6.1,17.0,2.0,88.0,50.0,56.8,753.0,15.1,238.0,56.0,1.0,4.0,11.0,69.9,9 (2),6.0,40.0,0.0,55.0,847.0,0.0,0.0,0.0,6.0,new-orleans-saints
