Player,JerseyNumber,Position,GamesPlayed,PassBlockingTotalSnaps,PassBlockingTotalSnaps.1,PassBlockingTotalSnapsPercentage,PassBlockingGrade,PassBlockingPenalties,PassBlockingPressuresAllowedTotalSnaps,PassBlockingPressuresAllowedTotalSnapsPercentage,PassBlockingPressuresAllowedSacks,PassBlockingPressuresAllowedHits,PassBlockingPressuresAllowedHurries,PassBlockingPressuresAllowedTotal,PassBlockingPressuresAllowedEfficiency,TruePassSetSnaps,TruePassSetSnaps.1,TruePassSetSnapsPercentage,TruePassSetGrade,TruePassSetPressuresAllowedTotalSnaps,TruePassSetPressuresAllowedTotalSnapsPercentage,TruePassSetPressuresAllowedSacks,TruePassSetPressuresAllowedHits,TruePassSetPressuresAllowedHurries,TruePassSetPressuresAllowedTotal,TruePassSetPressuresAllowedEfficiency
Derrick Gore,#38,HB,4.0,19.0,7.0,36.8,83.7,0 (0),5.0,29.4,0.0,0.0,0.0,0.0,100.0,12.0,3.0,25.0,81.5,1.0,10.0,0.0,0.0,0.0,0.0,100.0
Chris Rodriguez Jr.,#23,HB,6.0,38.0,7.0,18.4,82.7,0 (0),6.0,17.1,0.0,0.0,0.0,0.0,100.0,9.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Jonathan Williams,#18,HB,1.0,12.0,4.0,33.3,82.1,0 (0),4.0,33.3,0.0,0.0,0.0,0.0,100.0,8.0,2.0,25.0,77.7,2.0,25.0,0.0,0.0,0.0,0.0,100.0
John Bates,#87,TE,17.0,278.0,65.0,23.4,79.0,2 (0),63.0,23.7,0.0,0.0,1.0,1.0,99.2,83.0,8.0,9.6,59.3,7.0,8.9,0.0,0.0,1.0,1.0,92.9
Charles Leno Jr.,#72,T,13.0,631.0,631.0,100.0,77.8,4 (1),598.0,100.0,3.0,5.0,26.0,34.0,96.9,319.0,319.0,100.0,72.9,300.0,100.0,2.0,2.0,21.0,25.0,95.5
Curtis Samuel,#04,WR,16.0,430.0,3.0,0.7,75.0,2 (2),3.0,0.7,0.0,0.0,0.0,0.0,100.0,229.0,1.0,0.4,66.4,1.0,0.5,0.0,0.0,0.0,0.0,100.0
Alex Armah,#40,FB,7.0,18.0,1.0,5.6,74.1,0 (0),1.0,5.9,0.0,0.0,0.0,0.0,100.0,2.0,1.0,50.0,74.1,1.0,50.0,0.0,0.0,0.0,0.0,100.0
Sam Cosmi,#76,G,17.0,777.0,777.0,100.0,74.0,1 (0),736.0,100.0,1.0,4.0,26.0,31.0,97.8,386.0,386.0,100.0,71.4,366.0,100.0,1.0,2.0,19.0,22.0,96.9
Logan Thomas,#82,TE,16.0,568.0,29.0,5.1,73.9,1 (0),24.0,4.5,1.0,0.0,1.0,2.0,93.7,287.0,3.0,1.0,56.1,2.0,0.7,1.0,0.0,0.0,1.0,50.0
Cornelius Lucas,#78,T,7.0,152.0,152.0,100.0,73.6,0 (0),143.0,100.0,3.0,1.0,4.0,8.0,96.2,68.0,68.0,100.0,62.2,66.0,100.0,2.0,1.0,3.0,6.0,93.9
Antonio Gibson,#24,HB,16.0,404.0,72.0,17.8,71.9,0 (0),66.0,17.2,3.0,1.0,3.0,7.0,92.4,245.0,48.0,19.6,69.1,44.0,19.0,3.0,0.0,2.0,5.0,90.9
Andrew Wylie,#71,T,15.0,693.0,693.0,100.0,67.5,3 (1),657.0,100.0,9.0,6.0,27.0,42.0,96.1,354.0,354.0,100.0,60.3,334.0,100.0,8.0,6.0,20.0,34.0,93.7
Julian Good-Jones,#61,G,1.0,1.0,1.0,100.0,67.4,0 (0),1.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,-,0.0,,0.0,0.0,0.0,0.0,
Jahan Dotson,#01,WR,17.0,675.0,1.0,0.1,66.1,3 (2),1.0,0.2,0.0,0.0,0.0,0.0,100.0,338.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Brian Robinson,#08,HB,15.0,298.0,68.0,22.8,61.9,0 (0),63.0,22.3,1.0,1.0,5.0,7.0,93.7,109.0,25.0,22.9,54.0,22.0,21.4,1.0,1.0,2.0,4.0,88.6
Byron Pringle,#03,WR,16.0,112.0,1.0,0.9,61.6,0 (0),1.0,1.0,0.0,0.0,0.0,0.0,100.0,78.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Nick Gates,#63,C,11.0,455.0,455.0,100.0,61.4,2 (0),424.0,100.0,5.0,6.0,10.0,21.0,96.9,231.0,231.0,100.0,48.8,216.0,100.0,4.0,3.0,9.0,16.0,95.4
Trent Scott,#73,T,4.0,89.0,89.0,100.0,55.2,1 (0),82.0,100.0,0.0,1.0,9.0,10.0,93.9,33.0,33.0,100.0,30.2,32.0,100.0,0.0,1.0,6.0,7.0,89.1
Saahdiq Charles,#77,G,11.0,455.0,455.0,100.0,53.9,1 (0),425.0,100.0,4.0,3.0,30.0,37.0,95.2,238.0,238.0,100.0,46.1,224.0,100.0,4.0,2.0,24.0,30.0,92.4
Ricky Stromberg,#53,G,3.0,21.0,21.0,100.0,41.7,0 (0),19.0,100.0,0.0,0.0,1.0,1.0,97.4,5.0,5.0,100.0,80.2,3.0,100.0,0.0,0.0,0.0,0.0,100.0
Tyler Larsen,#69,C,7.0,325.0,325.0,100.0,28.7,0 (0),314.0,100.0,3.0,4.0,17.0,24.0,95.7,156.0,156.0,100.0,23.7,150.0,100.0,3.0,4.0,10.0,17.0,93.3
Chris Paul,#75,G,7.0,307.0,307.0,100.0,27.8,1 (0),296.0,100.0,5.0,5.0,16.0,26.0,94.8,145.0,145.0,100.0,4.4,139.0,100.0,5.0,4.0,12.0,21.0,90.6
Cole Turner,#85,TE,12.0,90.0,2.0,2.2,17.1,0 (0),1.0,1.2,0.0,0.0,1.0,1.0,50.0,48.0,1.0,2.1,69.7,0.0,0.0,0.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
