Player,JerseyNumber,Position,GamesPlayed,PassingDropbacks,PassingAttempts,PassingCompletions,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingOverallGrade,PassingGrade,PassingRushingGrade,PassingFumbles,PassingBigTimeThrows,PassingBigTimeThrowPercentage,PassingTurnoverWorthyPlays,PassingTurnoverWorthyPlayPercentage,PassingAverageDepthOfTarget,PassingAdjustedCompletionPercentage,PassingDrops,PassingDropPercentage,PassingBattedPasses,PassingHitAsThrown,PassingThrowaways,PassingDepthPercentage,PassingSacks,PassingPressureToSackPercentage,PassingAverageTimeToThrow,PassingScrambles,PassingFirstDowns,PassingPasserRating,PassingPenalties
Jacoby Brissett,#12,QB,2.0,25.0,23.0,18.0,78.3,224,9.7,3.0,0.0,84.6,79.4,75.0,77.4,1.0,3.7,0.0,0.0,9.0,86.4,1.0,5.3,0.0,0.0,1.0,8.0,0.0,0.0,2.83,2.0,10.0,146.8,0 (0)
Dyami Brown,#02,WR,1.0,1.0,1.0,1.0,100.0,4,4.0,0.0,0.0,59.0,60.0,56.2,72.9,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.7,0.0,0.0,83.3,1 (0)
Sam Howell,#14,QB,17.0,712.0,612.0,388.0,63.4,"3,945",6.4,21.0,21.0,60.2,57.6,71.5,81.3,30.0,4.7,31.0,4.1,7.7,75.0,28.0,6.7,17.0,6.0,34.0,277.0,65.0,23.5,2.84,33.0,193.0,78.9,3 (0)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
