Player,JerseyNumber,Position,GamesPlayed,DefenseTotalSnaps,DefenseRunDefenseSnaps,DefensePassRushSnaps,DefenseCoverageSnaps,DefenseOverallGrade,DefenseRunDefenseGrade,DefenseTacklingGrade,DefensePassRushGrade,DefenseCoverageGrade,DefenseTotalPressures,DefenseSacks,DefenseHits,DefenseHurries,DefenseBattedPasses,DefenseTackles,DefenseAssists,DefenseMissedTackles,DefenseMissedTacklePercentage,DefenseStops,DefenseForcedFumbles,DefenseTargets,DefenseReceptionsAllowed,DefenseReceptionPercentageAllowed,DefenseYardsAllowed,DefenseYardsPerReceptionAllowed,DefenseYardsAfterCatchAllowed,DefenseLongestReceptionAllowed,DefenseTouchdownsAllowed,DefenseInterceptions,DefensePassBreakups,DefensePasserRatingAllowed,DefensePenalties,DefenseSnapsOnDefensiveLine,DefenseSnapsInTheBox,DefenseSnapsAtFreeSafety,DefenseSnapsInTheSlot,DefenseSnapsAtCorner,DefenseSnapsAtA-Gap,DefenseSnapsAtB-Gap,DefenseSnapsOverTackle,DefenseSnapsOutside
Khalil Mack,#52,ED,17.0,934,347.0,534.0,53.0,91.8,90.8,72.3,86.3,86.1,88.0,18.0,11.0,59.0,6.0,41.0,14.0,5.0,8.3,52.0,6.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.2,0 (0),912.0,3.0,0.0,18.0,1,0.0,0.0,1.0,911.0
Alohi Gilman,#32,S,14.0,928,381.0,3.0,544.0,86.1,75.2,66.7,56.6,89.2,0.0,0.0,0.0,0.0,0.0,56.0,15.0,10.0,12.3,15.0,3.0,34.0,22.0,64.7,292.0,13.3,148.0,34.0,3.0,2.0,7.0,96.7,2 (0),4.0,170.0,660.0,92.0,2,0.0,0.0,0.0,4.0
Joey Bosa,#97,ED,9.0,320,102.0,208.0,10.0,78.4,70.7,66.8,80.3,65.4,24.0,7.0,3.0,14.0,0.0,12.0,3.0,1.0,6.3,18.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,4 (1),318.0,0.0,0.0,2.0,0,0.0,0.0,1.0,317.0
Asante Samuel Jr.,#26,CB,17.0,"1,111",438.0,1.0,672.0,73.9,60.6,42.7,59.1,75.6,0.0,0.0,0.0,0.0,0.0,56.0,8.0,14.0,17.9,10.0,0.0,85.0,55.0,64.7,737.0,13.4,293.0,70.0,4.0,2.0,11.0,98.0,4 (1),10.0,57.0,0.0,24.0,"1,020",0.0,0.0,0.0,10.0
Amen Ogbongbemiga,#57,LB,3.0,6,5.0,0.0,1.0,72.6,65.8,74.9,-,60.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),0.0,5.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Eric Kendricks,#06,LB,15.0,847,322.0,60.0,465.0,72.3,73.6,83.4,82.5,62.1,16.0,4.0,3.0,9.0,1.0,82.0,27.0,7.0,6.0,39.0,1.0,64.0,50.0,78.1,530.0,10.6,340.0,41.0,0.0,0.0,5.0,101.2,1 (0),32.0,729.0,1.0,81.0,4,0.0,0.0,0.0,32.0
Nick Niemann,#31,LB,9.0,247,85.0,18.0,144.0,71.6,64.5,80.2,66.0,71.2,5.0,0.0,2.0,3.0,0.0,23.0,11.0,1.0,2.9,8.0,0.0,14.0,12.0,85.7,102.0,8.5,78.0,33.0,0.0,0.0,0.0,97.0,0 (0),15.0,213.0,0.0,18.0,0,0.0,0.0,0.0,15.0
Tuli Tuipulotu,#45,ED,17.0,852,339.0,444.0,69.0,71.0,88.4,41.3,61.1,30.1,51.0,8.0,7.0,36.0,1.0,39.0,10.0,13.0,21.0,34.0,2.0,13.0,11.0,84.6,87.0,7.9,66.0,19.0,1.0,0.0,0.0,120.2,1 (0),810.0,18.0,0.0,18.0,6,0.0,5.0,9.0,796.0
Daiyan Henley,#00,LB,6.0,54,18.0,3.0,33.0,69.9,64.5,83.1,55.2,69.4,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,4.0,0.0,7.0,5.0,71.4,20.0,4.0,23.0,8.0,0.0,0.0,0.0,74.1,0 (0),3.0,46.0,0.0,4.0,0,0.0,0.0,0.0,3.0
AJ Finley,#24,S,5.0,27,7.0,0.0,20.0,64.3,60.1,-,-,62.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),0.0,5.0,18.0,3.0,0,0.0,0.0,0.0,0.0
