SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_Rank,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_Player,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_JerseyNumber,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_Position,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_GamesPlayed,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsTotalSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsKickReturnSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsKickCoverageSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPuntReturnSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPuntCoverageSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsFieldGoalBlockSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsFieldGoalKickSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsOverallGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsKickoffGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPuntGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsFieldGoalGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPenalties,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsTackles,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsAssists,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsMissedTackles
1.0,Deane Leonard,#33,CB,11.0,160.0,38.0,42.0,31.0,43.0,6.0,0.0,90.1,-,-,-,0 (0),8.0,0.0,2.0
1.0,Josh Harris,#47,LS,17.0,143.0,0.0,0.0,0.0,75.0,0.0,68.0,90.1,-,-,-,0 (0),4.0,1.0,0.0
3.0,Simi Fehoko,#87,WR,5.0,36.0,18.0,7.0,6.0,5.0,0.0,0.0,88.5,-,-,-,0 (0),1.0,0.0,0.0
4.0,Nick Niemann,#31,LB,17.0,338.0,69.0,66.0,63.0,75.0,65.0,0.0,83.5,-,-,-,0 (0),6.0,0.0,0.0
5.0,Stephen Anderson,#40,TE,3.0,58.0,15.0,6.0,19.0,18.0,0.0,0.0,82.2,-,-,-,0 (0),1.0,0.0,0.0
6.0,Blake Lynch,#53,LB,7.0,129.0,35.0,27.0,33.0,34.0,0.0,0.0,80.8,-,-,-,0 (0),3.0,0.0,0.0
7.0,Jaylinn Hawkins,#37,S,10.0,126.0,47.0,40.0,21.0,0.0,18.0,0.0,80.5,-,-,-,0 (0),1.0,0.0,0.0
8.0,Justin Hollins,#58,ED,7.0,37.0,0.0,0.0,34.0,3.0,0.0,0.0,78.9,-,-,-,0 (0),1.0,0.0,0.0
9.0,Amen Ogbongbemiga,#57,LB,15.0,314.0,69.0,73.0,50.0,62.0,60.0,0.0,74.8,-,-,-,0 (0),2.0,2.0,1.0
10.0,Daiyan Henley,#00,LB,15.0,263.0,71.0,69.0,57.0,66.0,0.0,0.0,72.7,-,-,-,1 (1),2.0,3.0,0.0
11.0,Dean Marlowe,#20,S,16.0,256.0,53.0,73.0,62.0,56.0,12.0,0.0,71.5,61.2,-,-,0 (0),1.0,3.0,0.0
