Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles,Team
Josh Harris,#47,LS,17.0,143.0,0.0,0.0,0.0,75.0,0.0,68.0,90.1,-,-,-,0 (0),4.0,1.0,0.0,los-angeles-chargers
Cameron Dicker,#11,K,17.0,149.0,0.0,81.0,0.0,0.0,0.0,68.0,60.9,82.6,-,90.9,0 (0),1.0,0.0,0.0,los-angeles-chargers
