KICKOFFS_2023_KICKOFFS_2023_Rank,KICKOFFS_2023_KICKOFFS_2023_Player,KICKOFFS_2023_KICKOFFS_2023_JerseyNumber,KICKOFFS_2023_KICKOFFS_2023_Position,KICKOFFS_2023_KICKOFFS_2023_GamesPlayed,KICKOFFS_2023_KICKOFFS_2023_KickoffsGrade,KICKOFFS_2023_KICKOFFS_2023_KickoffsTotal,KICKOFFS_2023_KICKOFFS_2023_KickoffsYardsPerAttempt,KICKOFFS_2023_KICKOFFS_2023_KickoffsAverageFieldPosition,KICKOFFS_2023_KICKOFFS_2023_KickoffsOnsideAttempts,KICKOFFS_2023_KICKOFFS_2023_KickoffsReturnPercentage,KICKOFFS_2023_KICKOFFS_2023_KickoffsReturned,KICKOFFS_2023_KICKOFFS_2023_KickoffsYardsAllowed,KICKOFFS_2023_KICKOFFS_2023_KickoffsYardsPerReturnAllowed,KICKOFFS_2023_KICKOFFS_2023_KickoffsTouchbacks,KICKOFFS_2023_KICKOFFS_2023_KickoffsFairCatches,KICKOFFS_2023_KICKOFFS_2023_KickoffsHangtimeAverage,KICKOFFS_2023_KICKOFFS_2023_KickoffsHangtimeAverage.1
1.0,Cameron Dicker,#11,K,17.0,82.6,81.0,70.1,24.8,1.0,14.8,12.0,213.0,17.8,68.0,1.0,78.0,4.12
,,,,,,,,,,,,,,,,,
