player,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,gsis_id,season,team,position,depth_chart_position,jersey_number,birth_date,draft_club,draft_number,age
Colin Thompson,2023,1,0.94,0.94,0.0,0.004,1.067954,1.067954,0.0,00-0033720,2023,MIN,TE,TE,48.0,1993-12-15,,,30.0
Christian Darrisaw,2021,4,13.346146,3.336537,13.346146,0.018,18.677291,4.669324,18.677291,00-0036616,2023,MIN,OL,T,71.0,1999-06-02,MIN,23.0,24.0
Hakeem Adeniji,2023,1,1.01,1.01,0.0,0.004,1.147482,1.147482,0.0,00-0036310,2023,MIN,OL,G,78.0,1997-12-08,CIN,180.0,26.0
Coy Cronk,2023,1,0.87,0.87,0.0,0.004,0.988425,0.988425,0.0,00-0036785,2023,MIN,OL,T,63.0,1998-01-18,,,26.0
Blake Brandel,2023,1,0.94,0.94,0.0,0.004,1.067954,1.067954,0.0,00-0036347,2023,MIN,OL,G,64.0,1997-01-23,MIN,203.0,27.0
Olisaemeka Udoh,2023,1,2.5825,2.5825,2.5825,0.011,2.934032,2.934032,2.934032,00-0034994,2023,MIN,OL,G,74.0,1997-02-14,MIN,193.0,27.0
Dalton Risner,2023,1,2.78125,2.78125,2.25,0.012,3.159837,3.159837,2.556272,00-0035702,2023,MIN,OL,G,66.0,1995-07-13,DEN,41.0,28.0
Chris Reed,2023,1,1.5,1.5,0.0,0.007,1.704181,1.704181,0.0,00-0031734,2023,MIN,OL,G,62.0,1992-07-22,,,31.0
Austin Schlottmann,2023,1,1.13,1.13,0.0,0.005,1.283817,1.283817,0.0,00-0034112,2023,MIN,OL,C,65.0,1995-09-18,,,28.0
Tyrese Robinson,2023,2,1.665,0.8325,0.0,0.004,1.891641,0.945821,0.0,00-0037167,2023,MIN,OL,G,79.0,1999-08-21,,,24.0
Garrett Bradbury,2023,3,15.75,5.25,9.8,0.023,17.893906,5.964635,11.133986,00-0035588,2023,MIN,OL,C,56.0,1995-06-20,MIN,18.0,28.0
Jack Snyder,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0037636,2023,MIN,OL,G,68.0,,,,
Josh Sokol,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0037497,2023,MIN,OL,C,60.0,,,,
Alan Ali,2023,3,2.715,0.905,0.12,0.004,3.084569,1.02819,0.136335,00-0038798,2023,MIN,OL,C,66.0,,,,
David Quessenberry,2023,1,1.6,1.6,0.9,0.007,1.817794,1.817794,1.022509,00-0030097,2023,MIN,OL,G,76.0,1990-08-24,HOU,176.0,33.0
Ed Ingram,2022,4,5.997974,1.499494,3.224799,0.007,7.357745,1.839437,3.955877,00-0038131,2023,MIN,OL,G,67.0,1999-02-11,MIN,59.0,25.0
Henry Byrd,2023,3,2.71,0.903333,0.115,0.004,3.078888,1.026296,0.130654,00-0038785,2023,MIN,OL,T,68.0,1999-07-01,,,24.0
Brian O'Neill,2021,5,92.5,18.5,49.076118,0.101,129.449315,25.889863,68.679674,00-0034158,2023,MIN,OL,T,75.0,1995-09-15,MIN,62.0,28.0
Jarrid Williams,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0037140,2023,MIN,OL,T,76.0,,,,
Christian DiLauro,2023,1,0.87,0.87,0.0,0.004,0.988425,0.988425,0.0,00-0034250,2023,MIN,OL,T,61.0,1994-11-11,,,29.0
Dean Lowry,2023,2,8.5,4.25,7.9,0.019,9.657028,4.828514,8.975356,00-0032412,2023,MIN,DL,DE,94.0,1994-06-09,GB,137.0,29.0
Harrison Phillips,2022,3,19.5,6.5,12.9,0.031,23.920749,7.973583,15.824496,00-0034782,2023,MIN,DL,DT,97.0,1996-01-25,BUF,96.0,28.0
Jonathan Bullard,2023,1,1.3175,1.3175,0.05,0.006,1.496839,1.496839,0.056806,00-0033093,2023,MIN,DL,DE,90.0,1993-10-22,CHI,72.0,30.0
Sheldon Day,2023,1,1.08,1.08,0.0,0.005,1.227011,1.227011,0.0,00-0033010,2023,MIN,DL,DT,52.0,1994-07-01,JAX,103.0,29.0
James Lynch,2020,4,3.985992,0.996498,0.690992,0.005,5.136339,1.284085,0.89041,00-0036337,2023,MIN,DL,NT,92.0,1999-01-20,MIN,130.0,25.0
Khyiris Tonga,2023,1,0.94,0.94,0.0,0.004,1.067954,1.067954,0.0,00-0036909,2023,MIN,DL,NT,95.0,1996-07-07,CHI,250.0,27.0
Michael Dogbe,2023,1,1.08,1.08,0.0,0.005,1.227011,1.227011,0.0,00-0035541,2023,MIN,DL,DE,96.0,1996-05-05,ARI,249.0,27.0
Jaquelin Roy,2023,4,4.179772,1.044943,0.339772,0.005,4.748727,1.187182,0.386022,00-0038584,2023,MIN,DL,NT,93.0,2000-10-22,MIN,141.0,23.0
T.J. Smith,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0035910,2023,MIN,DL,DT,50.0,1997-04-19,,,27.0
Calvin Avery,2023,3,2.705,0.901667,0.045,0.004,3.073207,1.024403,0.051125,00-0038799,2023,MIN,DL,DT,69.0,,,,
Danielle Hunter,2023,1,17.0,17.0,17.0,0.076,19.314057,19.314057,19.314057,00-0031565,2023,MIN,LB,OLB,99.0,1994-10-29,MIN,88.0,29.0
Marcus Davenport,2023,1,13.0,13.0,10.0,0.058,14.769573,14.769573,11.36121,00-0034344,2023,MIN,LB,OLB,0.0,1996-09-04,NO,14.0,27.0
Patrick Jones II,2021,4,4.870096,1.217524,0.901888,0.007,6.815466,1.703866,1.262149,00-0037007,2023,MIN,LB,OLB,91.0,1998-09-29,MIN,90.0,25.0
D.J. Wonnum,2020,4,4.04578,1.011445,0.75078,0.005,5.213381,1.303345,0.967453,00-0036335,2023,MIN,LB,OLB,98.0,1997-10-31,MIN,117.0,26.0
Quincy Roche,2023,1,0.94,0.94,0.0,0.004,1.067954,1.067954,0.0,00-0036845,2023,MIN,LB,OLB,48.0,1998-02-10,PIT,216.0,26.0
Andre Carter II,2023,3,2.735,0.911667,0.34,0.004,3.107291,1.035764,0.386281,00-0038801,2023,MIN,LB,OLB,55.0,2000-06-02,,,23.0
Anthony Barr,2023,1,1.165,1.165,0.0,0.005,1.323581,1.323581,0.0,00-0031256,2023,MIN,LB,OLB,54.0,1992-03-18,MIN,9.0,32.0
Jordan Hicks,2023,1,3.5,3.5,3.25,0.016,3.976423,3.976423,3.692393,00-0032129,2023,MIN,LB,ILB,58.0,1992-06-27,PHI,84.0,31.0
Nick Vigil,2023,1,1.165,1.165,0.0,0.005,1.323581,1.323581,0.0,00-0032892,2023,MIN,LB,ILB,59.0,1993-08-20,CIN,87.0,30.0
Tanner Vallejo,2023,1,1.08,1.08,0.0,0.005,1.227011,1.227011,0.0,00-0033580,2023,MIN,LB,ILB,54.0,1994-12-16,BUF,195.0,29.0
Brian Asamoah,2022,4,5.486844,1.371711,1.170432,0.007,6.730739,1.682685,1.435775,00-0037822,2023,MIN,LB,ILB,33.0,2000-03-29,MIN,66.0,24.0
Troy Dye,2020,4,3.973572,0.993393,0.678572,0.005,5.120334,1.280084,0.874406,00-0036338,2023,MIN,LB,ILB,45.0,1996-09-18,MIN,132.0,27.0
William Kwenkeu,2022,3,2.56,0.853333,0.0,0.004,3.140365,1.046788,0.0,00-0037639,2023,MIN,LB,ILB,47.0,1997-01-08,,,27.0
Ivan Pace Jr.,2023,3,2.715,0.905,0.236,0.004,3.084569,1.02819,0.268125,00-0038807,2023,MIN,LB,ILB,40.0,2000-12-16,,,23.0
Wilson Huber,2023,3,2.705,0.901667,0.03,0.004,3.073207,1.024403,0.034084,00-0038804,2023,MIN,LB,ILB,57.0,,,,
Abraham Beauplan,2023,3,2.703,0.901,0.008,0.004,3.070935,1.023645,0.009089,00-0038800,2023,MIN,LB,ILB,39.0,2000-02-03,,,24.0
Byron Murphy,2023,2,17.5,8.75,12.6,0.039,19.882117,9.941059,14.315125,00-0035236,2023,MIN,DB,CB,7.0,1998-01-18,ARI,33.0,26.0
Andrew Booth Jr.,2022,4,8.305828,2.076457,5.957187,0.01,10.188801,2.5472,7.307712,00-0038130,2023,MIN,DB,CB,23.0,2000-09-28,MIN,42.0,23.0
Joejuan Williams,2023,1,1.1,1.1,0.025,0.005,1.249733,1.249733,0.028403,00-0035241,2023,MIN,DB,CB,29.0,1997-12-06,NE,45.0,26.0
Mekhi Blackmon,2023,4,5.304082,1.326021,0.857512,0.006,6.026079,1.50652,0.974237,00-0038565,2023,MIN,DB,CB,5.0,1999-03-18,MIN,102.0,25.0
Akayleb Evans,2022,4,4.421076,1.105269,0.761076,0.005,5.423356,1.355839,0.933616,00-0038101,2023,MIN,DB,CB,21.0,1999-06-22,MIN,118.0,24.0
Jaylin Williams,2023,3,2.71,0.903333,0.05,0.004,3.078888,1.026296,0.056806,00-0038812,2023,MIN,DB,CB,38.0,2000-02-26,,,24.0
C.J. Coldon,2023,3,2.6975,0.899167,0.0025,0.004,3.064686,1.021563,0.00284,00-0038803,2023,MIN,DB,CB,35.0,1998-09-03,,,25.0
NaJee Thompson,2023,3,2.695,0.898333,0.0,0.004,3.061846,1.020615,0.0,00-0038811,2023,MIN,DB,CB,11.0,2000-07-07,,,23.0
Harrison Smith,2021,4,64.0,16.0,26.379412,0.088,89.564932,22.391233,36.916722,00-0029606,2023,MIN,DB,SS,22.0,1989-02-02,MIN,29.0,35.0
Josh Metellus,2023,2,8.0,4.0,6.135,0.018,9.088968,4.544484,6.970102,00-0036348,2023,MIN,DB,SS,44.0,1998-01-21,MIN,205.0,26.0
Lewis Cine,2022,4,11.494155,2.873539,11.494155,0.014,14.099938,3.524985,14.099938,00-0037245,2023,MIN,DB,FS,6.0,1999-10-05,MIN,32.0,24.0
Camryn Bynum,2021,4,4.197812,1.049453,0.717812,0.006,5.874637,1.468659,1.004543,00-0036629,2023,MIN,DB,FS,24.0,1998-07-19,MIN,125.0,25.0
Jay Ward,2023,4,4.493544,1.123386,0.653544,0.005,5.10521,1.276302,0.742505,00-0038578,2023,MIN,DB,FS,20.0,2000-07-13,MIN,134.0,23.0
Theo Jackson,2022,4,3.82348,0.95587,0.16348,0.005,4.690282,1.172571,0.200542,00-0037301,2023,MIN,DB,FS,25.0,1998-10-02,TEN,204.0,25.0
Jake Gervase,2023,1,0.94,0.94,0.0,0.004,1.067954,1.067954,0.0,00-0035609,2023,MIN,LB,ILB,49.0,1995-09-18,,,28.0
Greg Joseph,2023,1,2.0,2.0,1.7,0.009,2.272242,2.272242,1.931406,00-0034450,2023,MIN,K,K,1.0,1994-08-04,,,29.0
Ryan Wright,2022,3,2.565,0.855,0.02,0.004,3.146499,1.048833,0.024534,00-0037500,2023,MIN,P,P,14.0,2000-06-01,,,23.0
Andrew DePaola,2023,3,4.025,1.341666,2.265,0.006,4.572887,1.524295,2.573314,00-0029714,2023,MIN,LS,LS,42.0,1987-07-28,,,36.0
Aaron Dykes,2023,3,2.695,0.898333,0.0,0.004,3.061846,1.020615,0.0,,2023,MIN,RB,RB,46.0,,,,
Malik Knowles,2023,3,2.71,0.903333,0.075,0.004,3.078888,1.026296,0.085209,,2023,MIN,WR,WR,81.0,2000-08-17,,,23.0
Chim Okorafor,2023,3,2.695,0.898333,0.0,0.004,3.061846,1.020615,0.0,,2023,MIN,OL,T,63.0,,,,
Junior Aho,2023,3,2.695,0.898333,0.0,0.004,3.061846,1.020615,0.0,,2023,MIN,DL,DT,73.0,1999-02-02,,,25.0
Jameson Houston,2023,1,0.87,0.87,0.0,0.004,0.988425,0.988425,0.0,,2023,MIN,DB,DB,47.0,,,,
