PASSING_2023_PASSING_2023_Rank,PASSING_2023_PASSING_2023_Player,PASSING_2023_PASSING_2023_JerseyNumber,PASSING_2023_PASSING_2023_Position,PASSING_2023_PASSING_2023_GamesPlayed,PASSING_2023_PASSING_2023_PassingDropbacks,PASSING_2023_PASSING_2023_PassingAttempts,PASSING_2023_PASSING_2023_PassingCompletions,PASSING_2023_PASSING_2023_PassingCompletionPercentage,PASSING_2023_PASSING_2023_PassingYards,PASSING_2023_PASSING_2023_PassingYardsPerAttempt,PASSING_2023_PASSING_2023_PassingTouchdowns,PASSING_2023_PASSING_2023_PassingInterceptions,PASSING_2023_PASSING_2023_PassingOverallGrade,PASSING_2023_PASSING_2023_PassingGrade,PASSING_2023_PASSING_2023_PassingRushingGrade,PASSING_2023_PASSING_2023_PassingFumbles,PASSING_2023_PASSING_2023_PassingBigTimeThrows,PASSING_2023_PASSING_2023_PassingBigTimeThrowPercentage,PASSING_2023_PASSING_2023_PassingTurnoverWorthyPlays,PASSING_2023_PASSING_2023_PassingTurnoverWorthyPlayPercentage,PASSING_2023_PASSING_2023_PassingAverageDepthOfTarget,PASSING_2023_PASSING_2023_PassingAdjustedCompletionPercentage,PASSING_2023_PASSING_2023_PassingDrops,PASSING_2023_PASSING_2023_PassingDropPercentage,PASSING_2023_PASSING_2023_PassingBattedPasses,PASSING_2023_PASSING_2023_PassingHitAsThrown,PASSING_2023_PASSING_2023_PassingThrowaways,PASSING_2023_PASSING_2023_PassingDepthPercentage,PASSING_2023_PASSING_2023_PassingSacks,PASSING_2023_PASSING_2023_PassingPressureToSackPercentage,PASSING_2023_PASSING_2023_PassingAverageTimeToThrow,PASSING_2023_PASSING_2023_PassingScrambles,PASSING_2023_PASSING_2023_PassingFirstDowns,PASSING_2023_PASSING_2023_PassingPasserRating,PASSING_2023_PASSING_2023_PassingPenalties
1.0,Patrick Mahomes,#15,QB,20.0,846.0,746.0,505.0,67.7,"5,234",7.0,33.0,15.0,90.5,85.8,88.4,81.9,31.0,3.9,22.0,2.4,6.9,79.3,34.0,6.3,6.0,14.0,44.0,303.0,32.0,10.6,3.0,64.0,292.0,94.1,7 (1)
2.0,Tommy Townsend,#05,P,1.0,1.0,1.0,1.0,100.0,11,11.0,0.0,0.0,74.7,68.8,-,60.4,0.0,0.0,0.0,0.0,12.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,1.0,112.5,0 (0)
3.0,Jerick McKinnon,#01,HB,1.0,1.0,1.0,1.0,100.0,4,4.0,1.0,0.0,63.1,60.1,60.6,80.9,0.0,0.0,0.0,0.0,-4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.9,0.0,1.0,122.9,0 (0)
4.0,Kadarius Toney,#19,WR,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,62.5,55.1,62.3,38.3,0.0,0.0,0.0,0.0,16.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,4.6,0.0,0.0,39.6,1 (0)
5.0,Blaine Gabbert,#09,QB,2.0,40.0,35.0,18.0,51.4,185,5.3,0.0,3.0,60.7,54.6,74.8,79.8,0.0,0.0,2.0,4.9,5.9,68.8,4.0,18.2,2.0,0.0,1.0,18.0,1.0,5.6,2.41,4.0,10.0,31.2,0 (0)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
