Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,OffensePassingSnaps,OffensePassBlockingSnaps,OffenseRushingSnaps,OffenseRunBlockingSnaps,OffenseOverallGrade,OffensePassingGrade,OffensePassBlockingGrade,OffenseRushingGrade,OffenseRunBlockingGrade,OffensePenalties,Team
Blaine Gabbert,#09,QB,2.0,79,41.0,0.0,3.0,35.0,60.7,54.6,-,74.8,60.0,0 (0),kansas-city-chiefs
Travis Kelce,#87,TE,19.0,"1,015",703.0,23.0,0.0,289.0,82.6,87.8,77.9,-,46.9,10 (3),kansas-city-chiefs
Jerick McKinnon,#01,HB,13.0,281,205.0,39.0,21.0,16.0,63.1,69.1,58.1,60.6,43.8,0 (0),kansas-city-chiefs
Blake Bell,#81,TE,21.0,312,97.0,19.0,0.0,196.0,43.0,30.6,46.5,-,57.1,1 (1),kansas-city-chiefs
Donovan Smith,#79,T,16.0,"1,037",0.0,688.0,0.0,349.0,57.8,66.9,62.2,-,48.0,10 (4),kansas-city-chiefs
Joe Thuney,#62,G,19.0,"1,212",0.0,809.0,0.0,403.0,74.9,-,84.5,-,65.8,2 (0),kansas-city-chiefs
Patrick Mahomes,#15,QB,20.0,"1,338",901.0,1.0,34.0,402.0,90.3,85.5,60.9,88.4,60.9,7 (1),kansas-city-chiefs
Marquez Valdes-Scantling,#11,WR,20.0,802,608.0,0.0,0.0,194.0,52.1,52.9,-,-,49.5,3 (1),kansas-city-chiefs
Richie James,#17,WR,13.0,193,132.0,0.0,0.0,61.0,56.3,56.0,-,-,56.5,0 (0),kansas-city-chiefs
Justin Watson,#84,WR,20.0,693,491.0,1.0,0.0,201.0,62.4,62.3,66.3,-,56.7,1 (0),kansas-city-chiefs
Nick Allegretti,#73,G,11.0,253,0.0,160.0,0.0,93.0,65.8,-,73.7,-,59.6,0 (0),kansas-city-chiefs
Jawaan Taylor,#74,T,21.0,"1,364",1.0,909.0,0.0,454.0,49.8,58.1,64.6,-,42.6,24 (3),kansas-city-chiefs
Prince Tega Wanogho,#76,T,2.0,16,0.0,9.0,0.0,7.0,60.6,-,21.1,-,81.0,0 (0),kansas-city-chiefs
La'Mical Perine,#29,HB,5.0,61,31.0,5.0,22.0,3.0,64.4,48.3,79.2,65.8,72.8,0 (0),kansas-city-chiefs
Clyde Edwards-Helaire,#25,HB,19.0,283,162.0,33.0,83.0,5.0,65.5,65.9,59.1,64.6,60.0,0 (0),kansas-city-chiefs
Lucas Niang,#77,T,3.0,59,0.0,36.0,0.0,23.0,47.4,-,56.5,-,48.4,1 (1),kansas-city-chiefs
Matt Bushman,#89,TE,1.0,7,3.0,1.0,0.0,3.0,54.6,56.3,70.6,-,57.1,0 (0),kansas-city-chiefs
Creed Humphrey,#52,C,21.0,"1,380",0.0,923.0,0.0,457.0,81.4,-,74.3,-,84.1,6 (0),kansas-city-chiefs
Noah Gray,#83,TE,21.0,748,402.0,39.0,1.0,306.0,62.9,63.7,47.6,60.0,56.6,0 (0),kansas-city-chiefs
Trey Smith,#65,G,21.0,"1,374",0.0,912.0,0.0,462.0,74.6,-,68.1,-,76.2,11 (2),kansas-city-chiefs
Kadarius Toney,#19,WR,13.0,229,161.0,0.0,12.0,56.0,62.5,62.9,-,62.3,62.9,1 (0),kansas-city-chiefs
Isiah Pacheco,#10,HB,18.0,781,386.0,74.0,291.0,30.0,79.9,69.9,67.4,80.2,59.3,1 (0),kansas-city-chiefs
Mike Caliendo,#66,G,2.0,64,0.0,35.0,0.0,29.0,45.1,-,28.1,-,51.3,0 (0),kansas-city-chiefs
Justyn Ross,#08,WR,11.0,139,85.0,0.0,0.0,54.0,48.7,51.0,-,-,36.5,1 (0),kansas-city-chiefs
Montrell Washington,#80,WR,1.0,2,0.0,0.0,0.0,2.0,60.0,-,-,-,60.0,0 (0),kansas-city-chiefs
Keaontay Ingram,#30,HB,7.0,117,55.0,16.0,37.0,9.0,64.7,55.0,60.8,66.1,66.4,0 (0),arizona-cardinals
Skyy Moore,#24,WR,14.0,496,307.0,0.0,3.0,186.0,54.8,54.9,-,55.1,53.6,0 (0),kansas-city-chiefs
Wanya Morris,#64,T,9.0,340,0.0,235.0,0.0,105.0,55.6,-,63.4,-,47.1,3 (1),kansas-city-chiefs
Rashee Rice,#04,WR,20.0,852,575.0,4.0,3.0,270.0,84.9,86.1,71.7,35.3,59.8,2 (0),kansas-city-chiefs
