Player,JerseyNumber,Position,GamesPlayed,DefenseTotalSnaps,DefenseRunDefenseSnaps,DefensePassRushSnaps,DefenseCoverageSnaps,DefenseOverallGrade,DefenseRunDefenseGrade,DefenseTacklingGrade,DefensePassRushGrade,DefenseCoverageGrade,DefenseTotalPressures,DefenseSacks,DefenseHits,DefenseHurries,DefenseBattedPasses,DefenseTackles,DefenseAssists,DefenseMissedTackles,DefenseMissedTacklePercentage,DefenseStops,DefenseForcedFumbles,DefenseTargets,DefenseReceptionsAllowed,DefenseReceptionPercentageAllowed,DefenseYardsAllowed,DefenseYardsPerReceptionAllowed,DefenseYardsAfterCatchAllowed,DefenseLongestReceptionAllowed,DefenseTouchdownsAllowed,DefenseInterceptions,DefensePassBreakups,DefensePasserRatingAllowed,DefensePenalties,DefenseSnapsOnDefensiveLine,DefenseSnapsInTheBox,DefenseSnapsAtFreeSafety,DefenseSnapsInTheSlot,DefenseSnapsAtCorner,DefenseSnapsAtA-Gap,DefenseSnapsAtB-Gap,DefenseSnapsOverTackle,DefenseSnapsOutside,Team
Mike Pennel,#69,DI,7.0,160,78.0,80.0,2.0,60.5,67.3,60.2,52.8,51.0,1.0,0.0,0.0,1.0,0.0,10.0,5.0,1.0,6.3,9.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),160.0,0.0,0.0,0.0,0,17.0,143.0,0.0,0.0,kansas-city-chiefs
Chris Jones,#95,DI,20.0,947,312.0,633.0,2.0,88.1,60.0,29.6,90.4,69.8,91.0,15.0,23.0,53.0,5.0,16.0,7.0,8.0,25.8,25.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,4 (0),944.0,3.0,0.0,0.0,0,5.0,464.0,321.0,154.0,kansas-city-chiefs
Deon Bush,#26,S,8.0,97,22.0,1.0,74.0,63.5,36.5,29.7,59.0,69.4,0.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,27.3,0.0,0.0,3.0,3.0,100.0,42.0,14.0,18.0,25.0,0.0,1.0,0.0,79.2,0 (0),1.0,22.0,55.0,18.0,0,0.0,0.0,0.0,1.0,kansas-city-chiefs
Justin Reid,#20,S,20.0,"1,247",457.0,56.0,734.0,57.7,63.8,68.0,73.2,51.8,12.0,5.0,3.0,4.0,1.0,97.0,18.0,14.0,10.9,37.0,1.0,70.0,45.0,64.3,468.0,10.4,197.0,39.0,4.0,1.0,4.0,96.6,3 (1),92.0,452.0,335.0,328.0,39,0.0,0.0,0.0,92.0,kansas-city-chiefs
Matt Dickerson,#93,DI,13.0,206,107.0,98.0,1.0,44.8,40.1,74.3,53.7,65.6,1.0,0.0,0.0,1.0,0.0,10.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),206.0,0.0,0.0,0.0,0,38.0,166.0,2.0,0.0,kansas-city-chiefs
Derrick Nnadi,#91,DI,18.0,507,256.0,241.0,10.0,41.4,42.0,32.3,51.8,53.7,9.0,1.0,0.0,8.0,1.0,21.0,12.0,5.0,13.2,14.0,0.0,2.0,2.0,100.0,10.0,5.0,8.0,7.0,0.0,0.0,0.0,87.5,2 (0),505.0,0.0,0.0,0.0,0,85.0,418.0,2.0,0.0,kansas-city-chiefs
Isaiah Buggs,#96,DI,10.0,255,110.0,144.0,1.0,62.3,58.5,49.1,59.5,63.3,5.0,1.0,0.0,4.0,2.0,8.0,6.0,3.0,17.6,8.0,0.0,1.0,1.0,100.0,8,8.0,5.0,8.0,0.0,0.0,0.0,100.0,0 (0),255,0.0,0.0,0.0,0,70.0,157.0,25.0,3,detroit-lions
Drue Tranquill,#23,LB,19.0,721,283.0,69.0,369.0,68.4,55.9,70.8,84.3,66.9,22.0,5.0,2.0,15.0,0.0,72.0,18.0,8.0,8.2,42.0,2.0,47.0,37.0,78.7,304.0,8.2,230.0,27.0,0.0,0.0,1.0,93.6,0 (0),77.0,599.0,1.0,37.0,4,0.0,0.0,0.0,77.0,kansas-city-chiefs
Charles Omenihu,#90,ED,14.0,502,178.0,318.0,6.0,65.1,54.0,35.9,70.6,56.0,37.0,8.0,5.0,24.0,2.0,18.0,6.0,6.0,20.0,14.0,3.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,2 (1),502.0,0.0,0.0,0.0,0,6.0,62.0,86.0,348.0,kansas-city-chiefs
Mike Edwards,#21,S,21.0,809,235.0,15.0,559.0,56.9,53.6,39.3,65.1,58.6,6.0,1.0,1.0,4.0,0.0,47.0,15.0,15.0,19.5,11.0,0.0,38.0,23.0,60.5,311.0,13.5,142.0,41.0,0.0,2.0,6.0,64.7,2 (1),15.0,195.0,468.0,118.0,13,0.0,0.0,0.0,15.0,kansas-city-chiefs
