Player,JerseyNumber,Position,GamesPlayed,RunBlockingTotalSnaps,RunBlockingTotalSnaps.1,RunBlockingTotalSnapsPercentage,RunBlockingGrade,RunBlockingPenalties,RunBlockingTotalSnapsInZoneScheme,RunBlockingTotalSnapsInZoneSchemePercentage,RunBlockingGradeInZoneScheme,RunBlockingTotalSnapsInGapScheme,RunBlockingTotalSnapsInGapSchemePercentage,RunBlockingGradeInGapScheme
Creed Humphrey,#52,C,21.0,457.0,457.0,100.0,84.1,2 (0),246.0,53.8,81.3,160.0,35.0,82.7
Prince Tega Wanogho,#76,T,1.0,7.0,7.0,100.0,81.0,0 (0),4.0,57.1,85.7,2.0,28.6,58.5
Trey Smith,#65,G,21.0,462.0,462.0,100.0,76.2,3 (0),244.0,52.8,75.7,164.0,35.5,65.2
La'Mical Perine,#29,HB,3.0,25.0,3.0,12.0,72.8,0 (0),0.0,0.0,-,0.0,0.0,-
Joe Thuney,#62,G,19.0,403.0,403.0,100.0,65.8,0 (0),227.0,56.3,66.8,132.0,32.8,53.3
Kadarius Toney,#19,WR,12.0,68.0,56.0,82.4,62.9,0 (0),32.0,57.1,62.4,21.0,37.5,71.0
Patrick Mahomes,#15,QB,20.0,436.0,402.0,92.2,60.9,0 (0),228.0,56.7,60.4,154.0,38.3,60.8
Nic Jones,#31,CB,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Deon Bush,#26,S,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Cam Jones,#44,LB,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Harrison Butker,#07,K,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Ekow Boye-Doe,#40,CB,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Chamarri Conner,#27,S,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Jack Cochrane,#43,LB,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Leo Chenal,#54,LB,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Montrell Washington,#80,WR,1.0,2.0,2.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Tommy Townsend,#05,P,2.0,2.0,2.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
James Winchester,#41,LS,2.0,2.0,2.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Clyde Edwards-Helaire,#25,HB,19.0,88.0,5.0,5.7,60.0,0 (0),1.0,20.0,60.0,0.0,0.0,-
Blaine Gabbert,#09,QB,2.0,38.0,35.0,92.1,60.0,0 (0),24.0,68.6,60.0,10.0,28.6,60.0
Rashee Rice,#04,WR,20.0,273.0,270.0,98.9,59.8,0 (0),160.0,59.3,64.2,89.0,33.0,59.8
Nick Allegretti,#73,G,9.0,93.0,93.0,100.0,59.6,0 (0),40.0,43.0,46.3,41.0,44.1,70.6
Isiah Pacheco,#10,HB,18.0,321.0,30.0,9.3,59.3,0 (0),5.0,16.7,58.7,4.0,13.3,57.4
Mecole Hardman Jr.,#12,WR,9.0,60.0,57.0,95.0,59.2,0 (0),37.0,64.9,59.4,19.0,33.3,59.0
Matt Bushman,#89,TE,1.0,3.0,3.0,100.0,57.1,0 (0),2.0,66.7,59.9,0.0,0.0,-
Blake Bell,#81,TE,21.0,196.0,196.0,100.0,57.1,0 (0),91.0,46.4,60.8,70.0,35.7,49.4
Justin Watson,#84,WR,19.0,201.0,201.0,100.0,56.7,0 (0),113.0,56.2,67.1,71.0,35.3,64.3
Noah Gray,#83,TE,21.0,307.0,306.0,99.7,56.6,0 (0),160.0,52.3,66.0,101.0,33.0,44.9
Richie James,#17,WR,10.0,61.0,61.0,100.0,56.5,0 (0),24.0,39.3,57.4,22.0,36.1,60.3
Skyy Moore,#24,WR,14.0,189.0,186.0,98.4,53.6,0 (0),109.0,58.6,62.4,55.0,29.6,57.6
Mike Caliendo,#66,G,2.0,29.0,29.0,100.0,51.3,0 (0),18.0,62.1,48.3,8.0,27.6,61.1
Marquez Valdes-Scantling,#11,WR,19.0,194.0,194.0,100.0,49.5,0 (0),103.0,53.1,59.5,78.0,40.2,65.3
Lucas Niang,#77,T,2.0,23.0,23.0,100.0,48.4,0 (0),15.0,65.2,68.9,6.0,26.1,41.7
Donovan Smith,#79,T,16.0,349.0,349.0,100.0,48.0,0 (0),174.0,49.9,49.1,136.0,39.0,49.1
Wanya Morris,#64,T,9.0,105.0,105.0,100.0,47.1,2 (0),67.0,63.8,55.5,25.0,23.8,44.2
Travis Kelce,#87,TE,19.0,289.0,289.0,100.0,46.9,2 (0),163.0,56.4,58.5,113.0,39.1,46.8
Jerick McKinnon,#01,HB,12.0,37.0,16.0,43.2,43.8,0 (0),0.0,0.0,-,1.0,6.3,59.8
Jawaan Taylor,#74,T,21.0,454.0,454.0,100.0,42.6,2 (0),240.0,52.9,45.8,161.0,35.5,52.8
Justyn Ross,#08,WR,10.0,54.0,54.0,100.0,36.5,0 (0),23.0,42.6,60.9,17.0,31.5,60.2
,,,,,,,,,,,,,,
