SCHEDULE_2023_SCHEDULE_2023_Week,SCHEDULE_2023_SCHEDULE_2023_Away,SCHEDULE_2023_SCHEDULE_2023_Opponent,SCHEDULE_2023_SCHEDULE_2023_Date,SCHEDULE_2023_SCHEDULE_2023_Time,SCHEDULE_2023_SCHEDULE_2023_Result,SCHEDULE_2023_SCHEDULE_2023_PointsFor,SCHEDULE_2023_SCHEDULE_2023_PointsAgainst,SCHEDULE_2023_SCHEDULE_2023_OverallGrade,SCHEDULE_2023_SCHEDULE_2023_OffenseGrade,SCHEDULE_2023_SCHEDULE_2023_PassingGrade,SCHEDULE_2023_SCHEDULE_2023_PassBlockingGrade,SCHEDULE_2023_SCHEDULE_2023_ReceivingGrade,SCHEDULE_2023_SCHEDULE_2023_RushingGrade,SCHEDULE_2023_SCHEDULE_2023_RunBlockingGrade,SCHEDULE_2023_SCHEDULE_2023_DefenseGrade,SCHEDULE_2023_SCHEDULE_2023_RunDefenseGrade,SCHEDULE_2023_SCHEDULE_2023_TacklingGrade,SCHEDULE_2023_SCHEDULE_2023_PassRushGrade,SCHEDULE_2023_SCHEDULE_2023_CoverageGrade,SCHEDULE_2023_SCHEDULE_2023_SpecialTeamsGrade,SCHEDULE_2023_SCHEDULE_2023_GameReports
1,@,Kansas City Chiefs,09/07,8:20pm,W,21.0,20.0,73.7,73.1,73.8,84.4,63.8,68.8,68.9,67.7,79.9,41.8,66.5,56.6,66.6,Game Reports
2,,Seattle Seahawks,09/17,1:00pm,L,31.0,37.0,72.6,79.2,78.6,69.5,78.5,56.8,70.6,56.5,52.9,48.1,52.5,61.7,63.8,Game Reports
3,,Atlanta Falcons,09/24,1:00pm,W,20.0,6.0,77.2,70.8,75.4,58.6,70.9,59.5,62.9,75.1,65.4,57.9,75.3,72.4,63.4,Game Reports
4,@,Green Bay Packers,09/28,8:15pm,W,34.0,20.0,81.7,77.1,69.5,65.7,70.6,82.3,66.0,78.8,73.3,90.2,72.5,77.4,55.8,Game Reports
5,,Carolina Panthers,10/08,1:00pm,W,42.0,24.0,90.7,88.8,92.8,80.5,72.6,78.8,73.7,77.3,80.7,60.6,69.2,73.0,74.4,Game Reports
6,@,Tampa Bay Buccaneers,10/15,4:25pm,W,20.0,6.0,70.4,72.5,74.6,81.3,72.7,50.5,60.6,63.5,81.7,58.3,63.0,52.2,55.7,Game Reports
7,@,Baltimore Ravens,10/22,1:00pm,L,6.0,38.0,56.7,61.7,58.3,74.3,56.2,67.5,65.2,48.8,45.1,66.6,59.4,50.7,57.1,Game Reports
8,,Las Vegas Raiders,10/30,8:15pm,W,26.0,14.0,77.3,78.1,79.5,55.1,70.0,82.1,68.4,64.6,55.3,60.9,68.6,64.7,77.0,Game Reports
10,@,Los Angeles Chargers,11/12,4:05pm,W,41.0,38.0,82.9,90.7,88.4,76.3,75.9,83.1,80.8,62.2,88.2,66.4,61.2,43.3,61.0,Game Reports
11,,Chicago Bears,11/19,1:00pm,W,31.0,26.0,73.2,71.8,48.0,69.5,70.6,83.5,68.9,69.1,65.7,49.7,74.4,60.1,70.3,Game Reports
12,,Green Bay Packers,11/23,12:30pm,L,22.0,29.0,65.7,65.9,59.7,53.2,67.2,70.4,61.2,60.6,71.0,70.9,66.3,48.9,80.0,Game Reports
13,@,New Orleans Saints,12/03,1:00pm,W,33.0,28.0,77.4,75.3,76.4,76.7,73.5,63.8,66.5,70.4,70.2,66.4,78.9,56.8,72.4,Game Reports
14,@,Chicago Bears,12/10,1:00pm,L,13.0,28.0,51.8,53.1,52.7,63.1,51.6,47.2,69.2,52.9,63.0,40.9,59.4,48.4,79.5,Game Reports
15,,Denver Broncos,12/16,8:15pm,W,42.0,17.0,87.9,92.4,81.9,69.6,90.1,85.6,73.4,64.0,64.0,53.1,65.3,57.9,67.1,Game Reports
16,@,Minnesota Vikings,12/24,1:00pm,W,30.0,24.0,77.9,76.8,72.8,72.3,72.3,65.0,77.5,71.3,68.5,69.7,68.3,67.8,59.2,Game Reports
17,@,Dallas Cowboys,12/30,8:15pm,L,19.0,20.0,72.2,75.3,77.0,41.1,77.2,70.5,64.4,61.5,60.4,36.1,60.1,61.1,63.6,Game Reports
18,,Minnesota Vikings,01/07,1:00pm,W,30.0,20.0,74.6,79.1,74.2,61.3,81.3,68.6,63.3,63.5,49.2,40.0,81.9,56.5,59.9,Game Reports
WC,,Los Angeles Rams,01/14,8:00pm,W,24.0,23.0,73.4,79.7,81.3,44.0,82.9,63.4,69.0,58.1,75.1,47.3,64.0,45.7,67.8,Game Reports
DP,,Tampa Bay Buccaneers,01/21,3:00pm,W,31.0,23.0,76.4,81.0,66.0,67.2,75.9,68.0,88.6,60.4,62.5,53.9,61.7,57.8,69.6,Game Reports
CC,@,San Francisco 49ers,01/28,6:30pm,L,31.0,34.0,67.5,77.4,71.9,62.7,64.1,75.7,84.1,50.3,51.3,31.8,64.5,45.8,53.2,Game Reports
,,,,,,,,,,,,,,,,,,,,,
