Player,JerseyNumber,Position,GamesPlayed,DefenseTotalSnaps,DefenseRunDefenseSnaps,DefensePassRushSnaps,DefenseCoverageSnaps,DefenseOverallGrade,DefenseRunDefenseGrade,DefenseTacklingGrade,DefensePassRushGrade,DefenseCoverageGrade,DefenseTotalPressures,DefenseSacks,DefenseHits,DefenseHurries,DefenseBattedPasses,DefenseTackles,DefenseAssists,DefenseMissedTackles,DefenseMissedTacklePercentage,DefenseStops,DefenseForcedFumbles,DefenseTargets,DefenseReceptionsAllowed,DefenseReceptionPercentageAllowed,DefenseYardsAllowed,DefenseYardsPerReceptionAllowed,DefenseYardsAfterCatchAllowed,DefenseLongestReceptionAllowed,DefenseTouchdownsAllowed,DefenseInterceptions,DefensePassBreakups,DefensePasserRatingAllowed,DefensePenalties,DefenseSnapsOnDefensiveLine,DefenseSnapsInTheBox,DefenseSnapsAtFreeSafety,DefenseSnapsInTheSlot,DefenseSnapsAtCorner,DefenseSnapsAtA-Gap,DefenseSnapsAtB-Gap,DefenseSnapsOverTackle,DefenseSnapsOutside
Aidan Hutchinson,#97,ED,20.0,"1,146",381.0,718.0,47.0,91.0,63.7,40.9,91.4,85.2,121.0,14.0,28.0,79.0,5.0,36.0,9.0,12.0,21.1,38.0,3.0,5.0,4.0,80.0,28,7.0,28.0,12.0,2.0,1.0,0.0,90.0,3 (1),"1,130",13.0,0.0,2.0,1,0.0,7.0,70.0,"1,053"
Jalen Reeves-Maybin,#42,LB,13.0,121,14.0,22.0,85.0,88.6,93.6,66.6,76.3,73.5,3.0,2.0,1.0,0.0,1.0,7.0,3.0,1.0,9.1,5.0,1.0,10.0,8.0,80.0,83,10.4,47.0,24.0,0.0,0.0,0.0,101.3,0 (0),7,84.0,5.0,18.0,7,0.0,0.0,0.0,7
Alim McNeill,#54,DI,16.0,682,251.0,429.0,2.0,86.8,76.9,36.8,78.6,64.6,43.0,6.0,7.0,30.0,1.0,16.0,16.0,6.0,15.8,20.0,1.0,1.0,1.0,100.0,12,12.0,6.0,12.0,0.0,0.0,0.0,116.7,0 (0),682,0.0,0.0,0.0,0,49.0,558.0,74.0,1
Ifeatu Melifonwu,#06,S,14.0,535,159.0,20.0,356.0,82.1,74.4,54.4,90.4,75.8,11.0,6.0,2.0,3.0,0.0,35.0,7.0,9.0,17.6,18.0,1.0,26.0,16.0,61.5,185,11.6,72.0,28.0,2.0,2.0,3.0,76.6,2 (1),10,168.0,233.0,113.0,11,0.0,0.0,0.0,10
Brian Branch,#32,CB,18.0,873,268.0,51.0,554.0,78.9,83.9,70.4,64.2,77.7,10.0,2.0,2.0,6.0,1.0,79.0,11.0,10.0,10.0,44.0,1.0,76.0,49.0,64.5,468,9.6,219.0,40.0,5.0,3.0,11.0,87.0,8 (0),42,127.0,34.0,624.0,46,0.0,0.0,0.0,42
Alex Anzalone,#34,LB,19.0,"1,189",395.0,104.0,690.0,69.8,70.4,41.5,72.6,66.1,30.0,3.0,11.0,16.0,1.0,114.0,25.0,26.0,15.8,57.0,0.0,81.0,61.0,75.3,535,8.8,340.0,41.0,1.0,0.0,5.0,96.5,5 (0),52,993.0,3.0,122.0,19,0.0,0.0,0.0,52
Levi Onwuzurike,#91,DI,13.0,164,57.0,106.0,1.0,68.5,58.3,37.6,68.7,62.4,10.0,1.0,1.0,8.0,0.0,6.0,1.0,1.0,12.5,6.0,0.0,0.0,0.0,,0,,0.0,,0.0,0.0,0.0,0.0,0 (0),164,0.0,0.0,0.0,0,0.0,133.0,29.0,2
Romeo Okwara,#95,ED,19.0,330,110.0,197.0,23.0,66.8,63.1,28.0,63.8,59.9,17.0,2.0,3.0,12.0,1.0,6.0,4.0,4.0,28.6,6.0,1.0,1.0,1.0,100.0,6,6.0,10.0,6.0,0.0,0.0,1.0,91.7,0 (0),330,0.0,0.0,0.0,0,0.0,9.0,14.0,307
Tracy Walker III,#21,S,12.0,541,172.0,9.0,360.0,62.8,67.7,69.2,84.3,57.8,7.0,1.0,2.0,4.0,0.0,39.0,12.0,6.0,10.5,10.0,1.0,25.0,16.0,64.0,173,10.8,36.0,30.0,3.0,0.0,1.0,123.8,2 (2),19,127.0,274.0,114.0,7,0.0,0.0,0.0,19
Anthony Pittman,#57,ED,2.0,5,4.0,0.0,1.0,62.5,60.0,-,-,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0,,0.0,,0.0,0.0,0.0,0.0,0 (0),4,1.0,0.0,0.0,0,0.0,0.0,0.0,4
Isaiah Buggs,#96,DI,10.0,255,110.0,144.0,1.0,62.3,58.5,49.1,59.5,63.3,5.0,1.0,0.0,4.0,2.0,8.0,6.0,3.0,17.6,8.0,0.0,1.0,1.0,100.0,8,8.0,5.0,8.0,0.0,0.0,0.0,100.0,0 (0),255,0.0,0.0,0.0,0,70.0,157.0,25.0,3
Steven Gilmore,#24,CB,1.0,2,1.0,0.0,1.0,61.8,60.0,-,-,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0,,0.0,,0.0,0.0,0.0,0.0,0 (0),0,0.0,0.0,0.0,2,0.0,0.0,0.0,0
C.J. Gardner-Johnson,#02,S,6.0,291,84.0,10.0,197.0,61.7,65.5,39.8,50.7,64.2,2.0,0.0,0.0,2.0,0.0,24.0,5.0,8.0,21.6,6.0,0.0,10.0,7.0,70.0,91,13.0,35.0,28.0,0.0,2.0,2.0,58.7,3 (0),9,83.0,153.0,35.0,11,0.0,0.0,0.0,9
Derrick Barnes,#55,LB,19.0,791,293.0,124.0,374.0,60.7,69.0,62.2,55.9,53.2,20.0,1.0,4.0,15.0,0.0,59.0,26.0,11.0,11.5,33.0,1.0,40.0,32.0,80.0,397,12.4,256.0,80.0,0.0,1.0,0.0,97.6,0 (0),196,539.0,0.0,51.0,5,1.0,0.0,0.0,195
Emmanuel Moseley,#04,CB,1.0,2,1.0,0.0,1.0,60.6,60.0,-,-,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0,,0.0,,0.0,0.0,0.0,0.0,0 (0),0,1.0,0.0,0.0,1,0.0,0.0,0.0,0
Julian Okwara,#99,ED,9.0,120,19.0,82.0,19.0,60.2,72.7,75.7,62.5,47.3,9.0,2.0,2.0,5.0,1.0,4.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,100.0,10,5.0,8.0,8.0,0.0,0.0,0.0,87.5,1 (1),118,1.0,0.0,1.0,0,0.0,0.0,0.0,118
Josh Paschal,#93,ED,15.0,510,173.0,331.0,6.0,59.1,62.1,42.1,52.3,64.1,19.0,1.0,2.0,16.0,0.0,20.0,9.0,4.0,12.1,15.0,0.0,0.0,0.0,,0,,0.0,,0.0,0.0,0.0,0.0,0 (0),510,0.0,0.0,0.0,0,4.0,74.0,150.0,282
John Cominsky,#79,DI,19.0,663,223.0,434.0,6.0,58.9,65.7,52.4,52.3,53.1,33.0,2.0,9.0,22.0,2.0,24.0,16.0,5.0,11.1,19.0,0.0,0.0,0.0,,0,,0.0,,0.0,0.0,0.0,0.0,0 (0),661,2.0,0.0,0.0,0,37.0,102.0,352.0,170
Malcolm Rodriguez,#44,LB,14.0,162,62.0,19.0,81.0,57.4,62.0,46.0,55.0,55.8,2.0,0.0,0.0,2.0,0.0,20.0,3.0,4.0,14.8,9.0,0.0,12.0,8.0,66.7,95,11.9,55.0,23.0,0.0,1.0,0.0,55.9,0 (0),6,151.0,1.0,4.0,0,0.0,0.0,0.0,6
Brodric Martin,#98,DI,3.0,28,15.0,13.0,0.0,57.1,59.8,71.1,53.4,-,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,0.0,,0.0,0.0,0.0,0.0,0 (0),28,0.0,0.0,0.0,0,13.0,15.0,0.0,0
Jerry Jacobs,#23,CB,13.0,743,260.0,4.0,479.0,57.1,70.8,48.6,73.3,54.5,2.0,0.0,1.0,1.0,0.0,51.0,6.0,11.0,16.2,15.0,0.0,71.0,47.0,66.2,602,12.8,126.0,39.0,7.0,3.0,4.0,107.8,9 (0),5,77.0,6.0,17.0,638,0.0,0.0,0.0,5
