Player,JerseyNumber,Position,GamesPlayed,PassRushSnaps,PassRushTotalSnaps,PassRushSnapsPercentage,PassRushGrade,PassRushPenalties,PassRushTotalPressures,PassRushSacks,PassRushHits,PassRushHurries,PassRushPressureRate,PassRushWinPercentage,PassRushBattedPasses,TruePassSetSnaps,TruePassSetTotalSnaps,TruePassSetSnapsPercentage,TruePassSetGrade,TruePassSetTotalPressures,TruePassSetSacks,TruePassSetHits,TruePassSetHurries,TruePassSetPressureRate,TruePassSetWinPercentage,TruePassSetBattedPasses
Aidan Hutchinson,#97,ED,20.0,765.0,718.0,93.9,91.4,3 (1),121.0,14.0,28.0,79.0,10.0,21.0,5.0,406.0,382.0,94.1,92.6,96.0,12.0,23.0,61.0,15.3,28.7,1.0
Ifeatu Melifonwu,#06,S,13.0,376.0,20.0,5.3,90.4,2 (1),11.0,6.0,2.0,3.0,44.7,10.5,0.0,194.0,13.0,6.7,77.8,8.0,3.0,2.0,3.0,42.3,7.7,0.0
Tracy Walker III,#21,S,12.0,369.0,9.0,2.4,84.3,2 (2),7.0,1.0,2.0,4.0,44.4,11.1,0.0,198.0,2.0,1.0,70.5,2.0,1.0,0.0,1.0,75.0,0.0,0.0
Kerby Joseph,#31,S,18.0,674.0,5.0,0.7,80.6,3 (1),1.0,0.0,0.0,1.0,10.0,20.0,1.0,364.0,2.0,0.5,56.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alim McNeill,#54,DI,16.0,431.0,429.0,99.5,78.6,0 (0),43.0,6.0,7.0,30.0,6.1,12.5,1.0,187.0,186.0,99.5,82.3,27.0,3.0,4.0,20.0,8.8,17.1,1.0
Jalen Reeves-Maybin,#42,LB,13.0,107.0,22.0,20.6,76.3,0 (0),3.0,2.0,1.0,0.0,11.9,14.3,1.0,79.0,20.0,25.3,78.7,3.0,2.0,1.0,0.0,13.2,15.8,1.0
Kindle Vildor,#29,CB,8.0,264.0,2.0,0.8,74.9,3 (0),1.0,0.0,1.0,0.0,25.0,0.0,0.0,131.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,,0.0
Jerry Jacobs,#23,CB,13.0,483.0,4.0,0.8,73.3,9 (0),2.0,0.0,1.0,1.0,25.0,25.0,0.0,264.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,,0.0
Alex Anzalone,#34,LB,19.0,794.0,104.0,13.1,72.6,5 (0),30.0,3.0,11.0,16.0,17.4,14.7,1.0,409.0,62.0,15.2,66.4,13.0,2.0,5.0,6.0,12.7,16.9,0.0
Levi Onwuzurike,#91,DI,13.0,107.0,106.0,99.1,68.7,0 (0),10.0,1.0,1.0,8.0,5.6,13.3,0.0,51.0,51.0,100.0,73.2,9.0,1.0,1.0,7.0,10.6,21.3,0.0
