Player,JerseyNumber,Position,GamesPlayed,ReceivingTargets,ReceivingReceptions,ReceivingReceptionPercentage,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingOverallGrade,ReceivingGrade,ReceivingDrops,ReceivingFumbles,ReceivingPassBlockingGrade,ReceivingPassSnaps,ReceivingRoutesRun,ReceivingTargetPercentage,ReceivingPassBlockingSnaps,ReceivingPassBlockingSnapsPercentage,ReceivingSnapsInTheSlot,ReceivingSnapsInTheSlotPercentage,ReceivingSnapsWide,ReceivingSnapsWidePercentage,ReceivingSnapsInline,ReceivingSnapsInlinePercentage,ReceivingYardsAfterCatch,ReceivingYardsAfterCatchPerReception,ReceivingYardsPerRouteRun,ReceivingAverageDepthOfTarget,ReceivingLongestReception,ReceivingDrops.1,ReceivingDropPercentage,ReceivingContestedTargets,ReceivingContestedCatches,ReceivingContestedCatchPercentage,ReceivingInterceptionsThrownWhenTargeted,ReceivingFumbles.1,ReceivingMissedTacklesForced,ReceivingFirstDowns,ReceivingPasserRatingWhenTargeted,ReceivingPenalties
Amon-Ra St. Brown,#14,WR,19.0,190.0,141.0,74.2,"1,789",12.7,11.0,91.2,91.3,88.5,67.4,39.2,725.0,691.0,95.3,4.0,0.6,401.0,55.3,316.0,43.6,0.0,0.0,802.0,5.7,2.59,8.0,70.0,5.0,3.4,29.0,15.0,51.7,3.0,1.0,21.0,93.0,115.9,1 (0)
Sam LaPorta,#87,TE,20.0,144.0,107.0,74.3,"1,065",10.0,11.0,77.0,81.8,74.6,84.3,59.9,689.0,601.0,87.2,63.0,9.1,177.0,25.7,182.0,26.4,324.0,47.0,449.0,4.2,1.77,7.2,48.0,7.0,6.1,22.0,14.0,63.6,3.0,0.0,13.0,59.0,111.6,1 (0)
Devine Ozigbo,#33,HB,1.0,1.0,1.0,100.0,8,8.0,0.0,66.5,80.1,64.7,68.2,-,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,2.0,8.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,100.0,0 (0)
Khalil Dorsey,#30,CB,1.0,1.0,1.0,100.0,31,31.0,0.0,76.0,76.9,64.7,76.9,-,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,31.0,22.0,31.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,118.8,0 (0)
Kalif Raymond,#11,WR,17.0,43.0,35.0,81.4,489,14.0,1.0,75.4,75.8,79.9,89.7,28.2,247.0,236.0,95.5,1.0,0.4,121.0,49.0,121.0,49.0,2.0,0.8,214.0,6.1,2.07,8.8,41.0,1.0,2.8,2.0,0.0,0.0,0.0,0.0,3.0,20.0,121.8,2 (0)
Craig Reynolds,#13,HB,14.0,6.0,5.0,83.3,47,9.4,0.0,76.5,69.9,73.4,45.9,24.0,77.0,64.0,83.1,13.0,16.9,3.0,3.9,10.0,13.0,0.0,0.0,60.0,12.0,0.73,-2.8,28.0,0.0,0.0,0.0,0.0,,0.0,0.0,3.0,2.0,99.3,0 (0)
Josh Reynolds,#08,WR,20.0,75.0,48.0,64.0,740,15.4,6.0,70.1,69.2,56.7,35.3,61.6,608.0,580.0,95.4,1.0,0.2,212.0,34.9,396.0,65.1,0.0,0.0,221.0,4.6,1.28,11.7,33.0,5.0,9.4,14.0,8.0,57.1,1.0,1.0,12.0,39.0,117.6,3 (1)
Jahmyr Gibbs,#26,HB,18.0,83.0,63.0,75.9,410,6.5,1.0,76.3,67.4,65.4,61.2,26.8,434.0,372.0,85.7,44.0,10.1,40.0,9.2,45.0,10.4,0.0,0.0,437.0,6.9,1.1,0.1,24.0,5.0,7.4,3.0,1.0,33.3,1.0,0.0,19.0,24.0,84.9,0 (0)
Donovan Peoples-Jones,#19,WR,10.0,7.0,5.0,71.4,58,11.6,0.0,60.8,63.4,73.4,73.3,62.4,46.0,43.0,93.5,1.0,2.2,10.0,21.7,36.0,78.3,0.0,0.0,12.0,2.4,1.35,10.6,20.0,0.0,0.0,0.0,0.0,,1.0,0.0,2.0,3.0,56.5,1 (0)
Zonovan Knight,#28,HB,2.0,1.0,1.0,100.0,8,8.0,0.0,62.1,62.6,64.7,70.7,76.7,5.0,4.0,80.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,2.0,-5.0,8.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,100.0,0 (0)
Jameson Williams,#09,WR,15.0,51.0,30.0,58.8,433,14.4,3.0,62.9,61.8,41.3,28.6,61.8,342.0,332.0,97.1,1.0,0.3,121.0,35.4,221.0,64.6,0.0,0.0,106.0,3.5,1.3,16.4,63.0,5.0,14.3,12.0,7.0,58.3,2.0,1.0,5.0,19.0,89.7,0 (0)
David Montgomery,#05,HB,17.0,29.0,22.0,75.9,162,7.4,0.0,79.6,58.4,50.4,73.5,29.7,283.0,209.0,73.9,64.0,22.6,7.0,2.5,11.0,3.9,0.0,0.0,183.0,8.3,0.78,-0.5,19.0,2.0,8.3,2.0,0.0,0.0,1.0,0.0,6.0,11.0,74.2,2 (0)
Malcolm Rodriguez,#44,LB,4.0,1.0,1.0,100.0,6,6.0,0.0,59.7,57.4,64.7,65.3,82.0,10.0,5.0,50.0,3.0,30.0,1.0,10.0,1.0,10.0,1.0,10.0,0.0,0.0,1.2,6.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,91.7,0 (0)
