Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,BlockingTotalSnaps,BlockingTotalSnapsPercentage,RunBlockingSnaps,PassBlockingSnaps,OffenseOverallGrade,RunBlockingGrade,PassBlockingGrade,PressuresAllowedTotalSnaps,PressuresAllowedTotalSnapsPercentage,PressuresAllowedSacks,PressuresAllowedHits,PressuresAllowedHurries,PressuresAllowedTotal,PressuresAllowedEfficiency,Penalties,SnapsAtLeftTackle,SnapsAtLeftGuard,SnapsAtCenter,SnapsAtRightGuard,SnapsAtRightTackle,SnapsAtInlineTightEnd
Malcolm Rodriguez,#44,LB,7.0,23,16,69.6,13.0,3.0,59.7,59.5,82.0,3.0,37.5,0.0,0.0,0.0,0.0,100.0,0 (0),0,0.0,0,0.0,0,2.0
Taylor Decker,#68,T,18.0,"1,243","1,242",99.9,523.0,719.0,81.1,73.9,79.4,688.0,100.0,8.0,9.0,27.0,44.0,96.2,8 (0),"1,237",0.0,0,0.0,0,6.0
Penei Sewell,#58,T,20.0,"1,379","1,377",99.9,583.0,794.0,92.8,95.1,79.2,757.0,99.7,1.0,6.0,18.0,25.0,98.3,7 (1),142,0.0,0,0.0,"1,228",8.0
Zonovan Knight,#28,HB,2.0,9,1,11.1,0.0,1.0,62.1,-,76.7,1.0,20.0,0.0,0.0,0.0,0.0,100.0,0 (0),0,0.0,0,0.0,0,0.0
James Mitchell,#82,TE,14.0,158,103,65.2,89.0,14.0,41.2,46.0,74.4,14.0,21.5,0.0,0.0,0.0,0.0,100.0,1 (0),0,0.0,0,0.0,0,113.0
Anthony Firkser,#86,TE,4.0,31,19,61.3,17.0,2.0,57.8,64.8,72.7,2.0,15.4,0.0,0.0,0.0,0.0,100.0,0 (0),0,0.0,0,0.0,0,22.0
Marvin Jones Jr.,#00,WR,6.0,178,79,44.4,77.0,2.0,43.8,43.3,72.7,2.0,2.1,0.0,0.0,0.0,0.0,100.0,0 (0),0,0.0,0,0.0,0,0.0
Matt Nelson,#67,T,3.0,85,85,100.0,36.0,49.0,58.0,53.9,71.6,47.0,100.0,0.0,1.0,1.0,2.0,97.9,1 (0),0,0.0,0,0.0,84,1.0
Frank Ragnow,#77,C,18.0,"1,190","1,190",100.0,493.0,697.0,88.8,91.3,70.3,665.0,100.0,1.0,6.0,16.0,23.0,98.2,4 (0),0,0.0,"1,190",0.0,0,0.0
Halapoulivaati Vaitai,#72,G,3.0,192,192,100.0,70.0,122.0,68.3,64.6,68.4,115.0,100.0,1.0,0.0,2.0,3.0,98.3,0 (0),0,0.0,0,192.0,0,0.0
Brock Wright,#89,TE,16.0,478,319,66.7,263.0,56.0,48.0,45.9,64.0,51.0,24.8,0.0,0.0,3.0,3.0,97.1,0 (0),0,0.0,0,0.0,1,354.0
Will Harris,#25,CB,3.0,3,3,100.0,2.0,1.0,60.0,60.0,63.8,1.0,100.0,0.0,0.0,0.0,0.0,100.0,0 (0),0,0.0,0,0.0,0,0.0
Jack Fox,#03,P,3.0,3,3,100.0,2.0,1.0,59.7,60.0,63.8,1.0,100.0,0.0,0.0,0.0,0.0,100.0,0 (0),0,0.0,0,0.0,0,0.0
Jack Campbell,#46,LB,3.0,3,3,100.0,2.0,1.0,60.0,60.0,62.7,1.0,100.0,0.0,0.0,0.0,0.0,100.0,0 (0),0,0.0,0,0.0,0,0.0
Anthony Pittman,#57,ED,3.0,3,3,100.0,2.0,1.0,60.0,60.0,62.7,1.0,100.0,0.0,0.0,0.0,0.0,100.0,0 (0),0,0.0,0,0.0,0,0.0
Donovan Peoples-Jones,#19,WR,11.0,83,38,45.8,37.0,1.0,60.8,51.8,62.4,1.0,2.3,0.0,0.0,0.0,0.0,100.0,1 (0),0,0.0,0,0.0,0,0.0
Jameson Williams,#09,WR,15.0,577,232,40.2,231.0,1.0,62.9,47.8,61.8,1.0,0.3,0.0,0.0,0.0,0.0,100.0,0 (0),0,0.0,0,0.0,0,0.0
Josh Reynolds,#08,WR,20.0,"1,003",396,39.5,395.0,1.0,70.1,70.3,61.6,1.0,0.2,0.0,0.0,0.0,0.0,100.0,3 (1),0,0.0,0,0.0,0,0.0
Jake McQuaide,#43,LS,2.0,2,2,100.0,1.0,1.0,60.0,60.0,61.5,1.0,100.0,0.0,0.0,0.0,0.0,100.0,0 (0),0,0.0,0,0.0,0,0.0
