Player,JerseyNumber,Position,GamesPlayed,KickReturnsTotal,KickReturnsTotalGrade,KickoffReturnsTotal,KickoffReturnsTotalYards,KickoffReturnsTotalYards.1,KickoffReturnsLongestReturn,KickoffReturnsYardsPerAttempt,KickoffReturnsTouchdowns,KickoffReturnsFairCatches,KickoffReturnsMuffed,PuntReturnsTotal,PuntReturnsTotalReturns,PuntReturnsTotalYards,PuntReturnsTotalFairCatches,PuntReturnsTotalLongestReturn,PuntReturnsTotalYardsPerAttempt,PuntReturnsTotalTouchdowns,PuntReturnsTotalMuffed
Kalif Raymond,#11,WR,17.0,73.0,29.0,58.1,0.0,0.0,0.0,,0.0,1.0,0.0,78.4,29.0,331.0,23.0,42.0,11.4,0.0,1.0
Donovan Peoples-Jones,#19,WR,11.0,61.6,4.0,-,0.0,0.0,0.0,,0.0,0.0,0.0,62.1,4.0,32.0,0.0,10.0,8.0,0.0,0.0
Sam LaPorta,#87,TE,20.0,61.2,1.0,61.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,0.0
Amon-Ra St. Brown,#14,WR,19.0,61.2,0.0,61.2,0.0,0.0,0.0,,0.0,1.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,0.0
Malcolm Rodriguez,#44,LB,20.0,61.2,1.0,61.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,0.0
Mohamed Ibrahim,#35,HB,1.0,61.2,1.0,61.2,1.0,22.0,22.0,22.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,0.0
Khalil Dorsey,#30,CB,16.0,59.9,12.0,59.9,12.0,244.0,30.0,20.3,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,0.0
Zonovan Knight,#28,HB,2.0,57.9,1.0,58.1,1.0,22.0,22.0,22.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,0.0
Craig Reynolds,#13,HB,20.0,44.3,5.0,45.9,5.0,133.0,31.0,26.6,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,
