season,player,pfr_id,tm,age,pos,g,gs,att,yds,td,x1d,ybc,ybc_att,yac,yac_att,brk_tkl,att_br,loaded
2024,Jaylen Wright,WrigJa04,MIA,21.0,RB,6.0,1.0,36.0,190.0,0.0,7.0,108.0,3.0,82.0,2.3,2.0,18.0,2024-10-31
2024,Caleb Williams,WillCa03,CHI,23.0,QB,7.0,7.0,35.0,210.0,0.0,12.0,159.0,4.5,51.0,1.5,0.0,,2024-10-31
2024,Patrick Mahomes,MahoPa00,KC,29.0,QB,7.0,7.0,34.0,139.0,1.0,12.0,97.0,2.9,42.0,1.2,0.0,,2024-10-31
2024,Isiah Pacheco,PachIs00,KC,25.0,RB,2.0,2.0,34.0,135.0,1.0,6.0,82.0,2.4,53.0,1.6,0.0,,2024-10-31
2024,Miles Sanders,SandMi01,CAR,27.0,RB,8.0,1.0,34.0,139.0,1.0,9.0,82.0,2.4,57.0,1.7,2.0,17.0,2024-10-31
2024,Tyjae Spears,SpeaTy00,TEN,23.0,RB,5.0,0.0,33.0,114.0,1.0,8.0,39.0,1.2,75.0,2.3,3.0,11.0,2024-10-31
2024,Roschon Johnson,JohnRo07,CHI,23.0,RB,6.0,0.0,32.0,95.0,4.0,11.0,63.0,2.0,32.0,1.0,0.0,,2024-10-31
2024,Jamaal Williams,WillJa06,NO,29.0,RB,8.0,0.0,32.0,124.0,1.0,8.0,66.0,2.1,58.0,1.8,0.0,,2024-10-31
2024,Trey Benson,BensTr01,ARI,21.0,RB,7.0,1.0,31.0,117.0,0.0,7.0,68.0,2.2,49.0,1.6,2.0,15.5,2024-10-31
2024,Deshaun Watson,WatsDe00,CLE,29.0,QB,7.0,7.0,31.0,148.0,1.0,8.0,109.0,3.5,39.0,1.3,1.0,31.0,2024-10-31
2024,Geno Smith,SmitGe00,SEA,34.0,QB,8.0,8.0,30.0,177.0,1.0,11.0,164.0,5.5,13.0,0.4,0.0,,2024-10-31
2024,Baker Mayfield,MayfBa00,TB,29.0,QB,8.0,8.0,29.0,169.0,2.0,12.0,135.0,4.7,34.0,1.2,1.0,29.0,2024-10-31
2024,Nick Chubb,ChubNi00,CLE,29.0,RB,2.0,2.0,27.0,74.0,1.0,3.0,45.0,1.7,29.0,1.1,1.0,27.0,2024-10-31
2024,Sam Darnold,DarnSa00,MIN,27.0,QB,7.0,7.0,27.0,106.0,0.0,9.0,101.0,3.7,5.0,0.2,0.0,,2024-10-31
2024,Tyler Goodson,GoodTy00,IND,24.0,RB,7.0,0.0,27.0,128.0,1.0,4.0,82.0,3.0,46.0,1.7,0.0,,2024-10-31
2024,Justice Hill,HillJu00,BAL,27.0,RB,8.0,0.0,27.0,104.0,0.0,9.0,58.0,2.1,46.0,1.7,3.0,9.0,2024-10-31
2024,Kenneth Gainwell,GainKe00,PHI,25.0,RB,7.0,0.0,26.0,115.0,0.0,6.0,67.0,2.6,48.0,1.8,2.0,13.0,2024-10-31
2024,DErnest Johnson,JohnDE04,JAX,28.0,RB,8.0,1.0,26.0,108.0,0.0,6.0,54.0,2.1,54.0,2.1,0.0,,2024-10-31
2024,Jeremy McNichols,McNiJe00,WAS,29.0,RB,8.0,1.0,26.0,163.0,3.0,7.0,52.0,2.0,111.0,4.3,5.0,5.2,2024-10-31
2024,Joe Burrow,BurrJo01,CIN,28.0,QB,8.0,8.0,24.0,106.0,1.0,9.0,98.0,4.1,8.0,0.3,0.0,,2024-10-31
2024,Justin Herbert,HerbJu00,LAC,26.0,QB,7.0,7.0,24.0,83.0,0.0,3.0,58.0,2.4,25.0,1.0,1.0,24.0,2024-10-31
2024,Dare Ogunbowale,OgunDa00,HOU,30.0,RB,8.0,1.0,23.0,58.0,0.0,3.0,23.0,1.0,35.0,1.5,1.0,23.0,2024-10-31
2024,Deebo Samuel,SamuDe00,SF,28.0,WR,7.0,7.0,23.0,66.0,1.0,1.0,32.0,1.4,34.0,1.5,1.0,23.0,2024-10-31
2024,CJ Stroud,StroCJ00,HOU,23.0,QB,8.0,8.0,23.0,84.0,0.0,7.0,47.0,2.0,37.0,1.6,3.0,7.7,2024-10-31
2024,Sean Tucker,TuckSe00,TB,23.0,RB,8.0,0.0,23.0,175.0,1.0,8.0,129.0,5.6,46.0,2.0,0.0,,2024-10-31
2024,Blake Corum,CoruBl00,LA,24.0,RB,7.0,0.0,20.0,73.0,0.0,6.0,42.0,2.1,31.0,1.6,0.0,,2024-10-31
2024,Trevor Lawrence,LawrTr00,JAX,25.0,QB,8.0,8.0,20.0,105.0,1.0,11.0,76.0,3.8,29.0,1.5,2.0,10.0,2024-10-31
2024,Taysom Hill,HillTa00,NO,34.0,TE,4.0,4.0,18.0,97.0,2.0,9.0,44.0,2.4,53.0,2.9,1.0,18.0,2024-10-31
2024,Tyler Huntley,HuntTy01,MIA,26.0,QB,3.0,3.0,16.0,67.0,1.0,6.0,60.0,3.8,7.0,0.4,0.0,,2024-10-31
2024,Will Levis,LeviWi00,TEN,25.0,QB,5.0,5.0,16.0,106.0,0.0,9.0,69.0,4.3,37.0,2.3,2.0,8.0,2024-10-31
2024,Cordarrelle Patterson,PattCo00,PIT,33.0,RB,4.0,1.0,16.0,92.0,0.0,5.0,32.0,2.0,60.0,3.8,1.0,16.0,2024-10-31
2024,Malik Willis,WillMa12,GB,25.0,QB,4.0,2.0,16.0,137.0,1.0,6.0,91.0,5.7,46.0,2.9,3.0,5.3,2024-10-31
2024,Jacoby Brissett,BrisJa00,NE,32.0,QB,6.0,5.0,15.0,62.0,0.0,5.0,49.0,3.3,13.0,0.9,0.0,,2024-10-31
2024,Pierre Strong,StroPi00,CLE,26.0,RB,6.0,0.0,15.0,56.0,0.0,4.0,34.0,2.3,22.0,1.5,0.0,,2024-10-31
2024,Kirk Cousins,CousKi00,ATL,36.0,QB,8.0,8.0,14.0,8.0,0.0,1.0,3.0,0.2,5.0,0.4,0.0,,2024-10-31
2024,Jared Goff,GoffJa00,DET,30.0,QB,7.0,7.0,14.0,18.0,0.0,3.0,16.0,1.1,2.0,0.1,0.0,,2024-10-31
2024,Ty Johnson,JohnTy02,BUF,27.0,RB,8.0,1.0,14.0,76.0,1.0,5.0,45.0,3.2,31.0,2.2,0.0,,2024-10-31
2024,Gardner Minshew,MinsGa00,LV,28.0,QB,7.0,6.0,14.0,46.0,0.0,4.0,33.0,2.4,13.0,0.9,0.0,,2024-10-31
2024,Dameon Pierce,PierDa01,HOU,24.0,RB,4.0,0.0,14.0,98.0,1.0,2.0,22.0,1.6,76.0,5.4,3.0,4.7,2024-10-31
2024,Emari Demercado,DemeEm00,ARI,25.0,RB,8.0,0.0,13.0,116.0,0.0,5.0,53.0,4.1,63.0,4.8,2.0,6.5,2024-10-31
2024,Marcus Mariota,MariMa01,WAS,31.0,QB,2.0,0.0,13.0,36.0,0.0,3.0,30.0,2.3,6.0,0.5,0.0,,2024-10-31
2024,Drake Maye,MayeDr00,NE,22.0,QB,4.0,3.0,13.0,114.0,1.0,8.0,75.0,5.8,39.0,3.0,2.0,6.5,2024-10-31
2024,Samaje Perine,PeriSa00,KC,29.0,RB,7.0,0.0,13.0,45.0,1.0,4.0,20.0,1.5,25.0,1.9,0.0,,2024-10-31
2024,Kimani Vidal,VidaKi00,LAC,23.0,RB,3.0,0.0,13.0,37.0,0.0,2.0,21.0,1.6,16.0,1.2,0.0,,2024-10-31
2024,Ameer Abdullah,AbduAm00,LV,31.0,RB,8.0,0.0,12.0,69.0,1.0,2.0,55.0,4.6,14.0,1.2,0.0,,2024-10-31
2024,Eric Gray,GrayEr01,NYG,25.0,RB,8.0,0.0,12.0,26.0,0.0,1.0,15.0,1.3,11.0,0.9,0.0,,2024-10-31
2024,Tyler Badie,BadiTy00,DEN,24.0,RB,3.0,0.0,11.0,86.0,0.0,4.0,22.0,2.0,64.0,5.8,1.0,11.0,2024-10-31
2024,Chris Brooks,BrooCh00,GB,24.0,RB,6.0,0.0,11.0,40.0,0.0,3.0,15.0,1.4,25.0,2.3,0.0,,2024-10-31
2024,Julius Chestnut,ChesJu00,TEN,24.0,RB,7.0,0.0,11.0,49.0,0.0,1.0,20.0,1.8,29.0,2.6,2.0,5.5,2024-10-31
2024,Andy Dalton,DaltAn00,CAR,37.0,QB,6.0,5.0,11.0,34.0,0.0,2.0,15.0,1.4,19.0,1.7,1.0,11.0,2024-10-31
2024,Jayden Reed,ReedJa03,GB,24.0,WR,8.0,4.0,11.0,110.0,1.0,5.0,79.0,7.2,31.0,2.8,1.0,11.0,2024-10-31
2024,Aaron Rodgers,RodgAa00,NYJ,41.0,QB,8.0,8.0,11.0,44.0,0.0,3.0,43.0,3.9,1.0,0.1,1.0,11.0,2024-10-31
2024,Audric Estime,EstiAu00,DEN,21.0,RB,4.0,0.0,10.0,60.0,0.0,4.0,28.0,2.8,32.0,3.2,0.0,,2024-10-31
2024,JaMycal Hasty,HastJa02,NE,28.0,RB,8.0,0.0,10.0,32.0,0.0,0.0,17.0,1.7,15.0,1.5,0.0,,2024-10-31
2024,Jordan Love,LoveJo03,GB,26.0,QB,6.0,6.0,10.0,28.0,0.0,4.0,10.0,1.0,18.0,1.8,0.0,,2024-10-31
2024,Dak Prescott,PresDa01,DAL,31.0,QB,7.0,7.0,10.0,24.0,1.0,3.0,21.0,2.1,3.0,0.3,0.0,,2024-10-31
2024,Ronnie Rivers,RiveRo01,LA,25.0,RB,7.0,0.0,10.0,51.0,0.0,5.0,35.0,3.5,16.0,1.6,0.0,,2024-10-31
2024,Will Shipley,ShipWi00,PHI,22.0,RB,7.0,1.0,10.0,12.0,0.0,,-11.0,-1.1,23.0,2.3,0.0,,2024-10-31
2024,Alec Ingold,IngoAl01,MIA,28.0,FB,7.0,4.0,9.0,13.0,1.0,5.0,1.0,0.1,12.0,1.3,0.0,,2024-10-31
2024,Kendre Miller,MillKe01,NO,22.0,RB,2.0,0.0,9.0,52.0,0.0,2.0,16.0,1.8,36.0,4.0,2.0,4.5,2024-10-31
2024,Spencer Rattler,RattSp00,NO,24.0,QB,3.0,3.0,9.0,61.0,0.0,3.0,17.0,1.9,44.0,4.9,0.0,,2024-10-31
2024,Craig Reynolds,ReynCr00,DET,28.0,RB,7.0,0.0,9.0,24.0,0.0,1.0,16.0,1.8,8.0,0.9,1.0,9.0,2024-10-31
2024,Mason Rudolph,RudoMa00,TEN,29.0,QB,3.0,2.0,9.0,42.0,1.0,4.0,39.0,4.3,3.0,0.3,0.0,,2024-10-31
2024,Bryce Young,YounBr01,CAR,23.0,QB,5.0,3.0,9.0,32.0,1.0,1.0,32.0,3.6,0.0,0.0,0.0,,2024-10-31
2024,Derek Carr,CarrDe02,NO,33.0,QB,5.0,5.0,8.0,22.0,1.0,2.0,19.0,2.4,3.0,0.4,0.0,,2024-10-31
2024,Hassan Haskins,HaskHa00,LAC,25.0,RB,7.0,0.0,8.0,18.0,0.0,4.0,5.0,0.6,13.0,1.6,0.0,,2024-10-31
2024,Khalil Herbert,HerbKh00,CHI,26.0,RB,6.0,0.0,8.0,16.0,1.0,3.0,6.0,0.8,10.0,1.3,0.0,,2024-10-31
2024,CeeDee Lamb,LambCe00,DAL,25.0,WR,7.0,7.0,8.0,37.0,0.0,2.0,22.0,2.8,15.0,1.9,0.0,,2024-10-31
2024,Jeff Wilson,WilsJe01,MIA,29.0,RB,4.0,0.0,8.0,40.0,0.0,1.0,17.0,2.1,23.0,2.9,0.0,,2024-10-31
2024,Jake Haener,HaenJa00,NO,25.0,QB,5.0,0.0,7.0,18.0,0.0,0.0,18.0,2.6,0.0,0.0,0.0,,2024-10-31
2024,JJ Taylor,TaylJJ01,HOU,26.0,RB,3.0,0.0,7.0,21.0,0.0,,16.0,2.3,5.0,0.7,0.0,,2024-10-31
2024,Patrick Taylor,TaylPa01,SF,26.0,RB,8.0,0.0,7.0,25.0,0.0,1.0,14.0,2.0,11.0,1.6,0.0,,2024-10-31
