season,player,pfr_id,tm,age,pos,g,gs,tgt,rec,yds,td,x1d,ybc,ybc_r,yac,yac_r,adot,brk_tkl,rec_br,drop,drop_percent,int,rat,loaded
2024,Brock Bowers,BoweBr01,LV,22.0,TE,8.0,7.0,65.0,52.0,535.0,1.0,26.0,255.0,4.9,280.0,5.4,5.7,4.0,13.0,1.0,0.015,4.0,80.4,2024-10-31
2024,Garrett Wilson,WilsGa00,NYJ,24.0,WR,8.0,8.0,84.0,51.0,573.0,3.0,31.0,346.0,6.8,227.0,4.5,9.6,3.0,17.0,4.0,0.048,4.0,73.2,2024-10-31
2024,Chris Godwin,GodwCh00,TB,28.0,WR,7.0,7.0,62.0,50.0,576.0,5.0,33.0,226.0,4.5,350.0,7.0,5.7,4.0,12.5,2.0,0.032,1.0,125.5,2024-10-31
2024,JaMarr Chase,ChasJa00,CIN,24.0,WR,8.0,8.0,59.0,48.0,674.0,7.0,30.0,372.0,7.8,302.0,6.3,9.0,6.0,8.0,2.0,0.034,3.0,132.6,2024-10-31
2024,Drake London,LondDr00,ATL,23.0,WR,8.0,8.0,68.0,48.0,525.0,5.0,28.0,382.0,8.0,143.0,3.0,9.9,2.0,24.0,3.0,0.044000000000000004,2.0,105.3,2024-10-31
2024,WanDale Robinson,RobiWa01,NYG,23.0,WR,8.0,3.0,72.0,48.0,333.0,2.0,16.0,145.0,3.0,188.0,3.9,4.0,4.0,12.0,3.0,0.042,1.0,80.4,2024-10-31
2024,Stefon Diggs,DiggSt00,HOU,31.0,WR,8.0,8.0,64.0,47.0,496.0,3.0,31.0,311.0,6.6,185.0,3.9,8.7,3.0,15.7,3.0,0.047,1.0,104.7,2024-10-31
2024,Malik Nabers,NabeMa00,NYG,21.0,WR,6.0,5.0,73.0,46.0,498.0,3.0,27.0,319.0,6.9,179.0,3.9,10.5,2.0,23.0,5.0,0.068,0.0,96.7,2024-10-31
2024,CeeDee Lamb,LambCe00,DAL,25.0,WR,7.0,7.0,72.0,45.0,613.0,4.0,25.0,351.0,7.8,262.0,5.8,9.1,6.0,7.5,2.0,0.027999999999999997,4.0,85.0,2024-10-31
2024,Jaxon Smith-Njigba,SmitJa06,SEA,22.0,WR,8.0,8.0,62.0,43.0,388.0,1.0,23.0,193.0,4.5,195.0,4.5,7.6,1.0,43.0,3.0,0.048,1.0,84.6,2024-10-31
2024,Trey McBride,McBrTr01,ARI,25.0,TE,7.0,7.0,56.0,42.0,446.0,0.0,21.0,282.0,6.7,164.0,3.9,7.5,1.0,42.0,1.0,0.018000000000000002,0.0,97.8,2024-10-31
2024,Zay Flowers,FlowZa00,BAL,24.0,WR,8.0,6.0,61.0,41.0,527.0,1.0,26.0,273.0,6.7,254.0,6.2,8.5,3.0,13.7,2.0,0.033,0.0,99.6,2024-10-31
2024,Justin Jefferson,JeffJu00,MIN,25.0,WR,7.0,7.0,60.0,41.0,646.0,5.0,28.0,468.0,11.4,178.0,4.3,12.4,0.0,,3.0,0.05,0.0,131.7,2024-10-31
2024,Amon-Ra St Brown,StxxAm00,DET,25.0,WR,7.0,7.0,52.0,41.0,408.0,5.0,27.0,297.0,7.2,111.0,2.7,7.8,1.0,41.0,2.0,0.038,1.0,123.4,2024-10-31
2024,Alvin Kamara,KamaAl00,NO,29.0,RB,8.0,8.0,54.0,40.0,307.0,1.0,9.0,8.0,0.2,299.0,7.5,0.4,1.0,40.0,5.0,0.09300000000000001,0.0,93.7,2024-10-31
2024,George Kittle,KittGe00,SF,31.0,TE,7.0,7.0,49.0,40.0,503.0,6.0,24.0,309.0,7.7,194.0,4.9,8.2,1.0,40.0,1.0,0.02,2.0,132.0,2024-10-31
2024,Terry McLaurin,McLaTe00,WAS,29.0,WR,8.0,8.0,57.0,40.0,579.0,4.0,29.0,463.0,11.6,116.0,2.9,15.2,1.0,40.0,1.0,0.018000000000000002,1.0,119.0,2024-10-31
2024,Travis Kelce,KelcTr00,KC,35.0,TE,7.0,7.0,48.0,38.0,335.0,1.0,18.0,207.0,5.4,128.0,3.4,6.7,1.0,38.0,2.0,0.042,3.0,76.6,2024-10-31
2024,Darnell Mooney,MoonDa00,ATL,27.0,WR,8.0,8.0,59.0,36.0,500.0,4.0,26.0,347.0,9.6,153.0,4.3,11.6,4.0,9.0,6.0,0.102,1.0,103.8,2024-10-31
2024,Cade Otton,OttoCa00,TB,25.0,TE,8.0,8.0,51.0,36.0,344.0,3.0,19.0,177.0,4.9,167.0,4.6,5.2,3.0,12.0,3.0,0.059000000000000004,1.0,100.4,2024-10-31
2024,Khalil Shakir,ShakKh00,BUF,24.0,WR,7.0,5.0,38.0,36.0,421.0,2.0,16.0,121.0,3.4,300.0,8.3,3.3,3.0,12.0,0.0,0.0,0.0,130.4,2024-10-31
2024,DK Metcalf,MetcDK00,SEA,27.0,WR,7.0,6.0,61.0,35.0,568.0,3.0,19.0,375.0,10.7,193.0,5.5,13.5,1.0,35.0,4.0,0.066,1.0,98.3,2024-10-31
2024,George Pickens,PickGe00,PIT,23.0,WR,8.0,7.0,58.0,35.0,548.0,1.0,22.0,441.0,12.6,107.0,3.1,12.8,1.0,35.0,4.0,0.069,0.0,97.5,2024-10-31
2024,Breece Hall,HallBr03,NYJ,23.0,RB,8.0,8.0,46.0,33.0,316.0,1.0,9.0,29.0,0.9,287.0,8.7,1.3,3.0,11.0,5.0,0.109,0.0,97.7,2024-10-31
2024,DJ Moore,MoorD.00,CHI,27.0,WR,7.0,7.0,51.0,33.0,341.0,3.0,14.0,196.0,5.9,145.0,4.4,9.5,2.0,16.5,0.0,0.0,2.0,87.1,2024-10-31
2024,Brian Thomas,ThomBr06,JAX,22.0,WR,8.0,7.0,49.0,33.0,573.0,5.0,24.0,360.0,10.9,213.0,6.5,12.6,0.0,,3.0,0.061,2.0,123.9,2024-10-31
2024,Nico Collins,CollNi00,HOU,25.0,WR,5.0,5.0,45.0,32.0,567.0,3.0,27.0,372.0,11.6,195.0,6.1,12.0,2.0,16.0,1.0,0.022000000000000002,1.0,126.4,2024-10-31
2024,Josh Downs,DownJo00,IND,23.0,WR,6.0,2.0,47.0,32.0,351.0,3.0,18.0,187.0,5.8,164.0,5.1,6.5,0.0,,2.0,0.043,1.0,102.3,2024-10-31
2024,Zach Ertz,ErtzZa00,WAS,34.0,TE,8.0,8.0,45.0,32.0,345.0,1.0,19.0,269.0,8.4,76.0,2.4,8.6,0.0,,2.0,0.044000000000000004,1.0,91.4,2024-10-31
2024,Hunter Henry,HenrHu00,NE,30.0,TE,8.0,8.0,45.0,32.0,358.0,1.0,21.0,219.0,6.8,139.0,4.3,7.4,1.0,32.0,2.0,0.044000000000000004,0.0,101.9,2024-10-31
2024,Jake Ferguson,FergJa00,DAL,25.0,TE,6.0,6.0,42.0,31.0,263.0,0.0,10.0,111.0,3.6,152.0,4.9,5.0,2.0,15.5,1.0,0.024,0.0,89.7,2024-10-31
2024,Tyler Lockett,LockTy00,SEA,32.0,WR,8.0,7.0,49.0,31.0,393.0,1.0,25.0,313.0,10.1,80.0,2.6,10.0,1.0,31.0,4.0,0.08199999999999999,3.0,69.5,2024-10-31
2024,Jakobi Meyers,MeyeJa01,LV,28.0,WR,6.0,6.0,43.0,31.0,325.0,2.0,19.0,235.0,7.6,90.0,2.9,8.0,2.0,15.5,1.0,0.023,0.0,109.2,2024-10-31
2024,Chris Olave,OlavCh00,NO,24.0,WR,7.0,7.0,43.0,31.0,387.0,1.0,21.0,275.0,8.9,112.0,3.6,10.5,1.0,31.0,2.0,0.047,2.0,88.0,2024-10-31
2024,Jayden Reed,ReedJa03,GB,24.0,WR,8.0,4.0,41.0,31.0,507.0,3.0,15.0,246.0,7.9,261.0,8.4,7.8,2.0,15.5,6.0,0.146,0.0,141.0,2024-10-31
2024,Bijan Robinson,RobiBi01,ATL,22.0,RB,8.0,8.0,35.0,31.0,244.0,1.0,11.0,-81.0,-2.6,325.0,10.5,-2.1,3.0,10.3,1.0,0.028999999999999998,0.0,105.2,2024-10-31
2024,DeVonta Smith,SmitDe07,PHI,26.0,WR,6.0,6.0,41.0,31.0,386.0,3.0,19.0,235.0,7.6,151.0,4.9,9.8,0.0,,0.0,0.0,3.0,98.2,2024-10-31
2024,Tyreek Hill,HillTy00,MIA,30.0,WR,7.0,7.0,51.0,30.0,366.0,1.0,15.0,204.0,6.8,162.0,5.4,12.4,1.0,30.0,1.0,0.02,0.0,87.5,2024-10-31
2024,Diontae Johnson,JohnDi01,CAR,28.0,WR,7.0,7.0,58.0,30.0,357.0,3.0,20.0,271.0,9.0,86.0,2.9,9.8,1.0,30.0,2.0,0.034,5.0,52.2,2024-10-31
2024,Allen Lazard,LazaAl00,NYJ,29.0,WR,7.0,7.0,44.0,30.0,412.0,5.0,23.0,291.0,9.7,121.0,4.0,10.3,0.0,,3.0,0.068,1.0,126.3,2024-10-31
2024,Ladd McConkey,McCoLa00,LAC,23.0,WR,7.0,6.0,45.0,30.0,376.0,4.0,19.0,217.0,7.2,159.0,5.3,8.9,5.0,6.0,2.0,0.044000000000000004,1.0,112.8,2024-10-31
2024,Elijah Moore,MoorEl00,CLE,24.0,WR,8.0,5.0,41.0,30.0,221.0,0.0,10.0,152.0,5.1,69.0,2.3,5.6,1.0,30.0,2.0,0.049,2.0,65.2,2024-10-31
2024,DeVon Achane,AchaDe00,MIA,23.0,RB,7.0,6.0,34.0,29.0,244.0,2.0,11.0,-23.0,-0.8,267.0,9.2,-0.9,1.0,29.0,1.0,0.028999999999999998,0.0,116.2,2024-10-31
2024,Amari Cooper,CoopAm00,2TM,30.0,,8.0,7.0,60.0,29.0,319.0,3.0,15.0,247.0,8.5,72.0,2.5,11.7,1.0,29.0,11.0,0.183,2.0,67.3,2024-10-31
2024,Tee Higgins,HiggTe00,CIN,25.0,WR,5.0,3.0,45.0,29.0,341.0,3.0,21.0,229.0,7.9,112.0,3.9,10.2,3.0,9.7,0.0,0.0,0.0,109.6,2024-10-31
2024,Ray-Ray McCloud,McClRa00,ATL,28.0,WR,8.0,7.0,42.0,29.0,277.0,0.0,12.0,157.0,5.4,120.0,4.1,7.1,0.0,,0.0,0.0,2.0,67.3,2024-10-31
2024,Michael Pittman,PittMi01,IND,27.0,WR,8.0,7.0,53.0,29.0,352.0,2.0,15.0,247.0,8.5,105.0,3.6,11.8,2.0,14.5,0.0,0.0,3.0,64.3,2024-10-31
2024,Kyle Pitts,PittKy00,ATL,24.0,TE,8.0,8.0,42.0,29.0,419.0,3.0,15.0,218.0,7.5,201.0,6.9,7.8,2.0,14.5,2.0,0.048,2.0,105.2,2024-10-31
2024,Darius Slayton,SlayDa01,NYG,27.0,WR,8.0,6.0,47.0,29.0,420.0,1.0,23.0,345.0,11.9,75.0,2.6,12.6,3.0,9.7,4.0,0.085,1.0,89.0,2024-10-31
2024,Courtland Sutton,SuttCo00,DEN,29.0,WR,8.0,6.0,58.0,29.0,377.0,2.0,20.0,305.0,10.5,72.0,2.5,13.5,1.0,29.0,2.0,0.034,3.0,60.8,2024-10-31
2024,Demario Douglas,DougDe00,NE,24.0,WR,8.0,2.0,39.0,28.0,271.0,1.0,13.0,132.0,4.7,139.0,5.0,6.8,1.0,28.0,3.0,0.077,1.0,88.7,2024-10-31
2024,Dalton Kincaid,KincDa00,BUF,25.0,TE,8.0,5.0,44.0,28.0,300.0,2.0,16.0,119.0,4.3,181.0,6.5,7.7,2.0,14.0,4.0,0.091,0.0,98.7,2024-10-31
2024,Rachaad White,WhitRa01,TB,25.0,RB,7.0,7.0,31.0,28.0,236.0,3.0,9.0,-76.0,-2.7,312.0,11.1,-2.1,3.0,9.3,0.0,0.0,0.0,130.6,2024-10-31
2024,Noah Fant,FantNo00,SEA,27.0,TE,8.0,5.0,32.0,27.0,285.0,0.0,15.0,146.0,5.4,139.0,5.1,5.0,2.0,13.5,1.0,0.031,0.0,103.8,2024-10-31
2024,Christian Kirk,KirkCh01,JAX,28.0,WR,8.0,7.0,47.0,27.0,379.0,1.0,18.0,266.0,9.9,113.0,4.2,13.7,1.0,27.0,1.0,0.021,2.0,72.9,2024-10-31
2024,Cole Kmet,KmetCo00,CHI,25.0,TE,7.0,6.0,30.0,27.0,303.0,3.0,16.0,180.0,6.7,123.0,4.6,7.7,1.0,27.0,0.0,0.0,1.0,128.2,2024-10-31
2024,Jalen Tolbert,TolbJa00,DAL,25.0,WR,7.0,7.0,37.0,27.0,334.0,2.0,15.0,275.0,10.2,59.0,2.2,12.9,0.0,,0.0,0.0,1.0,107.3,2024-10-31
2024,Kenneth Walker,WalkKe00,SEA,24.0,RB,6.0,6.0,31.0,27.0,193.0,1.0,14.0,-10.0,-0.4,203.0,7.5,-0.4,1.0,27.0,2.0,0.065,1.0,89.9,2024-10-31
2024,Javonte Williams,WillJa10,DEN,24.0,RB,8.0,8.0,34.0,27.0,174.0,0.0,6.0,-12.0,-0.4,186.0,6.9,0.6,3.0,9.0,1.0,0.028999999999999998,0.0,88.0,2024-10-31
2024,Michael Wilson,WilsMi02,ARI,24.0,WR,8.0,6.0,39.0,27.0,283.0,3.0,14.0,225.0,8.3,58.0,2.1,10.6,1.0,27.0,2.0,0.051,0.0,115.7,2024-10-31
2024,Tyler Conklin,ConkTy00,NYJ,29.0,TE,8.0,8.0,38.0,26.0,240.0,2.0,12.0,111.0,4.3,129.0,5.0,5.2,0.0,,1.0,0.026000000000000002,0.0,103.0,2024-10-31
2024,Will Dissly,DissWi00,LAC,28.0,TE,7.0,5.0,33.0,26.0,233.0,0.0,12.0,65.0,2.5,168.0,6.5,3.8,3.0,8.7,3.0,0.091,0.0,96.1,2024-10-31
2024,Romeo Doubs,DoubRo00,GB,24.0,WR,7.0,6.0,40.0,26.0,384.0,2.0,21.0,318.0,12.2,66.0,2.5,13.5,2.0,13.0,3.0,0.075,2.0,92.1,2024-10-31
2024,Mike Evans,EvanMi00,TB,31.0,WR,7.0,7.0,45.0,26.0,335.0,6.0,21.0,257.0,9.9,78.0,3.0,10.8,1.0,26.0,2.0,0.044000000000000004,3.0,93.1,2024-10-31
2024,Pat Freiermuth,FreiPa00,PIT,26.0,TE,8.0,6.0,31.0,26.0,264.0,2.0,13.0,131.0,5.0,133.0,5.1,5.2,3.0,8.7,1.0,0.032,0.0,123.7,2024-10-31
2024,Marvin Harrison,HarrMa09,ARI,22.0,WR,8.0,8.0,50.0,26.0,411.0,5.0,21.0,363.0,14.0,48.0,1.8,14.2,0.0,,4.0,0.08,1.0,104.7,2024-10-31
2024,Jerry Jeudy,JeudJe00,CLE,25.0,WR,8.0,7.0,50.0,26.0,345.0,1.0,17.0,284.0,10.9,61.0,2.3,13.0,0.0,,4.0,0.08,1.0,72.5,2024-10-31
2024,Jaylen Waddle,WaddJa00,MIA,26.0,WR,7.0,7.0,36.0,26.0,314.0,0.0,14.0,192.0,7.4,122.0,4.7,8.2,0.0,,5.0,0.139,0.0,98.6,2024-10-31
2024,Davante Adams,AdamDa01,2TM,32.0,,5.0,5.0,42.0,25.0,293.0,1.0,14.0,219.0,8.8,74.0,3.0,8.5,0.0,,1.0,0.024,1.0,78.8,2024-10-31
2024,Brandon Aiyuk,AiyuBr00,SF,26.0,WR,7.0,7.0,47.0,25.0,374.0,0.0,19.0,267.0,10.7,107.0,4.3,11.9,2.0,12.5,4.0,0.085,2.0,61.8,2024-10-31
2024,Mike Gesicki,GesiMi00,CIN,29.0,TE,8.0,2.0,30.0,25.0,253.0,0.0,15.0,169.0,6.8,84.0,3.4,7.5,0.0,,1.0,0.033,0.0,101.8,2024-10-31
2024,Jauan Jennings,JennJa00,SF,27.0,WR,6.0,2.0,36.0,25.0,404.0,3.0,18.0,326.0,13.0,78.0,3.1,11.3,2.0,12.5,2.0,0.055999999999999994,0.0,134.5,2024-10-31
2024,David Njoku,NjokDa00,CLE,28.0,TE,5.0,5.0,36.0,25.0,226.0,2.0,10.0,118.0,4.7,108.0,4.3,5.0,1.0,25.0,3.0,0.083,0.0,104.6,2024-10-31
2024,Jonnu Smith,SmitJo01,MIA,29.0,TE,7.0,1.0,34.0,25.0,256.0,1.0,17.0,134.0,5.4,122.0,4.9,6.2,1.0,25.0,4.0,0.11800000000000001,0.0,104.5,2024-10-31
2024,Tutu Atwell,AtweTu00,LA,25.0,WR,7.0,4.0,36.0,24.0,350.0,0.0,16.0,255.0,10.6,95.0,4.0,10.6,0.0,,2.0,0.055999999999999994,2.0,75.0,2024-10-31
2024,Tank Dell,DellNa00,HOU,25.0,WR,7.0,4.0,38.0,24.0,229.0,2.0,13.0,159.0,6.6,70.0,2.9,9.5,2.0,12.0,3.0,0.079,1.0,86.4,2024-10-31
2024,Dallas Goedert,GoedDa00,PHI,29.0,TE,5.0,5.0,29.0,24.0,301.0,0.0,8.0,134.0,5.6,167.0,7.0,6.3,1.0,24.0,1.0,0.034,0.0,109.9,2024-10-31
2024,Chuba Hubbard,HubbCh01,CAR,25.0,RB,8.0,8.0,26.0,24.0,108.0,1.0,6.0,-31.0,-1.3,139.0,5.8,-1.3,5.0,4.8,0.0,0.0,0.0,96.8,2024-10-31
