Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles
Nate Hobbs,#39,CB,4.0,26.0,0.0,10.0,0.0,0.0,16.0,0.0,50.0,-,-,-,0 (0),0.0,0.0,1.0
Chris Smith II,#29,S,12.0,191.0,53.0,57.0,42.0,5.0,34.0,0.0,48.2,-,-,-,0 (0),1.0,0.0,1.0
Isaiah Pola-Mao,#20,S,16.0,304.0,75.0,74.0,57.0,66.0,32.0,0.0,48.2,-,-,-,0 (0),2.0,0.0,4.0
Janarius Robinson,#97,ED,6.0,33.0,0.0,1.0,15.0,0.0,17.0,0.0,47.4,-,-,-,1 (1),0.0,0.0,0.0
Tre Tucker,#11,WR,14.0,61.0,0.0,55.0,2.0,4.0,0.0,0.0,46.3,-,-,-,0 (0),1.0,1.0,2.0
Ameer Abdullah,#22,HB,17.0,256.0,80.0,78.0,26.0,72.0,0.0,0.0,44.9,57.8,-,-,1 (0),10.0,2.0,3.0
Tyler Hall,#37,CB,11.0,82.0,0.0,33.0,45.0,1.0,3.0,0.0,43.2,-,-,-,0 (0),0.0,0.0,1.0
Amari Burney,#56,LB,7.0,76.0,24.0,40.0,12.0,0.0,0.0,0.0,41.7,-,-,-,0 (0),1.0,0.0,0.0
Jack Jones,#18,CB,2.0,10.0,0.0,0.0,4.0,0.0,6.0,0.0,40.5,-,-,-,1 (0),0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,
