Player,JerseyNumber,Position,GamesPlayed,PassRushSnaps,PassRushTotalSnaps,PassRushSnapsPercentage,PassRushGrade,PassRushPenalties,PassRushTotalPressures,PassRushSacks,PassRushHits,PassRushHurries,PassRushPressureRate,PassRushWinPercentage,PassRushBattedPasses,TruePassSetSnaps,TruePassSetTotalSnaps,TruePassSetSnapsPercentage,TruePassSetGrade,TruePassSetTotalPressures,TruePassSetSacks,TruePassSetHits,TruePassSetHurries,TruePassSetPressureRate,TruePassSetWinPercentage,TruePassSetBattedPasses
Robert Spillane,#41,LB,17.0,661.0,55.0,8.3,87.7,2 (1),19.0,4.0,2.0,13.0,22.1,19.2,0.0,292.0,34.0,11.6,86.7,12.0,2.0,0.0,10.0,21.9,28.1,0.0
Maxx Crosby,#98,ED,17.0,657.0,657.0,100.0,84.3,5 (0),94.0,15.0,15.0,64.0,8.6,15.5,2.0,291.0,291.0,100.0,85.7,59.0,11.0,8.0,40.0,12.7,19.6,0.0
Malcolm Koonce,#51,ED,17.0,353.0,344.0,97.5,78.9,1 (1),52.0,8.0,10.0,34.0,9.1,14.2,0.0,180.0,177.0,98.3,78.0,37.0,6.0,8.0,23.0,12.8,18.5,0.0
Amik Robertson,#21,CB,14.0,423.0,4.0,0.9,74.7,5 (1),1.0,1.0,0.0,0.0,25.0,0.0,0.0,205.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,,0.0
Adam Butler,#69,DI,17.0,377.0,362.0,96.0,70.2,0 (0),28.0,6.0,5.0,17.0,4.9,9.2,3.0,196.0,188.0,95.9,71.5,20.0,6.0,3.0,11.0,7.3,12.4,3.0
Isaiah Pola-Mao,#20,S,9.0,66.0,1.0,1.5,69.1,0 (0),1.0,1.0,0.0,0.0,,,0.0,16.0,1.0,6.3,59.4,0.0,0.0,0.0,0.0,,,0.0
Jerry Tillery,#90,DI,17.0,283.0,283.0,100.0,67.5,2 (0),29.0,2.0,4.0,23.0,5.7,9.9,0.0,121.0,121.0,100.0,75.1,21.0,1.0,3.0,17.0,9.5,17.2,0.0
John Jenkins,#95,DI,17.0,272.0,272.0,100.0,66.7,0 (0),15.0,1.0,1.0,13.0,3.0,6.8,2.0,73.0,73.0,100.0,72.0,9.0,0.0,0.0,9.0,6.4,15.7,0.0
Tre'von Moehrig,#25,S,17.0,666.0,10.0,1.5,64.7,2 (2),3.0,1.0,0.0,2.0,20.0,0.0,0.0,293.0,1.0,0.3,80.8,1.0,1.0,0.0,0.0,100.0,0.0,0.0
Matthew Butler,#94,DI,2.0,7.0,7.0,100.0,63.0,0 (0),0.0,0.0,0.0,0.0,0.0,14.3,0.0,3.0,3.0,100.0,67.1,0.0,0.0,0.0,0.0,0.0,33.3,0.0
Divine Deablo,#05,LB,15.0,473.0,40.0,8.5,62.3,2 (1),8.0,1.0,1.0,6.0,12.9,14.3,0.0,201.0,15.0,7.5,62.6,7.0,0.0,1.0,6.0,29.2,25.0,0.0
Marcus Epps,#01,S,17.0,626.0,12.0,1.9,57.5,0 (0),0.0,0.0,0.0,0.0,0.0,10.0,0.0,284.0,2.0,0.7,55.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malik Reed,#52,ED,4.0,32.0,11.0,34.4,57.5,0 (0),0.0,0.0,0.0,0.0,0.0,9.1,0.0,11.0,6.0,54.5,60.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0
Janarius Robinson,#97,ED,6.0,47.0,44.0,93.6,56.6,3 (1),4.0,1.0,1.0,2.0,6.0,9.5,0.0,25.0,24.0,96.0,53.6,2.0,0.0,1.0,1.0,4.5,9.1,0.0
Bilal Nichols,#91,DI,17.0,323.0,322.0,99.7,54.7,1 (1),19.0,2.0,0.0,17.0,3.4,4.8,0.0,125.0,125.0,100.0,61.7,16.0,2.0,0.0,14.0,7.6,9.2,0.0
Luke Masterson,#59,LB,13.0,95.0,4.0,4.2,54.1,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,3.1,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
