OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Rank,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Player,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_JerseyNumber,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Position,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_GamesPlayed,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_OffenseTotalSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_BlockingTotalSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_BlockingTotalSnapsPercentage,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_RunBlockingSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PassBlockingSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_OffenseOverallGrade,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_RunBlockingGrade,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PassBlockingGrade,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedTotalSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedTotalSnapsPercentage,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedSacks,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedHits,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedHurries,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedTotal,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedEfficiency,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Penalties,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtLeftTackle,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtLeftGuard,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtCenter,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtRightGuard,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtRightTackle,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtInlineTightEnd
1.0,Max Scharping,#74,C,2.0,13,13,100.0,8.0,5.0,78.1,78.2,77.9,5.0,100.0,0.0,0.0,0.0,0.0,100.0,0 (0),0,0,12,0,0,1.0
2.0,Trayveon Williams,#32,HB,17.0,156,43,27.6,16.0,27.0,58.9,52.5,75.1,23.0,19.3,1.0,1.0,1.0,3.0,91.3,0 (0),0,0,0,0,0,7.0
3.0,Mitchell Wilcox,#84,TE,17.0,229,158,69.0,139.0,19.0,46.7,45.8,74.0,19.0,21.6,0.0,1.0,0.0,1.0,97.4,1 (0),0,0,0,0,0,199.0
4.0,Ted Karras,#64,C,17.0,"1,075","1,075",100.0,350.0,725.0,67.4,64.2,69.6,689.0,100.0,6.0,3.0,12.0,21.0,98.0,1 (0),0,0,"1,075",0,0,0.0
5.0,Drew Sample,#89,TE,17.0,496,301,60.7,217.0,84.0,60.0,61.5,68.1,78.0,29.1,0.0,3.0,1.0,4.0,97.4,0 (0),1,0,0,0,1,364.0
6.0,Orlando Brown Jr.,#75,T,17.0,"1,058","1,058",100.0,344.0,714.0,66.1,57.1,66.6,678.0,100.0,7.0,7.0,45.0,59.0,95.1,3 (0),"1,056",0,0,0,0,2.0
7.0,Tyler Boyd,#83,WR,17.0,824,212,25.7,211.0,1.0,59.5,30.4,66.2,1.0,0.2,0.0,0.0,0.0,0.0,100.0,2 (0),0,0,0,0,0,0.0
8.0,Tee Higgins,#05,WR,12.0,573,155,27.1,154.0,1.0,72.1,66.8,65.7,1.0,0.3,0.0,0.0,0.0,0.0,100.0,3 (1),0,0,0,0,0,5.0
9.0,Shedrick Jackson,#12,WR,1.0,5,3,60.0,2.0,1.0,60.7,59.4,65.4,1.0,33.3,0.0,0.0,0.0,0.0,100.0,0 (0),0,0,0,0,0,0.0
10.0,Jake Browning,#06,QB,9.0,468,157,33.5,156.0,1.0,79.3,60.0,60.9,1.0,0.3,0.0,0.0,0.0,0.0,100.0,8 (0),0,0,0,0,0,0.0
11.0,Trenton Irwin,#16,WR,16.0,429,152,35.4,150.0,2.0,57.0,31.0,59.1,2.0,0.8,0.0,0.0,0.0,0.0,100.0,0 (0),0,0,0,0,0,18.0
12.0,Alex Cappa,#65,G,17.0,"1,066","1,066",100.0,350.0,716.0,64.9,67.3,58.6,681.0,100.0,4.0,7.0,24.0,35.0,97.1,4 (0),0,0,0,"1,066",0,0.0
13.0,Jonah Williams,#73,T,17.0,"1,087","1,087",100.0,357.0,730.0,58.5,54.0,57.9,694.0,100.0,8.0,10.0,23.0,41.0,96.5,5 (2),0,0,0,0,"1,086",1.0
14.0,Irv Smith Jr.,#81,TE,12.0,330,93,28.2,87.0,6.0,44.2,53.8,53.6,6.0,2.6,0.0,0.0,1.0,1.0,91.7,1 (0),0,0,0,0,0,177.0
15.0,Tanner Hudson,#87,TE,12.0,276,36,13.0,34.0,2.0,73.0,74.5,52.2,2.0,0.9,0.0,0.0,0.0,0.0,100.0,1 (0),0,0,0,0,0,86.0
