SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_Rank,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_Player,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_JerseyNumber,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_Position,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_GamesPlayed,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsTotalSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsKickReturnSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsKickCoverageSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPuntReturnSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPuntCoverageSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsFieldGoalBlockSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsFieldGoalKickSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsOverallGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsKickoffGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPuntGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsFieldGoalGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPenalties,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsTackles,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsAssists,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsMissedTackles
1.0,Tycen Anderson,#26,S,7.0,123.0,33.0,31.0,24.0,35.0,0.0,0.0,88.7,-,-,-,2 (0),6.0,2.0,2.0
2.0,Chase Brown,#30,HB,12.0,160.0,59.0,53.0,39.0,9.0,0.0,0.0,82.1,55.4,-,-,0 (0),4.0,1.0,4.0
3.0,Cal Adomitis,#48,LS,17.0,148.0,0.0,0.0,0.0,76.0,0.0,72.0,76.7,-,-,-,0 (0),2.0,2.0,0.0
4.0,Markus Bailey,#51,LB,17.0,309.0,88.0,82.0,60.0,76.0,3.0,0.0,76.0,-,-,-,0 (0),5.0,2.0,1.0
5.0,Shedrick Jackson,#12,WR,3.0,38.0,12.0,8.0,7.0,11.0,0.0,0.0,75.1,-,-,-,0 (0),1.0,0.0,0.0
6.0,Akeem Davis-Gaither,#59,LB,13.0,289.0,69.0,63.0,50.0,59.0,48.0,0.0,74.4,-,-,-,1 (0),3.0,1.0,2.0
7.0,DJ Ivey,#38,CB,8.0,113.0,23.0,40.0,28.0,20.0,2.0,0.0,71.2,-,-,-,0 (0),2.0,0.0,0.0
8.0,Chris Evans,#25,HB,8.0,122.0,32.0,31.0,19.0,40.0,0.0,0.0,68.5,62.3,-,-,0 (0),2.0,1.0,0.0
9.0,Cam Sample,#96,ED,17.0,146.0,68.0,0.0,5.0,0.0,73.0,0.0,68.1,-,-,-,0 (0),0.0,0.0,0.0
10.0,Drew Sample,#89,TE,17.0,199.0,88.0,0.0,0.0,39.0,0.0,72.0,67.4,-,-,-,0 (0),0.0,0.0,0.0
11.0,Andrei Iosivas,#80,WR,15.0,217.0,66.0,55.0,39.0,57.0,0.0,0.0,66.2,-,60.1,-,0 (0),3.0,1.0,1.0
12.0,Joe Bachie,#49,LB,16.0,283.0,80.0,77.0,55.0,71.0,0.0,0.0,65.5,-,-,-,1 (0),1.0,0.0,0.0
13.0,Jordan Battle,#27,S,14.0,190.0,50.0,46.0,39.0,48.0,7.0,0.0,65.4,-,-,-,0 (0),0.0,0.0,0.0
14.0,Ted Karras,#64,C,15.0,66.0,0.0,0.0,0.0,0.0,0.0,66.0,64.6,-,-,-,0 (0),0.0,0.0,0.0
15.0,Sam Hubbard,#94,ED,6.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,64.1,-,-,-,0 (0),0.0,0.0,0.0
16.0,Brad Robbins,#10,P,17.0,148.0,0.0,0.0,0.0,76.0,0.0,72.0,64.0,-,56.7,-,1 (0),1.0,0.0,0.0
17.0,Max Scharping,#74,C,17.0,72.0,0.0,0.0,0.0,0.0,0.0,72.0,63.7,-,-,-,0 (0),0.0,0.0,0.0
18.0,Cody Ford,#61,G,17.0,72.0,0.0,0.0,0.0,0.0,0.0,72.0,63.1,-,-,-,0 (0),0.0,0.0,0.0
19.0,Germaine Pratt,#57,LB,12.0,32.0,1.0,0.0,7.0,0.0,24.0,0.0,63.0,-,-,-,0 (0),0.0,0.0,0.0
20.0,Devin Harper,#56,LB,6.0,94.0,30.0,28.0,17.0,19.0,0.0,0.0,62.9,-,-,-,1 (0),1.0,0.0,1.0
