Player,JerseyNumber,Position,GamesPlayed,DefenseTotalSnaps,DefenseRunDefenseSnaps,DefensePassRushSnaps,DefenseCoverageSnaps,DefenseOverallGrade,DefenseRunDefenseGrade,DefenseTacklingGrade,DefensePassRushGrade,DefenseCoverageGrade,DefenseTotalPressures,DefenseSacks,DefenseHits,DefenseHurries,DefenseBattedPasses,DefenseTackles,DefenseAssists,DefenseMissedTackles,DefenseMissedTacklePercentage,DefenseStops,DefenseForcedFumbles,DefenseTargets,DefenseReceptionsAllowed,DefenseReceptionPercentageAllowed,DefenseYardsAllowed,DefenseYardsPerReceptionAllowed,DefenseYardsAfterCatchAllowed,DefenseLongestReceptionAllowed,DefenseTouchdownsAllowed,DefenseInterceptions,DefensePassBreakups,DefensePasserRatingAllowed,DefensePenalties,DefenseSnapsOnDefensiveLine,DefenseSnapsInTheBox,DefenseSnapsAtFreeSafety,DefenseSnapsInTheSlot,DefenseSnapsAtCorner,DefenseSnapsAtA-Gap,DefenseSnapsAtB-Gap,DefenseSnapsOverTackle,DefenseSnapsOutside,Team
Cam Sample,#96,ED,17.0,375,155.0,208.0,12.0,61.6,61.8,82.2,62.4,49.8,22.0,2.0,5.0,15.0,1.0,22.0,4.0,1.0,3.7,12.0,0.0,3.0,3.0,100.0,18.0,6.0,4.0,9.0,1.0,0.0,0.0,131.3,1 (0),374.0,0.0,0.0,0.0,1.0,0.0,22.0,61.0,291.0,cincinnati-bengals
Jay Tufele,#97,DI,10.0,96,54.0,42.0,0.0,47.8,47.2,56.3,54.3,60.0,1.0,0.0,0.0,1.0,0.0,5.0,6.0,1.0,8.3,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),96.0,0.0,0.0,0.0,0.0,4.0,86.0,6.0,0.0,cincinnati-bengals
Joseph Ossai,#58,ED,14.0,177,60.0,109.0,8.0,68.4,64.2,31.0,64.1,65.9,11.0,1.0,6.0,4.0,0.0,6.0,3.0,3.0,25.0,5.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,39.6,0 (0),175.0,1.0,0.0,0.0,1.0,0.0,9.0,40.0,126.0,cincinnati-bengals
Devin Harper,#56,LB,1.0,1,1.0,0.0,0.0,60.0,60.0,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cincinnati-bengals
Dax Hill,#23,S,17.0,"1,089",413.0,27.0,649.0,50.9,70.9,76.6,67.2,43.0,11.0,2.0,3.0,6.0,0.0,79.0,20.0,9.0,8.3,24.0,0.0,45.0,32.0,71.1,457.0,14.3,183.0,67.0,4.0,2.0,6.0,114.8,4 (1),37.0,230.0,605.0,187.0,30.0,0.0,0.0,0.0,37.0,cincinnati-bengals
Cam Taylor-Britt,#29,CB,12.0,653,233.0,0.0,420.0,64.5,46.7,49.3,-,70.3,0.0,0.0,0.0,0.0,0.0,48.0,4.0,10.0,16.1,10.0,1.0,58.0,31.0,53.4,532.0,17.2,120.0,52.0,2.0,4.0,5.0,67.6,5 (2),3.0,64.0,0.0,41.0,545.0,0.0,0.0,0.0,3.0,cincinnati-bengals
Zach Carter,#95,DI,17.0,500,241.0,259.0,0.0,51.2,49.1,57.3,53.9,66.5,13.0,0.0,1.0,12.0,1.0,17.0,8.0,4.0,13.8,11.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,1 (0),500.0,0.0,0.0,0.0,0.0,14.0,426.0,57.0,3.0,cincinnati-bengals
Travis Bell,#74,DI,2.0,30,22.0,8.0,0.0,51.9,53.6,69.5,54.4,-,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),30.0,0.0,0.0,0.0,0.0,12.0,16.0,2.0,0.0,atlanta-falcons
Myles Murphy,#99,ED,17.0,304,125.0,165.0,14.0,58.2,50.3,51.5,64.3,58.6,15.0,3.0,0.0,12.0,0.0,9.0,6.0,3.0,16.7,9.0,0.0,2.0,2.0,100.0,20.0,10.0,4.0,13.0,0.0,0.0,0.0,108.3,1 (0),304.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,288.0,cincinnati-bengals
Jordan Battle,#27,S,17.0,524,219.0,22.0,283.0,82.5,81.3,76.7,69.6,76.4,7.0,2.0,1.0,4.0,0.0,53.0,15.0,6.0,8.1,23.0,0.0,18.0,12.0,66.7,130.0,10.8,67.0,23.0,1.0,1.0,2.0,83.1,0 (0),17.0,201.0,250.0,44.0,12.0,0.0,0.0,0.0,17.0,cincinnati-bengals
DJ Ivey,#38,CB,5.0,21,7.0,0.0,14.0,86.8,60.2,72.8,-,88.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,33.3,4.0,4.0,1.0,4.0,0.0,0.0,1.0,42.4,0 (0),0.0,0.0,0.0,4.0,17.0,0.0,0.0,0.0,0.0,cincinnati-bengals
