Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,OffensePassingSnaps,OffensePassBlockingSnaps,OffenseRushingSnaps,OffenseRunBlockingSnaps,OffenseOverallGrade,OffensePassingGrade,OffensePassBlockingGrade,OffenseRushingGrade,OffenseRunBlockingGrade,OffensePenalties
Jordan Love,#10,QB,19.0,"1,203",726.0,1.0,36.0,440.0,83.6,83.2,62.2,59.5,60.0,11 (0)
Bo Melton,#80,WR,7.0,178,96.0,0.0,3.0,79.0,83.4,82.6,-,71.7,60.7,0 (0)
Aaron Jones,#33,HB,13.0,443,211.0,25.0,184.0,23.0,80.9,56.4,63.2,85.7,57.8,0 (0)
Emanuel Wilson,#31,HB,9.0,56,23.0,0.0,28.0,5.0,80.0,66.3,-,79.9,60.0,0 (0)
Zach Tom,#50,T,19.0,"1,162",0.0,700.0,0.0,462.0,79.7,-,72.3,-,81.2,3 (1)
Keisean Nixon,#25,CB,1.0,1,0.0,0.0,1.0,0.0,78.8,-,-,63.4,-,0 (0)
David Bakhtiari,#69,T,1.0,55,0.0,30.0,0.0,25.0,78.3,-,89.9,-,68.6,0 (0)
Dontayvion Wicks,#13,WR,17.0,516,328.0,0.0,1.0,187.0,77.8,77.0,-,59.2,66.1,2 (0)
AJ Dillon,#28,HB,15.0,494,229.0,60.0,180.0,25.0,75.7,68.2,56.0,76.1,56.6,0 (0)
Romeo Doubs,#87,WR,19.0,938,587.0,0.0,0.0,351.0,73.6,74.0,-,-,55.4,1 (0)
Jayden Reed,#11,WR,18.0,645,446.0,1.0,13.0,185.0,73.3,74.4,62.4,68.4,46.1,3 (0)
Christian Watson,#09,WR,11.0,506,315.0,1.0,4.0,186.0,68.2,70.3,65.5,60.1,50.0,2 (0)
Luke Musgrave,#88,TE,13.0,502,309.0,25.0,0.0,168.0,68.1,69.6,45.7,-,59.3,1 (0)
Rasheed Walker,#63,T,19.0,974,0.0,577.0,0.0,397.0,66.3,-,74.7,-,56.3,10 (3)
Elgton Jenkins,#74,G,17.0,"1,019",0.0,605.0,0.0,414.0,63.8,-,78.3,-,56.4,5 (1)
Samori Toure,#83,WR,11.0,139,89.0,0.0,0.0,50.0,60.6,61.0,-,-,64.6,1 (0)
Ben Sims,#89,TE,18.0,212,60.0,18.0,0.0,134.0,60.5,58.3,68.7,-,58.2,0 (0)
Tucker Kraft,#85,TE,19.0,723,352.0,45.0,0.0,326.0,60.4,65.1,70.3,-,48.7,3 (1)
Patrick Taylor,#27,HB,13.0,240,141.0,46.0,36.0,17.0,60.4,53.4,59.6,64.1,75.7,1 (1)
Malik Heath,#18,WR,13.0,260,120.0,1.0,0.0,139.0,60.1,59.2,28.9,-,61.8,0 (0)
James Robinson,#32,HB,1.0,4,2.0,0.0,1.0,1.0,59.1,63.1,-,59.7,60.0,0 (0)
Yosh Nijman,#73,T,15.0,259,0.0,157.0,0.0,102.0,57.4,-,59.3,-,57.7,2 (1)
Sean Clifford,#08,QB,3.0,16,1.0,0.0,3.0,12.0,56.8,76.0,-,44.9,60.0,0 (0)
Jon Runyan,#76,G,19.0,"1,009",0.0,605.0,0.0,404.0,56.5,-,62.4,-,53.2,6 (1)
Josh Myers,#71,C,19.0,"1,212",0.0,724.0,0.0,488.0,54.7,-,55.7,-,53.2,6 (2)
Josiah Deguara,#81,TE,17.0,212,80.0,15.0,0.0,117.0,51.7,55.0,29.1,-,55.4,2 (1)
Sean Rhyan,#75,G,11.0,229,0.0,128.0,0.0,101.0,49.3,-,42.5,-,50.8,1 (0)
Henry Pearson,#44,FB,2.0,11,4.0,1.0,0.0,6.0,47.7,56.7,69.7,-,40.6,0 (0)
Kenyan Drake,#32,HB,1.0,5,2.0,2.0,1.0,0.0,43.2,58.5,15.8,56.3,-,0 (0)
Royce Newman,#70,G,8.0,186,0.0,120.0,0.0,66.0,40.9,-,52.2,-,43.3,2 (0)
