Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,BlockingTotalSnaps,BlockingTotalSnapsPercentage,RunBlockingSnaps,PassBlockingSnaps,OffenseOverallGrade,RunBlockingGrade,PassBlockingGrade,PressuresAllowedTotalSnaps,PressuresAllowedTotalSnapsPercentage,PressuresAllowedSacks,PressuresAllowedHits,PressuresAllowedHurries,PressuresAllowedTotal,PressuresAllowedEfficiency,Penalties,SnapsAtLeftTackle,SnapsAtLeftGuard,SnapsAtCenter,SnapsAtRightGuard,SnapsAtRightTackle,SnapsAtInlineTightEnd
David Bakhtiari,#69,T,1.0,55,55,100.0,25.0,30.0,78.3,68.6,89.9,30.0,100.0,0.0,0.0,0.0,0.0,100.0,0 (0),55.0,0,0,0,0,0.0
Elgton Jenkins,#74,G,17.0,"1,019","1,019",100.0,414.0,605.0,63.8,56.4,78.3,575.0,100.0,0.0,7.0,21.0,28.0,97.6,5 (1),0.0,"1,019",0,0,0,0.0
Rasheed Walker,#63,T,19.0,974,974,100.0,397.0,577.0,66.3,56.3,74.7,544.0,100.0,6.0,4.0,26.0,36.0,96.1,10 (3),966.0,0,0,0,0,8.0
Zach Tom,#50,T,19.0,"1,162","1,162",100.0,462.0,700.0,79.7,81.2,72.3,663.0,100.0,2.0,2.0,33.0,37.0,97.1,3 (1),0.0,0,4,0,"1,158",0.0
Tucker Kraft,#85,TE,19.0,723,371,51.3,326.0,45.0,60.4,48.7,70.3,42.0,11.1,0.0,1.0,3.0,4.0,95.2,3 (1),0.0,0,0,0,0,562.0
Henry Pearson,#44,FB,2.0,11,7,63.6,6.0,1.0,47.7,40.6,69.7,1.0,20.0,0.0,0.0,0.0,0.0,100.0,0 (0),0.0,0,0,0,0,3.0
Ben Sims,#89,TE,18.0,212,152,71.7,134.0,18.0,60.5,58.2,68.7,18.0,25.0,1.0,0.0,1.0,2.0,91.7,0 (0),0.0,0,0,0,0,191.0
Christian Watson,#09,WR,11.0,506,187,37.0,186.0,1.0,68.2,50.0,65.5,1.0,0.3,0.0,0.0,0.0,0.0,100.0,2 (0),0.0,0,0,0,0,23.0
Aaron Jones,#33,HB,13.0,443,48,10.8,23.0,25.0,80.9,57.8,63.2,24.0,10.6,0.0,1.0,1.0,2.0,95.8,0 (0),0.0,0,0,0,0,14.0
Jayden Reed,#11,WR,18.0,645,186,28.8,185.0,1.0,73.3,46.1,62.4,1.0,0.2,0.0,0.0,0.0,0.0,100.0,3 (0),0.0,0,0,0,0,9.0
Jon Runyan,#76,G,19.0,"1,009","1,009",100.0,404.0,605.0,56.5,53.2,62.4,572.0,100.0,2.0,6.0,14.0,22.0,97.9,6 (1),0.0,0,3,"1,006",0,0.0
Jordan Love,#10,QB,19.0,"1,203",441,36.7,440.0,1.0,83.6,60.0,62.2,1.0,0.1,0.0,0.0,0.0,0.0,100.0,11 (0),0.0,0,0,0,0,0.0
Patrick Taylor,#27,HB,13.0,240,63,26.3,17.0,46.0,60.4,75.7,59.6,42.0,23.6,1.0,1.0,3.0,5.0,92.9,1 (1),0.0,0,0,0,0,14.0
Yosh Nijman,#73,T,15.0,259,259,100.0,102.0,157.0,57.4,57.7,59.3,149.0,100.0,2.0,1.0,10.0,13.0,95.0,2 (1),198.0,0,0,0,61,0.0
AJ Dillon,#28,HB,15.0,494,85,17.2,25.0,60.0,75.7,56.6,56.0,55.0,20.4,1.0,1.0,3.0,5.0,94.5,0 (0),0.0,0,0,0,0,9.0
Josh Myers,#71,C,19.0,"1,212","1,212",100.0,488.0,724.0,54.7,53.2,55.7,685.0,100.0,5.0,3.0,20.0,28.0,97.6,6 (2),0.0,0,"1,212",0,0,0.0
Royce Newman,#70,G,8.0,186,186,100.0,66.0,120.0,40.9,43.3,52.2,111.0,100.0,1.0,1.0,8.0,10.0,95.0,2 (0),0.0,184,0,0,0,2.0
