player,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,gsis_id,season,team,position,depth_chart_position,jersey_number,birth_date,draft_club,draft_number,age
Jonathan Owens,2023,1,1.01,1.01,0.0,0.004,1.147482,1.147482,0.0,00-0034485,2023,GB,DB,SS,34.0,1995-07-22,,,28.0
Zayne Anderson,2023,2,2.005,1.0025,0.01,0.004,2.277923,1.138961,0.011361,00-0036677,2023,GB,DB,FS,39.0,1997-01-03,,,27.0
Tyler Coyle,2023,2,1.665,0.8325,0.0,0.004,1.891641,0.945821,0.0,00-0036764,2023,GB,DB,FS,31.0,1998-11-15,,,25.0
Innis Gaines,2023,1,0.87,0.87,0.0,0.004,0.988425,0.988425,0.0,00-0036462,2023,GB,DB,SS,38.0,1998-08-29,,,25.0
Anthony Johnson Jr.,2023,4,3.923764,0.980941,0.083764,0.004,4.457871,1.114468,0.095166,00-0038411,2023,GB,DB,FS,36.0,1999-12-02,GB,242.0,24.0
Christian Young,2023,3,2.71,0.903333,0.015,0.004,3.078888,1.026296,0.017042,00-0038773,2023,GB,DB,SS,36.0,2000-07-18,,,23.0
Benny Sapp III,2023,3,2.696,0.899,0.002,0.004,3.062982,1.021373,0.002272,00-0038470,2023,GB,DB,SS,48.0,2000-06-27,,,23.0
Anders Carlson,2023,4,3.996776,0.999194,0.156776,0.004,4.540821,1.135205,0.178117,00-0038402,2023,GB,K,K,17.0,1998-06-16,GB,207.0,25.0
Daniel Whelan,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0037547,2023,GB,P,P,19.0,1999-02-10,,,25.0
Matt Orzech,2023,1,3.375,1.225,0.3,0.005,3.834408,1.391748,0.340836,00-0035118,2023,GB,LS,LS,42.0,1995-04-12,,,29.0
Broughton Hatcher,2023,3,2.695,0.898333,0.0,0.004,3.061846,1.020615,0.0,00-0038528,2023,GB,LS,LS,43.0,,,,
Kenneth Odumegwu,2023,3,2.695,0.898333,0.0,0.004,3.061846,1.020615,0.0,,2023,GB,DL,DT,56.0,2000-11-29,,,23.0
Deandre Johnson,2022,3,2.57,0.856667,0.025,0.004,3.152632,1.050878,0.030668,,2023,GB,LB,LB,56.0,,,,
Marvin Pierre,2023,3,2.695,0.898333,0.0,0.004,3.061846,1.020615,0.0,,2023,GB,LB,LB,54.0,,,,
Elijah Hamilton,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,,2023,GB,DB,DB,19.0,,,,
