Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,OffensePassingSnaps,OffensePassBlockingSnaps,OffenseRushingSnaps,OffenseRunBlockingSnaps,OffenseOverallGrade,OffensePassingGrade,OffensePassBlockingGrade,OffenseRushingGrade,OffenseRunBlockingGrade,OffensePenalties,Team
Matt Barkley,#19,QB,1.0,6,0.0,0.0,3.0,3.0,61.6,-,-,60.5,60.0,0 (0),jacksonville-jaguars
Tyler Shatley,#69,G,12.0,518,0.0,302.0,0.0,216.0,47.5,-,51.3,-,44.6,0 (0),jacksonville-jaguars
Brandon Scherff,#68,G,17.0,"1,079",0.0,710.0,0.0,369.0,67.3,-,78.7,-,61.1,5 (0),jacksonville-jaguars
Jamal Agnew,#39,WR,11.0,200,156.0,0.0,4.0,40.0,59.9,62.5,-,49.1,76.6,3 (0),jacksonville-jaguars
Evan Engram,#17,TE,17.0,916,656.0,22.0,0.0,238.0,71.6,73.2,61.8,-,54.9,3 (0),jacksonville-jaguars
Cam Robinson,#74,T,9.0,535,0.0,325.0,0.0,210.0,65.4,-,78.8,-,51.0,3 (1),jacksonville-jaguars
Zay Jones,#07,WR,9.0,474,324.0,1.0,0.0,149.0,61.2,61.5,66.2,-,49.1,0 (0),jacksonville-jaguars
C.J. Beathard,#03,QB,7.0,113,68.0,0.0,5.0,40.0,71.5,74.6,-,46.9,60.0,0 (0),jacksonville-jaguars
Christian Kirk,#13,WR,12.0,585,407.0,1.0,1.0,176.0,71.1,72.7,75.7,63.3,35.8,1 (1),jacksonville-jaguars
Calvin Ridley,#00,WR,17.0,992,688.0,0.0,9.0,295.0,71.4,72.2,-,57.9,50.2,3 (0),jacksonville-jaguars
Blake Hance,#73,T,11.0,152,2.0,84.0,0.0,66.0,28.0,54.5,10.0,-,49.7,1 (0),jacksonville-jaguars
D'Ernest Johnson,#25,HB,17.0,195,112.0,31.0,41.0,11.0,57.5,65.7,43.7,55.3,52.5,0 (0),jacksonville-jaguars
Ezra Cleveland,#76,G,7.0,377,0.0,261.0,0.0,116.0,46.0,-,43.6,-,48.2,1 (0),jacksonville-jaguars
Tim Jones,#15,WR,17.0,340,194.0,5.0,0.0,141.0,52.0,51.8,81.0,-,49.5,0 (0),jacksonville-jaguars
Cole Van Lanen,#70,T,2.0,53,0.0,50.0,0.0,3.0,51.8,-,45.5,-,59.5,0 (0),jacksonville-jaguars
Josh Pederson,#87,TE,2.0,8,4.0,0.0,0.0,4.0,44.3,54.3,-,-,38.0,0 (0),jacksonville-jaguars
Luke Farrell,#89,TE,17.0,412,118.0,50.0,0.0,244.0,58.1,68.4,67.6,-,49.6,2 (0),jacksonville-jaguars
Jacob Harris,#83,WR,2.0,14,6.0,0.0,0.0,8.0,45.9,53.6,-,-,33.6,0 (0),jacksonville-jaguars
Trevor Lawrence,#16,QB,16.0,"1,046",682.0,1.0,29.0,334.0,79.7,78.6,60.9,69.9,61.1,8 (0),jacksonville-jaguars
Walker Little,#72,T,12.0,659,0.0,439.0,0.0,220.0,58.8,-,62.6,-,53.8,7 (0),jacksonville-jaguars
Luke Fortner,#79,C,17.0,"1,163",0.0,749.0,0.0,414.0,44.3,-,54.9,-,40.0,5 (0),jacksonville-jaguars
Tank Bigsby,#04,HB,16.0,140,42.0,18.0,51.0,29.0,52.3,24.7,32.1,69.0,67.2,1 (1),jacksonville-jaguars
Parker Washington,#11,WR,9.0,239,186.0,0.0,0.0,53.0,51.1,53.4,-,-,29.4,0 (0),jacksonville-jaguars
Elijah Cooks,#14,WR,9.0,108,56.0,0.0,0.0,52.0,53.0,54.0,-,-,46.6,1 (0),jacksonville-jaguars
Anton Harrison,#77,T,17.0,"1,112",0.0,701.0,0.0,411.0,53.0,-,60.7,-,45.8,7 (1),jacksonville-jaguars
Brenton Strange,#85,TE,14.0,307,90.0,34.0,0.0,183.0,48.6,50.7,55.8,-,55.0,5 (1),jacksonville-jaguars
