Player,JerseyNumber,Position,GamesPlayed,PassingDropbacks,PassingAttempts,PassingCompletions,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingOverallGrade,PassingGrade,PassingRushingGrade,PassingFumbles,PassingBigTimeThrows,PassingBigTimeThrowPercentage,PassingTurnoverWorthyPlays,PassingTurnoverWorthyPlayPercentage,PassingAverageDepthOfTarget,PassingAdjustedCompletionPercentage,PassingDrops,PassingDropPercentage,PassingBattedPasses,PassingHitAsThrown,PassingThrowaways,PassingDepthPercentage,PassingSacks,PassingPressureToSackPercentage,PassingAverageTimeToThrow,PassingScrambles,PassingFirstDowns,PassingPasserRating,PassingPenalties
Trevor Lawrence,#16,QB,16.0,645.0,564.0,370.0,65.6,"4,017",7.1,21.0,14.0,79.7,78.6,69.9,36.5,35.0,5.8,26.0,3.8,8.6,74.7,26.0,6.6,14.0,7.0,13.0,190.0,35.0,18.4,2.54,41.0,194.0,88.5,8 (0)
C.J. Beathard,#03,QB,5.0,63.0,53.0,40.0,75.5,349,6.6,1.0,0.0,71.5,74.6,46.9,45.5,1.0,1.8,2.0,2.9,6.2,85.7,2.0,4.8,1.0,0.0,3.0,20.0,6.0,30.0,2.56,4.0,21.0,98.7,0 (0)
Logan Cooke,#09,P,1.0,1.0,1.0,1.0,100.0,13,13.0,0.0,0.0,70.3,66.9,-,60.4,0.0,0.0,0.0,0.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.4,0.0,1.0,118.8,0 (0)
Christian Kirk,#13,WR,2.0,2.0,2.0,1.0,50.0,-1,-0.5,0.0,0.0,71.1,52.1,63.3,26.7,0.0,0.0,0.0,0.0,12.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.85,0.0,0.0,56.3,1 (1)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
