Player,JerseyNumber,Position,GamesPlayed,RunBlockingTotalSnaps,RunBlockingTotalSnaps.1,RunBlockingTotalSnapsPercentage,RunBlockingGrade,RunBlockingPenalties,RunBlockingTotalSnapsInZoneScheme,RunBlockingTotalSnapsInZoneSchemePercentage,RunBlockingGradeInZoneScheme,RunBlockingTotalSnapsInGapScheme,RunBlockingTotalSnapsInGapSchemePercentage,RunBlockingGradeInGapScheme
Travis Etienne Jr.,#01,HB,17.0,307.0,36.0,11.7,77.0,0 (0),6.0,16.7,59.4,2.0,5.6,59.9
Jamal Agnew,#39,WR,11.0,44.0,40.0,90.9,76.6,1 (0),24.0,60.0,58.7,16.0,40.0,74.5
Tank Bigsby,#04,HB,15.0,80.0,29.0,36.3,67.2,0 (0),3.0,10.3,67.2,1.0,3.4,60.0
Trevor Lawrence,#16,QB,16.0,363.0,334.0,92.0,61.1,0 (0),133.0,39.8,60.2,183.0,54.8,61.3
Brandon Scherff,#68,G,17.0,369.0,369.0,100.0,61.1,0 (0),146.0,39.6,56.3,186.0,50.4,59.5
Matt Barkley,#19,QB,1.0,6.0,3.0,50.0,60.0,0 (0),0.0,0.0,-,3.0,100.0,60.0
JaMycal Hasty,#22,HB,1.0,3.0,3.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
C.J. Beathard,#03,QB,6.0,45.0,40.0,88.9,60.0,0 (0),20.0,50.0,60.0,18.0,45.0,60.0
Cole Van Lanen,#70,T,1.0,3.0,3.0,100.0,59.5,0 (0),2.0,66.7,59.9,1.0,33.3,60.0
Ben Bartch,#78,G,4.0,75.0,75.0,100.0,58.1,0 (0),30.0,40.0,70.9,37.0,49.3,44.9
Brenton Strange,#85,TE,14.0,183.0,183.0,100.0,55.0,3 (1),59.0,32.2,69.2,94.0,51.4,58.5
Evan Engram,#17,TE,17.0,238.0,238.0,100.0,54.9,0 (0),101.0,42.4,58.4,120.0,50.4,56.4
Walker Little,#72,T,12.0,220.0,220.0,100.0,53.8,3 (0),94.0,42.7,57.0,101.0,45.9,60.5
D'Ernest Johnson,#25,HB,15.0,52.0,11.0,21.2,52.5,0 (0),0.0,0.0,-,2.0,18.2,60.0
Cam Robinson,#74,T,9.0,210.0,210.0,100.0,51.0,1 (1),77.0,36.7,45.5,107.0,51.0,56.4
Calvin Ridley,#00,WR,17.0,304.0,295.0,97.0,50.2,0 (0),127.0,43.1,71.3,155.0,52.5,55.0
Blake Hance,#73,T,11.0,66.0,66.0,100.0,49.7,0 (0),19.0,28.8,51.0,37.0,56.1,51.7
Luke Farrell,#89,TE,17.0,244.0,244.0,100.0,49.6,0 (0),77.0,31.6,49.4,133.0,54.5,58.7
Tim Jones,#15,WR,17.0,141.0,141.0,100.0,49.5,0 (0),56.0,39.7,52.8,66.0,46.8,56.5
Zay Jones,#07,WR,9.0,149.0,149.0,100.0,49.1,0 (0),58.0,38.9,57.1,80.0,53.7,51.6
Ezra Cleveland,#76,G,7.0,116.0,116.0,100.0,48.2,0 (0),37.0,31.9,56.8,67.0,57.8,42.0
Elijah Cooks,#14,WR,9.0,52.0,52.0,100.0,46.6,1 (0),12.0,23.1,61.2,24.0,46.2,40.8
Anton Harrison,#77,T,17.0,411.0,411.0,100.0,45.8,2 (1),157.0,38.2,59.1,205.0,49.9,35.5
Tyler Shatley,#69,G,10.0,216.0,216.0,100.0,44.6,0 (0),80.0,37.0,51.3,103.0,47.7,46.5
Luke Fortner,#79,C,17.0,414.0,414.0,100.0,40.0,1 (0),159.0,38.4,38.3,206.0,49.8,49.1
Josh Pederson,#87,TE,2.0,4.0,4.0,100.0,38.0,0 (0),1.0,25.0,60.0,2.0,50.0,59.4
Christian Kirk,#13,WR,11.0,177.0,176.0,99.4,35.8,1 (1),83.0,47.2,60.5,82.0,46.6,49.7
Jacob Harris,#83,WR,2.0,8.0,8.0,100.0,33.6,0 (0),6.0,75.0,60.7,2.0,25.0,60.0
Parker Washington,#11,WR,9.0,53.0,53.0,100.0,29.4,0 (0),23.0,43.4,57.7,27.0,50.9,59.1
,,,,,,,,,,,,,,
