Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles,Team
Brandon McManus,#10,K,17.0,158.0,0.0,86.0,0.0,0.0,0.0,72.0,61.0,80.0,-,73.3,0 (0),0.0,0.0,0.0,jacksonville-jaguars
Logan Cooke,#09,P,17.0,133.0,0.0,0.0,0.0,61.0,0.0,72.0,63.5,-,77.8,-,0 (0),0.0,0.0,0.0,jacksonville-jaguars
Ross Matiscik,#46,LS,17.0,133.0,0.0,0.0,0.0,61.0,0.0,72.0,92.5,-,-,-,0 (0),6.0,1.0,2.0,jacksonville-jaguars
