Player,JerseyNumber,Position,GamesPlayed,RunDefenseSnaps,RunDefenseGrade,RunDefenseTackles,RunDefenseAssists,RunDefenseMissedTackles,RunDefenseMissedTacklePercentage,RunDefenseStops,RunDefenseStopPercentage,RunDefenseForcedFumbles,RunDefenseAverageDepthOfTackle,RunDefensePenalties
Devin Lloyd,#33,LB,15.0,342.0,90.3,45.0,23.0,6.0,8.1,28.0,8.3,0.0,4.5,4 (1)
Tyson Campbell,#32,CB,11.0,194.0,86.5,12.0,8.0,4.0,16.7,6.0,3.1,1.0,7.9,3 (2)
Gregory Junior,#34,CB,5.0,40.0,84.7,1.0,2.0,0.0,0.0,1.0,2.6,0.0,-2.0,0 (0)
Josh Hines-Allen,#41,ED,17.0,277.0,73.2,23.0,7.0,4.0,11.8,19.0,7.0,0.0,1.7,1 (0)
Andrew Wingard,#42,S,14.0,144.0,71.3,22.0,3.0,3.0,10.7,8.0,5.6,0.0,7.9,0 (0)
Foyesade Oluokun,#23,LB,17.0,383.0,70.2,58.0,28.0,3.0,3.4,34.0,9.0,0.0,3.6,2 (1)
Brenton Strange,#85,TE,1.0,1.0,66.9,1.0,0.0,0.0,0.0,1.0,100.0,0.0,-6.0,0 (0)
Ross Blacklock,#90,DI,1.0,1.0,66.2,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Andre Cisco,#05,S,15.0,277.0,66.1,15.0,5.0,3.0,13.0,7.0,2.6,0.0,10.1,2 (0)
Angelo Blackson,#90,DI,11.0,75.0,66.1,6.0,4.0,2.0,16.7,6.0,8.3,0.0,0.3,1 (0)
Antonio Johnson,#26,CB,8.0,63.0,64.9,3.0,1.0,0.0,0.0,2.0,3.2,0.0,3.3,0 (0)
Rayshawn Jenkins,#02,S,17.0,376.0,63.8,32.0,11.0,6.0,12.2,15.0,4.0,0.0,5.7,2 (1)
Adam Gotsis,#96,DI,16.0,175.0,63.4,14.0,7.0,4.0,16.0,11.0,6.3,0.0,1.5,1 (0)
Roy Robertson-Harris,#95,DI,17.0,218.0,62.3,16.0,15.0,6.0,16.2,10.0,4.6,0.0,3.0,1 (0)
Shaquille Quarterman,#50,LB,3.0,5.0,61.8,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Daniel Thomas,#20,S,5.0,9.0,60.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1 (0)
Folorunso Fatukasi,#94,DI,16.0,191.0,60.7,22.0,7.0,1.0,3.3,20.0,10.5,0.0,1.6,0 (0)
Parker Washington,#11,WR,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Tank Bigsby,#04,HB,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Tim Jones,#15,WR,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Caleb Johnson,#57,LB,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Tyler Lacy,#93,DI,15.0,71.0,59.1,7.0,5.0,0.0,0.0,4.0,5.8,0.0,2.7,0 (0)
K'Lavon Chaisson,#45,ED,17.0,98.0,58.0,6.0,1.0,0.0,0.0,5.0,5.2,0.0,1.0,3 (0)
Jeremiah Ledbetter,#99,DI,17.0,158.0,56.1,10.0,7.0,2.0,10.5,9.0,5.8,0.0,2.1,2 (2)
Yasir Abdullah,#56,ED,3.0,16.0,52.6,1.0,1.0,0.0,0.0,1.0,6.3,0.0,4.0,1 (1)
Travon Walker,#44,ED,17.0,298.0,49.7,21.0,13.0,4.0,10.5,16.0,5.4,0.0,2.1,4 (0)
Dawuane Smoot,#91,ED,12.0,87.0,38.4,3.0,1.0,2.0,33.3,2.0,2.3,0.0,2.7,0 (0)
DaVon Hamilton,#52,DI,8.0,103.0,37.4,9.0,3.0,1.0,7.7,8.0,7.9,0.0,1.0,1 (0)
Montaric Brown,#30,CB,8.0,157.0,32.9,2.0,4.0,5.0,45.5,1.0,0.6,0.0,10.5,0 (0)
Chad Muma,#48,LB,10.0,54.0,29.9,4.0,1.0,1.0,16.7,2.0,3.7,0.0,4.0,1 (0)
Darious Williams,#31,CB,17.0,328.0,29.9,5.0,1.0,4.0,40.0,0.0,0.0,0.0,15.2,0 (0)
Tre Herndon,#37,CB,14.0,88.0,29.7,6.0,0.0,3.0,33.3,1.0,1.1,0.0,7.2,1 (0)
,,,,,,,,,,,,,,
