Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,BlockingTotalSnaps,BlockingTotalSnapsPercentage,RunBlockingSnaps,PassBlockingSnaps,OffenseOverallGrade,RunBlockingGrade,PassBlockingGrade,PressuresAllowedTotalSnaps,PressuresAllowedTotalSnapsPercentage,PressuresAllowedSacks,PressuresAllowedHits,PressuresAllowedHurries,PressuresAllowedTotal,PressuresAllowedEfficiency,Penalties,SnapsAtLeftTackle,SnapsAtLeftGuard,SnapsAtCenter,SnapsAtRightGuard,SnapsAtRightTackle,SnapsAtInlineTightEnd
Will Dissly,#89,TE,16.0,378.0,229.0,60.6,187.0,42.0,71.3,77.2,83.5,37.0,20.3,0.0,0.0,0.0,0.0,100.0,3 (0),2.0,0.0,0.0,0.0,2.0,306.0
Ben Brown,#76,G,1.0,8.0,8.0,100.0,3.0,5.0,61.5,58.7,77.7,5.0,100.0,0.0,0.0,0.0,0.0,100.0,0 (0),0.0,8.0,0.0,0.0,0.0,0.0
Olusegun Oluwatimi,#51,C,4.0,128.0,128.0,100.0,58.0,70.0,53.1,50.1,75.5,68.0,100.0,0.0,0.0,1.0,1.0,99.3,1 (0),0.0,0.0,128.0,0.0,0.0,0.0
Noah Fant,#87,TE,17.0,570.0,228.0,40.0,192.0,36.0,62.9,59.6,72.1,33.0,9.4,1.0,0.0,3.0,4.0,92.4,4 (0),0.0,0.0,0.0,0.0,0.0,327.0
Colby Parkinson,#84,TE,17.0,494.0,253.0,51.2,211.0,42.0,57.6,64.1,69.8,38.0,14.6,0.0,0.0,3.0,3.0,96.1,6 (1),0.0,0.0,0.0,0.0,0.0,274.0
Charles Cross,#67,T,14.0,832.0,832.0,100.0,278.0,554.0,67.6,58.3,69.7,517.0,100.0,6.0,5.0,31.0,42.0,95.4,5 (1),830.0,0.0,0.0,0.0,0.0,2.0
Raiqwon O'Neal,#79,T,1.0,4.0,4.0,100.0,3.0,1.0,60.0,60.0,66.2,1.0,100.0,0.0,0.0,0.0,0.0,100.0,0 (0),0.0,0.0,0.0,0.0,0.0,4.0
Jaxon Smith-Njigba,#11,WR,17.0,672.0,166.0,24.7,165.0,1.0,63.3,46.5,65.4,1.0,0.2,0.0,0.0,1.0,1.0,50.0,1 (0),0.0,0.0,0.0,0.0,0.0,0.0
Damien Lewis,#68,G,16.0,926.0,926.0,100.0,316.0,610.0,59.6,57.9,63.0,566.0,100.0,3.0,1.0,25.0,29.0,97.2,4 (0),0.0,926.0,0.0,0.0,0.0,0.0
Zach Charbonnet,#26,HB,16.0,475.0,77.0,16.2,12.0,65.0,69.8,27.3,61.1,59.0,17.8,1.0,0.0,4.0,5.0,94.9,2 (1),0.0,0.0,0.0,0.0,0.0,7.0
