Player,JerseyNumber,Position,GamesPlayed,RunBlockingTotalSnaps,RunBlockingTotalSnaps.1,RunBlockingTotalSnapsPercentage,RunBlockingGrade,RunBlockingPenalties,RunBlockingTotalSnapsInZoneScheme,RunBlockingTotalSnapsInZoneSchemePercentage,RunBlockingGradeInZoneScheme,RunBlockingTotalSnapsInGapScheme,RunBlockingTotalSnapsInGapSchemePercentage,RunBlockingGradeInGapScheme
Dieter Eiselen,#60,C,3.0,8.0,8.0,100.0,93.7,0 (0),4.0,50.0,91.0,1.0,12.5,60.0
Devin Singletary,#26,HB,18.0,276.0,32.0,11.6,79.0,0 (0),7.0,21.9,58.7,4.0,12.5,58.6
Nico Collins,#12,WR,17.0,247.0,245.0,99.2,74.5,0 (0),129.0,52.7,65.6,101.0,41.2,62.0
Laremy Tunsil,#78,T,16.0,349.0,349.0,100.0,66.7,0 (0),171.0,49.0,57.8,138.0,39.5,67.5
Shaq Mason,#69,G,19.0,454.0,454.0,100.0,65.8,2 (0),227.0,50.0,62.4,176.0,38.8,68.9
Austin Deculus,#64,T,2.0,17.0,17.0,100.0,64.6,0 (0),11.0,64.7,63.1,6.0,35.3,63.6
Eric Saubert,#81,TE,8.0,77.0,77.0,100.0,63.6,0 (0),33.0,42.9,69.6,35.0,45.5,59.3
Jarrett Patterson,#68,C,7.0,187.0,187.0,100.0,62.9,0 (0),109.0,58.3,59.4,58.0,31.0,61.9
C.J. Stroud,#07,QB,17.0,403.0,383.0,95.0,60.2,0 (0),194.0,50.7,60.0,161.0,42.0,60.4
DeAndre Houston-Carson,#30,S,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Jimmy Morrissey,#79,G,1.0,1.0,1.0,100.0,60.0,0 (0),1.0,100.0,60.0,0.0,0.0,-
Johnny Johnson III,#88,WR,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,1.0,100.0,60.0
Jake Hansen,#35,LB,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Henry To'oTo'o,#39,LB,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Jon Weeks,#46,LS,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Ka'dar Hollman,#20,CB,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
D'Angelo Ross,#37,CB,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Neville Hewitt,#43,LB,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
