Player,JerseyNumber,Position,GamesPlayed,PassBlockingTotalSnaps,PassBlockingTotalSnaps.1,PassBlockingTotalSnapsPercentage,PassBlockingGrade,PassBlockingPenalties,PassBlockingPressuresAllowedTotalSnaps,PassBlockingPressuresAllowedTotalSnapsPercentage,PassBlockingPressuresAllowedSacks,PassBlockingPressuresAllowedHits,PassBlockingPressuresAllowedHurries,PassBlockingPressuresAllowedTotal,PassBlockingPressuresAllowedEfficiency,TruePassSetSnaps,TruePassSetSnaps.1,TruePassSetSnapsPercentage,TruePassSetGrade,TruePassSetPressuresAllowedTotalSnaps,TruePassSetPressuresAllowedTotalSnapsPercentage,TruePassSetPressuresAllowedSacks,TruePassSetPressuresAllowedHits,TruePassSetPressuresAllowedHurries,TruePassSetPressuresAllowedTotal,TruePassSetPressuresAllowedEfficiency
Jakob Johnson,#45,FB,12.0,67.0,22.0,32.8,83.1,0 (0),20.0,31.3,0.0,0.0,0.0,0.0,100.0,12.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Austin Hooper,#81,TE,17.0,331.0,50.0,15.1,81.5,0 (0),48.0,15.3,0.0,1.0,1.0,2.0,97.9,158.0,3.0,1.9,54.2,3.0,2.0,0.0,0.0,1.0,1.0,83.3
Kolton Miller,#74,T,13.0,428.0,428.0,100.0,79.3,0 (0),405.0,100.0,4.0,2.0,10.0,16.0,97.5,214.0,214.0,100.0,84.4,201.0,100.0,2.0,1.0,6.0,9.0,97.3
Greg Van Roten,#70,G,17.0,626.0,626.0,100.0,77.4,0 (0),598.0,100.0,5.0,3.0,13.0,21.0,97.8,304.0,304.0,100.0,66.9,288.0,100.0,5.0,2.0,8.0,15.0,96.5
Jakobi Meyers,#16,WR,16.0,561.0,2.0,0.4,71.8,3 (0),2.0,0.4,0.0,0.0,0.0,0.0,100.0,279.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Andre James,#68,C,16.0,583.0,583.0,100.0,71.2,1 (0),556.0,100.0,4.0,4.0,11.0,19.0,97.9,285.0,285.0,100.0,64.6,269.0,100.0,3.0,0.0,7.0,10.0,97.6
Justin Herron,#71,T,3.0,8.0,8.0,100.0,68.7,0 (0),8.0,100.0,0.0,0.0,0.0,0.0,100.0,3.0,3.0,100.0,57.3,3.0,100.0,0.0,0.0,0.0,0.0,100.0
Jesper Horsted,#80,TE,3.0,7.0,1.0,14.3,67.4,0 (0),1.0,14.3,0.0,0.0,0.0,0.0,100.0,5.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
DeAndre Carter,#03,WR,15.0,52.0,1.0,1.9,65.7,0 (0),1.0,2.0,0.0,0.0,0.0,0.0,100.0,16.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Jermaine Eluemunor,#72,T,17.0,552.0,552.0,100.0,64.7,1 (1),529.0,100.0,6.0,6.0,16.0,28.0,96.8,271.0,271.0,100.0,59.4,257.0,100.0,5.0,5.0,12.0,22.0,94.7
Dylan Parham,#66,G,17.0,633.0,633.0,100.0,61.8,1 (0),605.0,100.0,1.0,5.0,20.0,26.0,97.8,309.0,309.0,100.0,64.3,293.0,100.0,1.0,3.0,17.0,21.0,96.2
Aidan O'Connell,#04,QB,11.0,384.0,1.0,0.3,61.2,1 (0),1.0,0.3,0.0,0.0,0.0,0.0,100.0,182.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Hroniss Grasu,#65,C,1.0,7.0,7.0,100.0,60.2,0 (0),7.0,100.0,0.0,0.0,1.0,1.0,92.9,3.0,3.0,100.0,46.8,3.0,100.0,0.0,0.0,1.0,1.0,83.3
Thayer Munford Jr.,#77,T,14.0,303.0,303.0,100.0,59.2,0 (0),291.0,100.0,4.0,5.0,19.0,28.0,94.5,131.0,131.0,100.0,50.2,126.0,100.0,4.0,3.0,14.0,21.0,90.1
Brandon Parker,#75,T,2.0,4.0,4.0,100.0,58.0,0 (0),4.0,100.0,0.0,0.0,1.0,1.0,87.5,1.0,1.0,100.0,68.8,1.0,100.0,0.0,0.0,0.0,0.0,100.0
Jordan Meredith,#61,G,6.0,56.0,56.0,100.0,56.7,0 (0),55.0,100.0,0.0,1.0,1.0,2.0,98.2,26.0,26.0,100.0,45.8,26.0,100.0,0.0,1.0,0.0,1.0,98.1
Michael Mayer,#87,TE,14.0,342.0,60.0,17.5,51.9,1 (0),57.0,17.3,0.0,4.0,2.0,6.0,94.7,147.0,3.0,2.0,75.5,2.0,1.4,0.0,0.0,0.0,0.0,100.0
Josh Jacobs,#08,HB,13.0,329.0,81.0,24.6,50.9,0 (0),76.0,24.1,1.0,2.0,4.0,7.0,94.7,126.0,27.0,21.4,24.7,25.0,21.0,1.0,2.0,4.0,7.0,84.0
Zamir White,#35,HB,13.0,111.0,18.0,16.2,46.4,0 (0),18.0,16.7,0.0,0.0,0.0,0.0,100.0,45.0,1.0,2.2,74.6,1.0,2.3,0.0,0.0,0.0,0.0,100.0
Ameer Abdullah,#22,HB,17.0,198.0,48.0,24.2,17.7,0 (0),46.0,24.6,2.0,1.0,7.0,10.0,87.0,140.0,30.0,21.4,13.8,29.0,22.0,2.0,1.0,6.0,9.0,81.0
Cole Fotheringham,#85,TE,2.0,8.0,2.0,25.0,12.9,0 (0),2.0,25.0,1.0,0.0,0.0,1.0,50.0,3.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
