Player,JerseyNumber,Position,GamesPlayed,PassRushSnaps,CoverageSnaps,CoverageSnapsPercentage,CoverageGrade,CoveragePenalties,CoverageTargets,CoverageReceptionsAllowed,CoverageReceptionPercentage,CoverageYardsAllowed,CoverageYardsPerReceptionAllowed,CoverageYardsAfterCatchAllowed,CoverageAverageDepthOfTarget,CoverageLongestReceptionAllowed,CoverageForcedIncompletions,CoverageForcedIncompletionPercentage,CoveragePassBreakups,CoverageInterceptions,CoverageDrops,CoverageTouchdownsAllowed,CoveragePasserRatingAllowed,CoverageSnapsPerTarget,CoverageSnapsPerReceptionAllowed,CoverageTackles,CoverageAssists,CoverageMissedTackles,CoverageMissedTacklePercentage,CoverageStops
Jack Jones,#18,CB,7.0,235.0,235.0,100.0,81.1,3 (1),22.0,12.0,54.5,128.0,10.7,61.0,10.4,50.0,2.0,9.0,1.0,2.0,1.0,0.0,33.9,10.3,18.9,16.0,1.0,5.0,22.7,3.0
Janarius Robinson,#97,ED,6.0,47.0,3.0,6.4,77.8,3 (1),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,2.0
Tyree Wilson,#09,ED,17.0,317.0,9.0,2.8,76.9,3 (1),3.0,3.0,100.0,18.0,6.0,6.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,91.7,3.0,3.0,4.0,0.0,1.0,20.0,7.0
David Long Jr.,#23,CB,5.0,68.0,68.0,100.0,76.5,1 (0),10.0,7.0,70.0,55.0,7.9,11.0,12.5,13.0,1.0,10.0,1.0,0.0,0.0,0.0,83.3,6.7,9.6,9.0,1.0,0.0,0.0,3.0
Luke Masterson,#59,LB,13.0,95.0,91.0,95.8,76.2,0 (0),15.0,12.0,80.0,138.0,11.5,79.0,3.9,25.0,1.0,7.0,1.0,0.0,0.0,0.0,105.0,6.0,7.5,10.0,1.0,3.0,21.4,4.0
Tyler Hall,#37,CB,9.0,109.0,103.0,94.5,71.9,0 (0),14.0,11.0,78.6,81.0,7.4,54.0,1.4,15.0,1.0,7.0,1.0,0.0,0.0,1.0,114.6,7.2,9.2,11.0,2.0,0.0,0.0,4.0
Marcus Peters,#24,CB,12.0,426.0,426.0,100.0,71.3,3 (0),50.0,35.0,70.0,356.0,10.2,163.0,7.0,72.0,4.0,8.0,4.0,1.0,2.0,3.0,101.7,8.2,11.7,28.0,5.0,7.0,17.5,7.0
Nate Hobbs,#39,CB,13.0,494.0,470.0,95.1,68.1,4 (1),82.0,63.0,76.8,588.0,9.3,372.0,6.1,39.0,8.0,10.0,4.0,1.0,0.0,3.0,103.1,5.5,7.2,47.0,5.0,11.0,17.5,15.0
Tre'von Moehrig,#25,S,17.0,666.0,656.0,98.5,68.0,2 (2),41.0,29.0,70.7,341.0,11.8,223.0,8.0,79.0,7.0,17.0,4.0,3.0,2.0,4.0,97.7,15.4,21.7,35.0,6.0,5.0,10.9,11.0
Malcolm Koonce,#51,ED,17.0,353.0,9.0,2.5,67.0,1 (1),2.0,2.0,100.0,43.0,21.5,30.0,6.5,38.0,0.0,0.0,0.0,0.0,0.0,1.0,158.3,4.5,4.5,4.0,1.0,4.0,44.4,11.0
Isaiah Pola-Mao,#20,S,9.0,66.0,65.0,98.5,66.6,0 (0),6.0,4.0,66.7,38.0,9.5,12.0,14.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,44.4,10.7,16.0,7.0,3.0,0.0,0.0,4.0
Amik Robertson,#21,CB,14.0,423.0,419.0,99.1,65.8,5 (1),64.0,40.0,62.5,445.0,11.1,257.0,9.3,77.0,7.0,11.0,5.0,2.0,1.0,3.0,85.7,6.3,10.2,35.0,3.0,6.0,13.6,13.0
Jaylon Smith,#15,LB,1.0,11.0,11.0,100.0,65.7,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0
Adam Butler,#69,DI,17.0,377.0,15.0,4.0,64.0,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,3.0,2.0,0.0,0.0,6.0
Bilal Nichols,#91,DI,17.0,323.0,1.0,0.3,63.9,1 (1),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,4.0,0.0,1.0,20.0,4.0
Chris Smith II,#29,S,1.0,10.0,10.0,100.0,63.2,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0
Marcus Epps,#01,S,17.0,626.0,614.0,98.1,62.3,0 (0),27.0,19.0,70.4,203.0,10.7,129.0,6.1,27.0,3.0,11.0,2.0,0.0,0.0,1.0,104.4,21.9,31.1,32.0,4.0,6.0,14.3,5.0
DeAndre Carter,#03,WR,1.0,1.0,1.0,100.0,60.7,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0
Brandon Bolden,#34,HB,1.0,1.0,1.0,100.0,60.7,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0
Divine Deablo,#05,LB,15.0,473.0,433.0,91.5,60.2,2 (1),59.0,45.0,76.3,416.0,9.2,277.0,4.3,47.0,4.0,7.0,2.0,0.0,0.0,2.0,106.3,7.1,9.3,39.0,11.0,4.0,7.4,17.0
Robert Spillane,#41,LB,17.0,661.0,606.0,91.7,59.0,2 (1),67.0,52.0,77.6,557.0,10.7,360.0,4.1,45.0,2.0,3.0,2.0,3.0,2.0,2.0,92.6,8.7,11.2,46.0,11.0,11.0,16.2,20.0
Brandon Facyson,#31,CB,3.0,27.0,27.0,100.0,55.4,0 (0),4.0,3.0,75.0,15.0,5.0,4.0,6.3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,80.2,6.0,8.0,3.0,1.0,1.0,20.0,1.0
Amari Burney,#56,LB,4.0,47.0,43.0,91.5,55.2,0 (0),5.0,5.0,100.0,80.0,16.0,54.0,5.2,44.0,0.0,0.0,0.0,0.0,0.0,0.0,118.8,8.4,8.4,3.0,2.0,2.0,28.6,2.0
