SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_Rank,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_Player,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_JerseyNumber,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_Position,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_GamesPlayed,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsTotalSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsKickReturnSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsKickCoverageSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPuntReturnSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPuntCoverageSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsFieldGoalBlockSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsFieldGoalKickSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsOverallGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsKickoffGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPuntGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsFieldGoalGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPenalties,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsTackles,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsAssists,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsMissedTackles
1.0,DJ Turner,#19,WR,10.0,173.0,42.0,49.0,35.0,47.0,0.0,0.0,91.9,-,-,-,1 (0),7.0,3.0,4.0
2.0,Isaac Rochell,#96,ED,7.0,33.0,0.0,0.0,2.0,0.0,31.0,0.0,89.9,-,-,-,0 (0),0.0,0.0,0.0
3.0,Jakob Johnson,#45,FB,13.0,139.0,60.0,8.0,16.0,55.0,0.0,0.0,79.4,-,-,-,0 (0),4.0,1.0,0.0
4.0,Michael Mayer,#87,TE,13.0,63.0,8.0,0.0,0.0,2.0,0.0,53.0,75.0,-,-,-,0 (0),0.0,1.0,0.0
5.0,Amik Robertson,#21,CB,17.0,69.0,0.0,2.0,17.0,0.0,50.0,0.0,73.5,-,-,-,0 (0),0.0,0.0,0.0
6.0,Kana'i Mauga,#43,LB,5.0,55.0,19.0,18.0,16.0,0.0,2.0,0.0,71.7,-,-,-,0 (0),1.0,0.0,0.0
7.0,Jacob Bobenmoyer,#50,LS,17.0,140.0,0.0,0.0,0.0,76.0,0.0,64.0,70.7,-,-,-,0 (0),2.0,1.0,1.0
8.0,Divine Deablo,#05,LB,9.0,30.0,10.0,0.0,0.0,20.0,0.0,0.0,67.1,-,-,-,0 (0),1.0,0.0,0.0
9.0,Roderic Teamer,#33,S,6.0,105.0,27.0,20.0,20.0,16.0,22.0,0.0,67.0,-,-,-,0 (0),1.0,0.0,0.0
10.0,Jesper Horsted,#80,TE,13.0,215.0,64.0,60.0,39.0,52.0,0.0,0.0,64.6,-,-,-,0 (0),2.0,0.0,0.0
11.0,Dylan Parham,#66,G,16.0,64.0,0.0,0.0,0.0,0.0,0.0,64.0,64.5,-,-,-,0 (0),0.0,0.0,0.0
