Player,JerseyNumber,Position,GamesPlayed,DefenseTotalSnaps,DefenseRunDefenseSnaps,DefensePassRushSnaps,DefenseCoverageSnaps,DefenseOverallGrade,DefenseRunDefenseGrade,DefenseTacklingGrade,DefensePassRushGrade,DefenseCoverageGrade,DefenseTotalPressures,DefenseSacks,DefenseHits,DefenseHurries,DefenseBattedPasses,DefenseTackles,DefenseAssists,DefenseMissedTackles,DefenseMissedTacklePercentage,DefenseStops,DefenseForcedFumbles,DefenseTargets,DefenseReceptionsAllowed,DefenseReceptionPercentageAllowed,DefenseYardsAllowed,DefenseYardsPerReceptionAllowed,DefenseYardsAfterCatchAllowed,DefenseLongestReceptionAllowed,DefenseTouchdownsAllowed,DefenseInterceptions,DefensePassBreakups,DefensePasserRatingAllowed,DefensePenalties,DefenseSnapsOnDefensiveLine,DefenseSnapsInTheBox,DefenseSnapsAtFreeSafety,DefenseSnapsInTheSlot,DefenseSnapsAtCorner,DefenseSnapsAtA-Gap,DefenseSnapsAtB-Gap,DefenseSnapsOverTackle,DefenseSnapsOutside,Team
John Jenkins,#95,DI,17.0,595,323.0,272.0,0.0,61.2,55.6,63.0,66.7,59.1,15.0,1.0,1.0,13.0,2.0,40.0,18.0,3.0,4.9,28.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),594,0.0,0.0,0.0,0.0,124.0,468.0,2.0,0,las-vegas-raiders
Marcus Peters,#24,CB,12.0,732,306.0,0.0,426.0,68.8,50.7,30.0,-,71.3,0.0,0.0,0.0,0.0,0.0,35.0,8.0,12.0,21.8,10.0,0.0,50.0,35.0,70.0,356.0,10.2,163.0,72.0,3.0,1.0,4.0,101.7,3 (0),27,53.0,4.0,8.0,640.0,0.0,0.0,0.0,27,las-vegas-raiders
Adam Butler,#69,DI,17.0,526,149.0,362.0,15.0,60.1,39.4,47.1,70.2,64.0,28.0,6.0,5.0,17.0,3.0,14.0,10.0,4.0,14.3,15.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),520,6.0,0.0,0.0,0.0,82.0,373.0,62.0,3,las-vegas-raiders
Isaac Rochell,#96,ED,8.0,120,79.0,28.0,13.0,58.8,70.9,59.3,44.1,43.2,2.0,0.0,0.0,2.0,0.0,6.0,2.0,1.0,11.1,5.0,0.0,3.0,3.0,100.0,28.0,9.3,19.0,16.0,0.0,0.0,0.0,105.6,0 (0),118,0.0,0.0,2.0,0.0,0.0,2.0,11.0,105,las-vegas-raiders
Bilal Nichols,#91,DI,17.0,616,293.0,322.0,1.0,51.6,49.4,63.2,54.7,63.9,19.0,2.0,0.0,17.0,0.0,35.0,15.0,3.0,5.7,23.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,1 (1),615,0.0,0.0,0.0,0.0,7.0,492.0,115.0,1,las-vegas-raiders
Brandon Facyson,#31,CB,3.0,44,17.0,0.0,27.0,51.7,42.9,47.2,-,55.4,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,28.6,2.0,0.0,4.0,3.0,75.0,15.0,5.0,4.0,8.0,0.0,0.0,0.0,80.2,0 (0),0,10.0,0.0,3.0,31.0,0.0,0.0,0.0,0,las-vegas-raiders
Robert Spillane,#41,LB,17.0,"1,100",439.0,55.0,606.0,77.1,89.0,69.1,87.7,59.0,19.0,4.0,2.0,13.0,0.0,96.0,44.0,17.0,10.8,52.0,1.0,67.0,52.0,77.6,557.0,10.7,360.0,45.0,2.0,3.0,2.0,92.6,2 (1),63,989.0,2.0,40.0,6.0,0.0,0.0,0.0,63,las-vegas-raiders
Maxx Crosby,#98,ED,17.0,"1,080",423.0,657.0,0.0,92.1,92.7,61.4,84.3,68.0,94.0,15.0,15.0,64.0,2.0,56.0,19.0,10.0,11.8,58.0,2.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,5 (0),"1,076",4.0,0.0,0.0,0.0,0.0,2.0,20.0,"1,054",las-vegas-raiders
Marcus Epps,#01,S,17.0,"1,030",404.0,12.0,614.0,65.4,69.7,54.1,57.5,62.3,0.0,0.0,0.0,0.0,0.0,52.0,14.0,13.0,16.5,13.0,1.0,27.0,19.0,70.4,203.0,10.7,129.0,27.0,1.0,0.0,2.0,104.4,0 (0),25,235.0,640.0,120.0,10.0,0.0,0.0,0.0,25,las-vegas-raiders
Curtis Bolton,#36,LB,3.0,16,8.0,0.0,8.0,29.0,56.6,73.2,-,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,10.0,5.0,8.0,5.0,0.0,0.0,0.0,87.5,0 (0),0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0,las-vegas-raiders
Roderic Teamer,#33,S,4.0,46,27.0,0.0,19.0,51.9,65.5,83.0,-,47.3,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,52.0,13.0,49.0,19.0,0.0,0.0,0.0,118.8,0 (0),0,26.0,10.0,7.0,3.0,0.0,0.0,0.0,0,las-vegas-raiders
Jerry Tillery,#90,DI,17.0,504,221.0,283.0,0.0,67.7,63.1,45.3,67.5,63.8,29.0,2.0,4.0,23.0,0.0,14.0,14.0,3.0,9.7,13.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,2 (0),504,0.0,0.0,0.0,0.0,1.0,213.0,211.0,79,las-vegas-raiders
Tyler Hall,#37,CB,9.0,161,52.0,6.0,103.0,72.7,74.7,82.0,50.7,71.9,0.0,0.0,0.0,0.0,0.0,16.0,3.0,1.0,5.0,6.0,0.0,14.0,11.0,78.6,81.0,7.4,54.0,15.0,1.0,0.0,1.0,114.6,0 (0),1,21.0,2.0,129.0,7.0,0.0,0.0,0.0,1,las-vegas-raiders
Amik Robertson,#21,CB,14.0,674,251.0,4.0,419.0,63.4,54.5,53.2,74.7,65.8,1.0,1.0,0.0,0.0,0.0,42.0,6.0,7.0,12.7,17.0,1.0,64.0,40.0,62.5,445.0,11.1,257.0,77.0,3.0,2.0,5.0,85.7,5 (1),7,58.0,3.0,100.0,506.0,0.0,0.0,0.0,7,las-vegas-raiders
Nate Hobbs,#39,CB,13.0,775,281.0,24.0,470.0,69.0,78.8,42.3,45.8,68.1,5.0,1.0,0.0,4.0,0.0,65.0,12.0,15.0,16.3,22.0,1.0,82.0,63.0,76.8,588.0,9.3,372.0,39.0,3.0,1.0,4.0,103.1,4 (1),19,140.0,1.0,504.0,111.0,0.0,0.0,0.0,19,las-vegas-raiders
Janarius Robinson,#97,ED,6.0,78,31.0,44.0,3.0,56.3,71.3,51.1,56.6,77.8,4.0,1.0,1.0,2.0,0.0,4.0,3.0,1.0,12.5,5.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,3 (1),74,0.0,0.0,3.0,0.0,0.0,2.0,4.0,68,las-vegas-raiders
Malcolm Koonce,#51,ED,17.0,501,148.0,344.0,9.0,81.3,66.3,51.4,78.9,67.0,52.0,8.0,10.0,34.0,0.0,25.0,5.0,8.0,21.1,27.0,3.0,2.0,2.0,100.0,43.0,21.5,30.0,38.0,1.0,0.0,0.0,158.3,1 (1),500,0.0,0.0,0.0,0.0,0.0,3.0,15.0,482,las-vegas-raiders
Divine Deablo,#05,LB,15.0,771,298.0,40.0,433.0,60.6,60.4,80.4,62.3,60.2,8.0,1.0,1.0,6.0,0.0,74.0,31.0,6.0,5.4,34.0,0.0,59.0,45.0,76.3,416.0,9.2,277.0,47.0,2.0,0.0,2.0,106.3,2 (1),82,633.0,1.0,50.0,5.0,0.0,0.0,0.0,82,las-vegas-raiders
Matthew Butler,#94,DI,2.0,11,4.0,7.0,0.0,65.6,62.0,66.8,63.0,-,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),11,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0,las-vegas-raiders
Kana'i Mauga,#43,LB,1.0,11,3.0,0.0,8.0,53.9,62.0,28.6,-,52.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,33.3,2.0,0.0,1.0,1.0,100.0,9.0,9.0,10.0,9.0,0.0,0.0,0.0,104.2,0 (0),0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0,las-vegas-raiders
Isaiah Pola-Mao,#20,S,10.0,130,64.0,1.0,65.0,55.4,30.4,62.5,69.1,66.6,1.0,1.0,0.0,0.0,0.0,12.0,4.0,3.0,15.8,5.0,0.0,6.0,4.0,66.7,38.0,9.5,12.0,23.0,0.0,1.0,0.0,44.4,0 (0),7,26.0,83.0,13.0,1.0,0.0,0.0,0.0,7,las-vegas-raiders
Sam Webb,#27,CB,1.0,10.0,9.0,0.0,1.0,41.8,43.9,-,-,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),1.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,carolina-panthers
Luke Masterson,#59,LB,14.0,182,87.0,4.0,91.0,86.9,88.7,53.0,54.1,76.2,0.0,0.0,0.0,0.0,0.0,19.0,6.0,4.0,13.8,10.0,2.0,15.0,12.0,80.0,138.0,11.5,79.0,25.0,0.0,0.0,1.0,105.0,0 (0),4,157.0,0.0,20.0,0.0,0.0,0.0,0.0,4,las-vegas-raiders
Jack Jones,#18,CB,7.0,344,109.0,0.0,235.0,81.4,81.1,52.8,-,81.1,0.0,0.0,0.0,0.0,0.0,20.0,4.0,5.0,17.2,5.0,0.0,22.0,12.0,54.5,128.0,10.7,61.0,50.0,0.0,2.0,1.0,33.9,3 (1),3,20.0,1.0,8.0,312.0,0.0,0.0,0.0,3,las-vegas-raiders
Tyree Wilson,#09,ED,17.0,493,176.0,308.0,9.0,47.1,47.6,44.5,50.4,76.9,24.0,4.0,4.0,16.0,0.0,16.0,6.0,5.0,18.5,16.0,1.0,3.0,3.0,100.0,18.0,6.0,6.0,13.0,0.0,0.0,0.0,91.7,3 (1),492,0.0,0.0,0.0,0.0,4.0,35.0,79.0,374,las-vegas-raiders
Amari Burney,#56,LB,4.0,89,42.0,4.0,43.0,53.9,58.1,58.7,48.8,55.2,2.0,0.0,0.0,2.0,0.0,9.0,5.0,2.0,12.5,4.0,0.0,5.0,5.0,100.0,80.0,16.0,54.0,44.0,0.0,0.0,0.0,118.8,0 (0),0,84.0,0.0,4.0,1.0,0.0,0.0,0.0,0,las-vegas-raiders
Nesta Jade Silvera,#99,DI,2.0,24,12.0,12.0,0.0,43.9,46.7,68.7,52.2,60.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),24,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0,las-vegas-raiders
Byron Young,#93,DI,6.0,99,48.0,51.0,0.0,45.6,45.1,70.6,53.3,60.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),99,0.0,0.0,0.0,0.0,0.0,93.0,6.0,0,las-vegas-raiders
Jakorian Bennett,#00,CB,12.0,361,138.0,0.0,223.0,42.4,49.4,44.1,-,41.1,0.0,0.0,0.0,0.0,0.0,26.0,6.0,7.0,17.9,6.0,0.0,32.0,21.0,65.6,270.0,12.9,115.0,51.0,1.0,0.0,3.0,102.3,4 (0),5,35.0,0.0,14.0,306.0,0.0,0.0,0.0,5,las-vegas-raiders
