Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles,Team
Daniel Carlson,#02,K,17.0,142.0,0.0,78.0,0.0,0.0,0.0,64.0,60.9,75.3,-,73.0,0 (0),1.0,0.0,0.0,las-vegas-raiders
AJ Cole,#06,P,17.0,140.0,0.0,0.0,0.0,76.0,0.0,64.0,63.4,-,83.6,-,3 (0),0.0,0.0,0.0,las-vegas-raiders
Jacob Bobenmoyer,#50,LS,17.0,140.0,0.0,0.0,0.0,76.0,0.0,64.0,70.7,-,-,-,0 (0),2.0,1.0,1.0,las-vegas-raiders
