player,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,gsis_id,season,team,position,depth_chart_position,jersey_number,birth_date,draft_club,draft_number,age
Sebastian Joseph-Day,2023,1,2.7,2.7,0.0,0.012,3.067527,3.067527,0.0,00-0034810,2023,SF,DL,DT,69.0,1995-03-21,LA,195.0,29.0
Javon Kinlaw,2020,4,15.4887,3.872175,15.4887,0.02,19.958698,4.989675,19.958698,00-0036260,2023,SF,DL,DT,99.0,1997-10-03,SF,14.0,26.0
Kevin Givens,2023,1,2.0,2.0,2.0,0.009,2.272242,2.272242,2.272242,00-0035026,2023,SF,DL,DT,90.0,1997-03-01,,,27.0
Taylor Stallworth,2023,1,1.2325,1.2325,0.3525,0.005,1.400269,1.400269,0.400483,00-0034325,2023,SF,DL,DT,97.0,1995-08-18,,,28.0
T.Y. McGill,2023,1,1.165,1.165,0.4,0.005,1.323581,1.323581,0.454448,00-0032162,2023,SF,DL,DT,96.0,1992-11-23,,,31.0
Austin Bryant,2023,1,1.105,1.105,0.55,0.005,1.255414,1.255414,0.624867,00-0035531,2023,SF,DL,DE,41.0,1996-11-12,DET,117.0,27.0
Kalia Davis,2022,4,3.792012,0.948003,0.132012,0.005,4.65168,1.16292,0.16194,00-0037832,2023,SF,DL,DT,93.0,1998-10-02,SF,220.0,25.0
Breeland Speaks,2023,1,0.87,0.87,0.0,0.004,0.988425,0.988425,0.0,00-0034774,2023,SF,DL,DE,66.0,1995-12-18,KC,46.0,28.0
Spencer Waege,2023,3,2.705,0.901667,0.05,0.004,3.073207,1.024403,0.056806,00-0038882,2023,SF,DL,DE,69.0,1999-05-06,,,24.0
Nick Bosa,2023,5,170.0,34.0,122.5,0.151,193.140569,38.628114,139.174822,00-0035717,2023,SF,DL,DE,97.0,1997-10-23,SF,2.0,26.0
Randy Gregory,2022,5,69.5,13.9,28.0,0.067,85.256004,17.051201,34.347743,00-0032197,2023,SF,LB,OLB,5.0,1992-11-23,DAL,60.0,31.0
Chase Young,2020,4,34.563598,8.6409,34.563598,0.044,44.538562,11.134641,44.538562,00-0036321,2023,SF,DL,DE,92.0,1999-04-14,WAS,2.0,25.0
Clelin Ferrell,2023,1,2.5,2.5,1.24,0.011,2.840302,2.840302,1.40879,00-0035692,2023,SF,DL,DE,94.0,1997-05-17,OAK,4.0,26.0
Drake Jackson,2022,4,5.892392,1.473098,3.143212,0.007,7.228227,1.807057,3.855794,00-0037826,2023,SF,DL,DE,95.0,2001-04-12,SF,61.0,23.0
Robert Beal Jr.,2023,4,4.08498,1.021245,0.24498,0.005,4.641032,1.160258,0.278327,00-0038603,2023,SF,DL,DE,51.0,1999-08-18,SF,173.0,24.0
Sam Okuayinonu,2023,2,1.855,0.9275,0.0,0.004,2.107504,1.053752,0.0,00-0037602,2023,SF,DL,DE,59.0,1998-05-01,,,25.0
Alex Barrett,2023,1,0.87,0.87,0.0,0.004,0.988425,0.988425,0.0,00-0033746,2023,SF,DL,DE,58.0,1994-03-06,,,30.0
Fred Warner,2021,5,95.225,19.045,40.5,0.104,133.262822,26.652564,56.677808,00-0034815,2023,SF,LB,ILB,54.0,1996-11-19,SF,70.0,27.0
Dre Greenlaw,2022,2,16.4,8.2,10.008301,0.039,20.117963,10.058982,12.277234,00-0034982,2023,SF,LB,ILB,57.0,1997-05-25,SF,148.0,26.0
Oren Burks,2022,2,5.0,2.5,1.365,0.012,6.133525,3.066763,1.674452,00-0034754,2023,SF,LB,OLB,48.0,1995-03-21,GB,88.0,29.0
Demetrius Flannigan-Fowles,2023,1,1.825,1.825,1.25,0.008,2.073421,2.073421,1.420151,00-0035020,2023,SF,LB,OLB,45.0,1996-09-04,,,27.0
Curtis Robinson,2023,1,0.94,0.94,0.0,0.004,1.067954,1.067954,0.0,00-0036728,2023,SF,LB,ILB,59.0,1998-06-02,,,25.0
Dee Winters,2023,4,3.973332,0.993333,0.133332,0.004,4.514186,1.128546,0.151481,00-0038625,2023,SF,LB,ILB,53.0,2000-10-17,SF,216.0,23.0
Jalen Graham,2023,4,3.917784,0.979446,0.077784,0.004,4.451077,1.112769,0.088372,00-0038648,2023,SF,LB,ILB,50.0,2000-01-11,SF,255.0,24.0
Ladarius Hamilton,2023,1,0.94,0.94,0.0,0.004,1.067954,1.067954,0.0,00-0036030,2023,SF,LB,OLB,60.0,1998-01-18,,,26.0
Kyahva Tezino,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0036097,2023,SF,LB,ILB,51.0,,,,
Charvarius Ward,2022,3,40.5,13.5,26.62,0.065,49.681556,16.560519,32.65489,00-0034573,2023,SF,DB,CB,7.0,1996-05-16,,,27.0
Jason Verrett,2023,1,0.3708,0.3708,0.0,0.002,0.421274,0.421274,0.0,00-0031334,2023,SF,DB,CB,22.0,1991-06-18,SD,25.0,32.0
Terrance Mitchell,2023,1,1.165,1.165,0.0,0.005,1.323581,1.323581,0.0,00-0031097,2023,SF,DB,CB,39.0,1992-05-17,DAL,254.0,31.0
Isaiah Oliver,2023,2,6.75,3.375,4.16,0.015,7.668817,3.834408,4.726263,00-0034357,2023,SF,DB,CB,26.0,1996-09-30,ATL,58.0,27.0
Ambry Thomas,2021,4,4.688233,1.172058,0.840616,0.006,6.560957,1.640239,1.176402,00-0037008,2023,SF,DB,CB,20.0,1999-09-09,SF,102.0,24.0
Deommodore Lenoir,2021,4,3.764868,0.941217,0.284868,0.005,5.268752,1.317188,0.398659,00-0036563,2023,SF,DB,CB,2.0,1999-10-06,SF,172.0,24.0
Samuel Womack,2022,4,3.943324,0.985831,0.283324,0.005,4.837296,1.209324,0.347555,00-0037830,2023,SF,DB,CB,0.0,1999-07-07,SF,172.0,24.0
